Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1720103,Euro,2025-05-15,4:02,Geórgia,Itália,1,2,3,3.10,2.30,2.30,3.10,3.10,3.40,2.30,1-2,8.50,15-05-2025 00:55
1720110,Euro,2025-05-15,4:05,Alemanha,Hungria,3,1,4,2.15,3.40,2.15,3.40,2.15,3.50,3.40,3-1,7.50,15-05-2025 00:55
1720117,Euro,2025-05-15,4:08,Albânia,Eslovênia,1,1,2,3.10,2.50,3.10,2.50,2.50,3.00,3.10,1-1,12.00,15-05-2025 00:55
1720124,Euro,2025-05-15,4:11,Escócia,Polônia,0,1,1,3.00,2.40,3.00,2.40,2.40,3.30,3.00,0-1,8.50,15-05-2025 00:55
1720131,Euro,2025-05-15,4:14,Hungria,Dinamarca,0,0,0,2.70,2.62,2.70,2.62,2.62,3.30,2.70,0-0,9.00,15-05-2025 00:55
1720137,Euro,2025-05-15,4:17,Albânia,Turquia,1,3,4,2.70,2.80,2.70,2.80,2.70,3.10,2.80,1-3,11.00,15-05-2025 00:55
1720144,Euro,2025-05-15,4:20,Hungria,Suíça,1,0,1,2.75,2.50,2.75,2.50,2.50,3.40,2.75,1-0,7.50,15-05-2025 00:55
1720152,Euro,2025-05-15,4:23,Croácia,Alemanha,0,0,0,2.55,2.70,2.55,2.70,2.70,3.50,2.55,0-0,7.00,15-05-2025 00:55
1720159,Euro,2025-05-15,4:26,Turquia,Albânia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.10,3.25,1-2,11.00,15-05-2025 00:55
1720166,Euro,2025-05-15,4:29,Áustria,Espanha,2,1,3,2.70,2.55,2.55,2.70,2.70,3.50,2.55,2-1,7.00,15-05-2025 00:55
1720173,Euro,2025-05-15,4:32,Sérvia,Itália,0,1,1,2.70,2.62,2.70,2.62,2.62,3.30,2.70,0-1,9.00,15-05-2025 00:55
1720180,Euro,2025-05-15,4:35,Dinamarca,Portugal,1,1,2,2.70,2.62,2.70,2.62,2.62,3.40,2.70,1-1,8.00,15-05-2025 00:55
1720187,Euro,2025-05-15,4:38,Ucrânia,Áustria,0,0,0,2.70,2.62,2.70,2.62,2.62,3.40,2.70,0-0,8.00,15-05-2025 00:55
1720194,Euro,2025-05-15,4:41,Romênia,Suíça,0,0,0,2.62,2.60,2.62,2.60,2.60,3.50,2.62,0-0,6.50,15-05-2025 00:55
1720201,Euro,2025-05-15,4:44,Ucrânia,Dinamarca,1,0,1,2.62,2.70,2.62,2.70,2.70,3.30,2.62,1-0,8.50,15-05-2025 00:55
1720208,Euro,2025-05-15,4:47,Eslováquia,Albânia,0,2,2,2.75,2.70,2.75,2.70,2.70,3.20,2.75,0-2,10.00,15-05-2025 00:55
1720215,Euro,2025-05-15,4:50,Ucrânia,Croácia,0,0,0,2.60,2.70,2.60,2.70,2.70,3.40,2.60,0-0,7.50,15-05-2025 00:55
1720222,Euro,2025-05-15,4:53,Albânia,Países Baixos,2,1,3,2.70,2.62,2.62,2.70,2.70,3.30,2.62,2-1,8.50,15-05-2025 00:55
1719963,Euro,2025-05-15,3:02,Portugal,Eslovênia,1,1,2,3.60,2.15,3.60,2.15,2.15,3.30,3.60,1-1,9.00,15-05-2025 00:55
1719970,Euro,2025-05-15,3:05,Escócia,Ucrânia,0,2,2,3.00,2.37,3.00,2.37,2.37,3.40,3.00,0-2,7.50,15-05-2025 00:55
1719977,Euro,2025-05-15,3:08,Bélgica,Turquia,0,4,4,2.35,3.10,2.35,3.10,2.35,3.40,3.10,0-4,8.00,15-05-2025 00:55
1719984,Euro,2025-05-15,3:11,Geórgia,Países Baixos,1,2,3,3.00,2.35,2.35,3.00,3.00,3.50,2.35,1-2,7.00,15-05-2025 00:55
1719990,Euro,2025-05-15,3:14,Hungria,França,0,1,1,2.35,3.00,2.35,3.00,3.00,3.50,2.35,0-1,7.00,15-05-2025 00:55
1719998,Euro,2025-05-15,3:17,Países Baixos,Sérvia,1,0,1,3.00,2.40,3.00,2.40,2.40,3.40,3.00,1-0,7.50,15-05-2025 00:55
1720005,Euro,2025-05-15,3:20,Turquia,Eslovênia,0,3,3,2.35,3.25,3.25,2.35,2.35,3.10,3.25,0-3,11.00,15-05-2025 00:55
1720012,Euro,2025-05-15,3:23,Sérvia,Inglaterra,1,2,3,2.90,2.45,2.45,2.90,2.90,3.40,2.45,1-2,7.50,15-05-2025 00:55
1720019,Euro,2025-05-15,3:26,Suíça,Alemanha,2,1,3,2.75,2.45,2.45,2.75,2.75,3.50,2.45,2-1,6.50,15-05-2025 00:55
1720026,Euro,2025-05-15,3:29,Eslovênia,Espanha,1,0,1,2.45,2.90,2.45,2.90,2.90,3.30,2.45,1-0,8.50,15-05-2025 00:55
1720033,Euro,2025-05-15,3:32,Portugal,Turquia,2,0,2,3.25,2.25,3.25,2.25,2.25,3.40,3.25,2-0,8.50,15-05-2025 00:55
