Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719666,2,1,3,2.6,2.7,2.7,2.6,2.6,3.5,2.7
1719592,0,3,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3
1719607,1,2,3,2.8,2.5,2.5,2.8,2.8,3.4,2.5
1719563,1,0,1,3.25,2.25,3.25,2.25,2.25,3.4,3.25
1719620,1,1,2,2.8,2.45,2.8,2.45,2.45,3.5,2.8
1719605,1,1,2,2.9,2.5,2.9,2.5,2.5,3.3,2.9
1719587,0,0,0,3.8,1.95,3.8,1.95,1.95,3.6,3.8
1719582,2,1,3,2.55,2.87,2.87,2.55,2.55,3.25,2.87
1719614,0,0,0,3.6,2.0,3.6,2.0,2.0,3.6,3.6
1719554,3,2,5,2.55,2.87,2.55,2.87,2.55,3.25,2.87
1719581,0,0,0,2.62,2.7,2.62,2.7,2.7,3.3,2.62
1719609,2,0,2,2.6,2.7,2.6,2.7,2.7,3.4,2.6
1719627,0,1,1,3.3,2.1,3.3,2.1,2.1,3.6,3.3
1719596,3,2,5,2.7,2.6,2.7,2.6,2.7,3.4,2.6
1719650,2,2,4,2.25,3.2,2.25,3.2,2.25,3.4,3.2
1719555,2,1,3,3.2,2.2,2.2,3.2,3.2,3.6,2.2
