HORA,CAMPEONATO,COLUNA,PROBABILIDADE,OUTCOME
15,Euro,2,0.4081632653061224,0.5
15,Euro,5,0.3921568627450981,1.0
15,Euro,8,0.3448275862068966,1.0
15,Euro,11,0.3703703703703703,0.0
15,Euro,14,0.4444444444444444,1.0
15,Euro,17,0.3484320557491289,0.5
15,Euro,20,0.381679389312977,0.0
15,Euro,23,0.4081632653061224,1.0
15,Euro,26,0.381679389312977,1.0
15,Euro,29,0.4081632653061224,1.0
15,Euro,32,0.3703703703703703,0.0
15,Euro,35,0.3703703703703703,0.5
15,Euro,38,0.4347826086956522,0.0
15,Euro,41,0.4444444444444444,0.5
15,Euro,44,0.5,1.0
14,Euro,2,0.4830917874396135,0.5
14,Euro,5,0.4347826086956522,0.5
14,Euro,8,0.425531914893617,1.0
14,Euro,11,0.4347826086956522,1.0
14,Euro,14,0.4444444444444444,1.0
14,Euro,17,0.4,0.5
14,Euro,20,0.3225806451612903,0.0
14,Euro,23,0.3846153846153846,1.0
14,Euro,26,0.4545454545454545,0.5
14,Euro,29,0.4545454545454545,0.5
14,Euro,32,0.3448275862068966,0.0
14,Euro,35,0.4219409282700421,1.0
14,Euro,38,0.495049504950495,0.5
14,Euro,41,0.425531914893617,1.0
14,Euro,44,0.4347826086956522,1.0
14,Euro,50,0.3703703703703703,1.0
14,Euro,53,0.4545454545454545,1.0
14,Euro,56,0.5376344086021505,1.0
14,Euro,59,0.4830917874396135,1.0
13,Euro,2,0.3333333333333333,0.0
13,Euro,5,0.3703703703703703,1.0
13,Euro,8,0.3921568627450981,1.0
13,Euro,11,0.3921568627450981,0.0
13,Euro,14,0.4,0.5
13,Euro,17,0.4,1.0
13,Euro,20,0.3571428571428571,0.5
13,Euro,23,0.4651162790697674,1.0
13,Euro,26,0.4081632653061224,1.0
13,Euro,29,0.3636363636363636,1.0
13,Euro,32,0.3333333333333333,0.5
13,Euro,35,0.4545454545454545,1.0
13,Euro,38,0.4347826086956522,1.0
13,Euro,41,0.4545454545454545,0.0
13,Euro,44,0.381679389312977,0.5
13,Euro,47,0.4347826086956522,0.0
13,Euro,50,0.4347826086956522,1.0
13,Euro,53,0.4219409282700421,1.0
13,Euro,56,0.5263157894736842,0.5
13,Euro,59,0.4347826086956522,1.0
12,Euro,2,0.3846153846153846,1.0
12,Euro,5,0.3846153846153846,1.0
12,Euro,8,0.3571428571428571,0.0
12,Euro,11,0.4444444444444444,1.0
12,Euro,14,0.3571428571428571,0.0
12,Euro,17,0.4347826086956522,1.0
12,Euro,20,0.5,0.5
12,Euro,23,0.3636363636363636,0.0
12,Euro,26,0.4347826086956522,1.0
12,Euro,29,0.425531914893617,0.0
12,Euro,32,0.4651162790697674,1.0
12,Euro,35,0.4444444444444444,0.0
12,Euro,38,0.3921568627450981,0.5
12,Euro,41,0.4166666666666667,0.0
12,Euro,44,0.3484320557491289,0.5
12,Euro,47,0.4,0.0
12,Euro,50,0.381679389312977,1.0
12,Euro,53,0.3448275862068966,0.0
12,Euro,56,0.4444444444444444,1.0
12,Euro,59,0.4545454545454545,0.5
11,Euro,2,0.5,0.0
11,Euro,5,0.4761904761904761,0.5
11,Euro,8,0.3846153846153846,0.0
11,Euro,11,0.3846153846153846,0.5
11,Euro,14,0.4166666666666667,0.0
11,Euro,17,0.4347826086956522,0.5
11,Euro,20,0.4081632653061224,0.0
11,Euro,23,0.3921568627450981,1.0
11,Euro,26,0.5128205128205129,0.0
11,Euro,29,0.3921568627450981,0.5
11,Euro,32,0.4651162790697674,1.0
11,Euro,35,0.425531914893617,1.0
11,Euro,38,0.3571428571428571,0.5
11,Euro,41,0.4166666666666667,0.5
11,Euro,44,0.381679389312977,0.0
11,Euro,47,0.425531914893617,0.0
11,Euro,50,0.4444444444444444,0.0
11,Euro,53,0.4651162790697674,0.5
11,Euro,56,0.495049504950495,0.0
11,Euro,59,0.4878048780487805,1.0
10,Euro,2,0.3703703703703703,0.5
10,Euro,5,0.4,0.0
10,Euro,8,0.381679389312977,1.0
10,Euro,11,0.4651162790697674,0.0
10,Euro,14,0.4219409282700421,0.0
10,Euro,17,0.3484320557491289,1.0
10,Euro,20,0.4347826086956522,1.0
10,Euro,23,0.4219409282700421,1.0
10,Euro,26,0.4347826086956522,0.0
10,Euro,29,0.4,0.5
10,Euro,32,0.4444444444444444,0.0
10,Euro,35,0.4081632653061224,1.0
10,Euro,38,0.3484320557491289,0.0
10,Euro,41,0.4081632653061224,0.5
10,Euro,44,0.495049504950495,0.5
10,Euro,47,0.3703703703703703,0.5
10,Euro,50,0.4444444444444444,0.0
10,Euro,53,0.4444444444444444,0.5
10,Euro,56,0.3846153846153846,0.5
10,Euro,59,0.425531914893617,0.0
9,Euro,2,0.3333333333333333,0.5
9,Euro,5,0.4219409282700421,0.5
9,Euro,8,0.3846153846153846,1.0
9,Euro,11,0.4,1.0
9,Euro,14,0.4081632653061224,0.0
9,Euro,17,0.3846153846153846,1.0
9,Euro,20,0.4444444444444444,0.5
9,Euro,23,0.4081632653061224,1.0
9,Euro,26,0.4347826086956522,1.0
9,Euro,29,0.4081632653061224,1.0
9,Euro,32,0.4444444444444444,1.0
9,Euro,35,0.4444444444444444,1.0
9,Euro,38,0.4166666666666667,0.5
9,Euro,41,0.425531914893617,0.5
9,Euro,44,0.4830917874396135,1.0
9,Euro,47,0.4,1.0
9,Euro,50,0.4545454545454545,0.5
9,Euro,53,0.3921568627450981,0.5
9,Euro,56,0.4878048780487805,0.0
9,Euro,59,0.4081632653061224,0.5
15,Copa,1,0.4651162790697674,0.0
15,Copa,4,0.5813953488372093,0.5
15,Copa,7,0.4219409282700421,0.5
15,Copa,10,0.4651162790697674,1.0
15,Copa,13,0.5,0.0
15,Copa,16,0.3448275862068966,1.0
15,Copa,19,0.4219409282700421,1.0
15,Copa,22,0.425531914893617,0.0
15,Copa,25,0.3448275862068966,0.0
15,Copa,28,0.3333333333333333,0.0
15,Copa,31,0.3703703703703703,0.0
15,Copa,34,0.4444444444444444,1.0
15,Copa,37,0.3846153846153846,1.0
15,Copa,40,0.4651162790697674,1.0
15,Copa,43,0.3571428571428571,0.5
14,Copa,1,0.4761904761904761,0.0
14,Copa,4,0.4761904761904761,0.5
14,Copa,7,0.4651162790697674,1.0
14,Copa,10,0.4651162790697674,0.0
14,Copa,13,0.3571428571428571,0.0
14,Copa,16,0.3846153846153846,0.0
14,Copa,19,0.3636363636363636,0.0
14,Copa,22,0.3125,0.0
14,Copa,25,0.4166666666666667,1.0
14,Copa,28,0.4761904761904761,0.0
14,Copa,31,0.3333333333333333,0.0
14,Copa,34,0.5405405405405405,1.0
14,Copa,37,0.3484320557491289,0.5
14,Copa,40,0.3703703703703703,0.5
14,Copa,43,0.3448275862068966,1.0
14,Copa,46,0.4081632653061224,0.0
14,Copa,49,0.4651162790697674,1.0
14,Copa,52,0.3225806451612903,1.0
14,Copa,55,0.4,0.0
14,Copa,58,0.2941176470588235,0.5
13,Copa,1,0.3703703703703703,0.0
13,Copa,4,0.3703703703703703,0.5
13,Copa,7,0.4545454545454545,0.5
13,Copa,10,0.5,0.5
13,Copa,13,0.4830917874396135,1.0
13,Copa,16,0.425531914893617,0.0
13,Copa,19,0.5,0.0
13,Copa,22,0.3484320557491289,0.5
13,Copa,25,0.4,1.0
13,Copa,28,0.3225806451612903,0.5
13,Copa,31,0.3846153846153846,0.0
13,Copa,34,0.4545454545454545,0.5
13,Copa,37,0.381679389312977,1.0
13,Copa,40,0.3484320557491289,0.0
13,Copa,43,0.5,0.5
13,Copa,46,0.4545454545454545,0.0
13,Copa,49,0.4444444444444444,1.0
13,Copa,52,0.5181347150259068,1.0
13,Copa,55,0.3636363636363636,1.0
13,Copa,58,0.4081632653061224,1.0
12,Copa,1,0.3636363636363636,1.0
12,Copa,4,0.4545454545454545,0.0
12,Copa,7,0.3484320557491289,1.0
12,Copa,10,0.3333333333333333,0.0
12,Copa,13,0.4166666666666667,0.0
12,Copa,16,0.4444444444444444,0.5
12,Copa,19,0.3225806451612903,1.0
12,Copa,22,0.4166666666666667,1.0
12,Copa,25,0.3484320557491289,1.0
12,Copa,28,0.3703703703703703,0.5
12,Copa,31,0.5128205128205129,0.5
12,Copa,34,0.2777777777777778,0.0
12,Copa,37,0.4347826086956522,0.5
12,Copa,40,0.3703703703703703,0.5
12,Copa,43,0.4444444444444444,0.0
12,Copa,46,0.425531914893617,0.0
12,Copa,49,0.4081632653061224,1.0
12,Copa,52,0.5,0.5
12,Copa,55,0.3333333333333333,0.0
12,Copa,58,0.4878048780487805,0.5
11,Copa,1,0.3921568627450981,0.0
11,Copa,4,0.4878048780487805,0.0
11,Copa,7,0.4219409282700421,1.0
11,Copa,10,0.4081632653061224,0.5
11,Copa,13,0.3636363636363636,0.0
11,Copa,16,0.4878048780487805,1.0
11,Copa,19,0.4081632653061224,1.0
11,Copa,22,0.4545454545454545,1.0
11,Copa,25,0.3846153846153846,0.5
11,Copa,28,0.381679389312977,0.5
11,Copa,31,0.4545454545454545,0.0
11,Copa,34,0.3333333333333333,0.0
11,Copa,37,0.495049504950495,1.0
11,Copa,40,0.4,0.0
11,Copa,43,0.4081632653061224,1.0
11,Copa,46,0.5263157894736842,0.5
11,Copa,49,0.3571428571428571,0.0
11,Copa,52,0.2941176470588235,0.0
11,Copa,55,0.4081632653061224,1.0
11,Copa,58,0.4347826086956522,0.5
10,Copa,1,0.4444444444444444,0.0
10,Copa,4,0.4347826086956522,0.0
10,Copa,7,0.4,0.5
10,Copa,10,0.3484320557491289,0.0
10,Copa,13,0.2941176470588235,0.0
10,Copa,19,0.5128205128205129,1.0
10,Copa,22,0.4,1.0
10,Copa,25,0.3921568627450981,1.0
10,Copa,28,0.4651162790697674,0.0
10,Copa,31,0.4444444444444444,0.0
10,Copa,34,0.3921568627450981,0.0
10,Copa,37,0.4,0.5
10,Copa,40,0.3571428571428571,1.0
10,Copa,43,0.3225806451612903,0.5
10,Copa,46,0.3571428571428571,1.0
10,Copa,49,0.3333333333333333,1.0
10,Copa,52,0.4651162790697674,0.5
10,Copa,55,0.3484320557491289,0.0
10,Copa,58,0.3125,0.0
9,Copa,1,0.3921568627450981,0.5
