Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE,OUTCOME
1730115,Euro,2025-05-17,1900-01-01 03:02:00,Geórgia,República Tcheca,2,3,5,2.87,2.6,2.87,2.6,2.87,3.2,2.6,2-3,10.0,2025-05-17 23:16:00,3,2,0.4826964671953857,0
1730121,Euro,2025-05-17,1900-01-01 03:05:00,Suíça,Croácia,1,1,2,2.75,2.5,2.75,2.5,2.5,3.5,2.75,1-1,7.0,2025-05-17 23:16:00,3,5,0.5173267326732675,1
1730129,Euro,2025-05-17,1900-01-01 03:08:00,Inglaterra,Eslovênia,0,0,0,3.8,2.02,3.8,2.02,2.02,3.4,3.8,0-0,8.5,2025-05-17 23:16:00,3,8,0.6101806000582581,1
1730136,Euro,2025-05-17,1900-01-01 03:11:00,Geórgia,Suíça,3,0,3,2.87,2.45,2.45,2.87,2.87,3.4,2.45,3-0,7.5,2025-05-17 23:16:00,3,11,0.47157586735404766,2
1730143,Euro,2025-05-17,1900-01-01 03:14:00,Áustria,França,0,0,0,2.4,2.87,2.4,2.87,2.87,3.5,2.4,0-0,7.0,2025-05-17 23:16:00,3,14,0.4675324675324675,1
1729976,Euro,2025-05-17,1900-01-01 02:02:00,Ucrânia,França,1,2,3,3.1,2.25,2.25,3.1,3.1,3.5,2.25,1-2,7.0,2025-05-17 23:16:00,2,2,0.44212062256809337,0
1729982,Euro,2025-05-17,1900-01-01 02:05:00,Inglaterra,Dinamarca,1,0,1,3.25,2.2,3.25,2.2,2.2,3.5,3.25,1-0,7.5,2025-05-17 23:16:00,2,5,0.5700667302192565,2
1729989,Euro,2025-05-17,1900-01-01 02:08:00,Países Baixos,Itália,0,1,1,2.7,2.55,2.7,2.55,2.55,3.5,2.7,0-1,7.0,2025-05-17 23:16:00,2,8,0.5103919239904988,0
1729996,Euro,2025-05-17,1900-01-01 02:11:00,Geórgia,Turquia,1,1,2,2.5,2.9,2.5,2.9,2.9,3.25,2.5,1-1,9.0,2025-05-17 23:16:00,2,11,0.47379032258064524,1
1730003,Euro,2025-05-17,1900-01-01 02:14:00,Romênia,Eslovênia,2,1,3,2.5,2.9,2.9,2.5,2.5,3.3,2.9,2-1,9.0,2025-05-17 23:16:00,2,14,0.5263262863980853,2
1730009,Euro,2025-05-17,1900-01-01 02:17:00,Espanha,Albânia,0,1,1,3.5,2.15,3.5,2.15,2.15,3.4,3.5,0-1,8.5,2025-05-17 23:16:00,2,17,0.5858425285206658,0
1730017,Euro,2025-05-17,1900-01-01 02:20:00,Hungria,Dinamarca,0,2,2,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-2,9.0,2025-05-17 23:16:00,2,20,0.5053593179049939,0
