Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1709183,Euro,2025-05-11,23:02,Croácia,Turquia,3,0,3,2.40,3.00,3.00,2.40,2.40,3.30,3.00,3-0,8.50,11-05-2025 19:57
1709190,Euro,2025-05-11,23:05,Portugal,Sérvia,4,2,6,2.25,3.25,2.25,3.25,2.25,3.40,3.25,4-2,8.50,11-05-2025 19:57
1709198,Euro,2025-05-11,23:08,Geórgia,Países Baixos,1,1,2,2.35,3.00,2.35,3.00,3.00,3.50,2.35,1-1,7.00,11-05-2025 19:57
1709205,Euro,2025-05-11,23:11,Croácia,Eslováquia,2,0,2,3.50,2.10,3.50,2.10,2.10,3.50,3.50,2-0,7.50,11-05-2025 19:57
1709212,Euro,2025-05-11,23:14,Espanha,França,1,3,4,2.60,2.60,2.60,2.60,2.60,3.60,2.60,1-3,6.00,11-05-2025 19:57
1709219,Euro,2025-05-11,23:17,Alemanha,Sérvia,2,0,2,3.30,2.20,3.30,2.20,2.20,3.40,3.30,2-0,8.00,11-05-2025 19:57
1709233,Euro,2025-05-11,23:23,Espanha,Albânia,1,1,2,3.50,2.15,3.50,2.15,2.15,3.40,3.50,1-1,8.50,11-05-2025 19:57
1709240,Euro,2025-05-11,23:26,Geórgia,Alemanha,0,0,0,2.15,3.30,2.15,3.30,3.30,3.50,2.15,0-0,7.50,11-05-2025 19:57
1709246,Euro,2025-05-11,23:29,Turquia,Hungria,1,1,2,3.10,2.40,3.10,2.40,2.40,3.25,3.10,1-1,9.00,11-05-2025 19:57
1709256,Euro,2025-05-11,23:32,Suíça,Eslováquia,0,1,1,3.30,2.15,3.30,2.15,2.15,3.50,3.30,0-1,7.50,11-05-2025 19:57
1709261,Euro,2025-05-11,23:35,Geórgia,Portugal,0,1,1,2.25,3.25,2.25,3.25,3.25,3.40,2.25,0-1,8.00,11-05-2025 19:57
1709269,Euro,2025-05-11,23:38,Sérvia,Eslovênia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.10,3.25,1-2,11.00,11-05-2025 19:57
1709274,Euro,2025-05-11,23:41,Albânia,Hungria,1,2,3,2.55,2.90,2.90,2.55,2.55,3.20,2.90,1-2,10.00,11-05-2025 19:57
1709282,Euro,2025-05-11,23:44,Suíça,Sérvia,0,0,0,2.87,2.45,2.87,2.45,2.45,3.40,2.87,0-0,8.00,11-05-2025 19:57
1709289,Euro,2025-05-11,23:47,Alemanha,Inglaterra,0,2,2,2.70,2.50,2.70,2.50,2.50,3.60,2.70,0-2,6.50,11-05-2025 19:57
1709296,Euro,2025-05-11,23:50,Turquia,Espanha,2,2,4,2.70,2.60,2.70,2.60,2.70,3.40,2.60,2-2,7.50,11-05-2025 19:57
1709303,Euro,2025-05-11,23:53,Suíça,Polônia,2,1,3,2.30,3.10,3.10,2.30,2.30,3.40,3.10,2-1,8.00,11-05-2025 19:57
1709309,Euro,2025-05-11,23:56,Dinamarca,Geórgia,2,0,2,3.75,2.05,3.75,2.05,2.05,3.40,3.75,2-0,9.00,11-05-2025 19:57
1709044,Euro,2025-05-11,22:02,Albânia,Polônia,1,0,1,3.00,2.50,3.00,2.50,2.50,3.10,3.00,1-0,11.00,11-05-2025 19:57
1709051,Euro,2025-05-11,22:05,Dinamarca,Croácia,2,1,3,2.45,2.87,2.87,2.45,2.45,3.40,2.87,2-1,8.00,11-05-2025 19:57
1709058,Euro,2025-05-11,22:08,Suíça,Bélgica,2,2,4,2.60,2.62,2.60,2.62,2.60,3.50,2.62,2-2,6.50,11-05-2025 19:57
1709065,Euro,2025-05-11,22:11,Itália,Hungria,1,2,3,2.25,3.25,3.25,2.25,2.25,3.40,3.25,1-2,8.50,11-05-2025 19:57
1709072,Euro,2025-05-11,22:14,Romênia,Turquia,3,0,3,2.62,2.70,2.70,2.62,2.62,3.40,2.70,3-0,8.00,11-05-2025 19:57
1709078,Euro,2025-05-11,22:17,Bélgica,Hungria,0,0,0,3.20,2.25,3.20,2.25,2.25,3.40,3.20,0-0,7.50,11-05-2025 19:57
1709086,Euro,2025-05-11,22:20,França,Ucrânia,0,1,1,3.60,2.02,3.60,2.02,2.02,3.60,3.60,0-1,7.00,11-05-2025 19:57
1709091,Euro,2025-05-11,22:23,Albânia,Escócia,0,2,2,2.87,2.55,2.87,2.55,2.55,3.25,2.87,0-2,9.00,11-05-2025 19:57
1709100,Euro,2025-05-11,22:26,Romênia,Áustria,1,0,1,2.62,2.60,2.62,2.60,2.60,3.50,2.62,1-0,7.50,11-05-2025 19:57
1709107,Euro,2025-05-11,22:29,Albânia,República Tcheca,3,0,3,2.60,2.90,2.90,2.60,2.60,3.10,2.90,3-0,11.00,11-05-2025 19:57
1709114,Euro,2025-05-11,22:32,Eslováquia,Escócia,1,2,3,2.70,2.60,2.60,2.70,2.70,3.40,2.60,1-2,7.50,11-05-2025 19:57
1709121,Euro,2025-05-11,22:35,República Tcheca,Croácia,1,0,1,2.75,2.62,2.75,2.62,2.62,3.30,2.75,1-0,8.50,11-05-2025 19:57
1709128,Euro,2025-05-11,22:38,Suíça,Países Baixos,2,1,3,2.50,2.70,2.70,2.50,2.50,3.60,2.70,2-1,6.50,11-05-2025 19:57
1709135,Euro,2025-05-11,22:41,Eslovênia,Alemanha,1,3,4,3.00,2.40,3.00,2.40,3.00,3.30,2.40,1-3,8.50,11-05-2025 19:57
1709142,Euro,2025-05-11,22:44,Albânia,Sérvia,1,3,4,2.70,2.80,2.70,2.80,2.70,3.10,2.80,1-3,11.00,11-05-2025 19:57
1709149,Euro,2025-05-11,22:47,Alemanha,Eslováquia,1,1,2,3.80,1.95,3.80,1.95,1.95,3.60,3.80,1-1,7.50,11-05-2025 19:57
1709156,Euro,2025-05-11,22:50,Espanha,Suíça,2,1,3,2.25,3.10,3.10,2.25,2.25,3.60,3.10,2-1,6.50,11-05-2025 19:57
1709163,Euro,2025-05-11,22:53,Inglaterra,Turquia,3,1,4,2.15,3.40,2.15,3.40,2.15,3.50,3.40,3-1,8.00,11-05-2025 19:57
1709170,Euro,2025-05-11,22:56,Bélgica,Polônia,1,3,4,2.20,3.30,2.20,3.30,2.20,3.40,3.30,1-3,8.00,11-05-2025 19:57
