Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds,Odd BTTS,HORA,COLUNA,PROBABILIDADE,OUTCOME
1739206,Euro,2025-05-20,1900-01-01 20:02:00,República Tcheca,Polônia,0,0,0,3.1,2.4,3.1,2.4,2.4,3.2,3.1,0-0,10.0,2025-05-20 16:16:00,0,20,2,0.5447284345047924,1
1739212,Euro,2025-05-20,1900-01-01 20:05:00,Portugal,Alemanha,2,3,5,2.55,2.7,2.55,2.7,2.55,3.5,2.7,2-3,7.0,2025-05-20 16:16:00,1,20,5,0.5103919239904988,0
1739223,Euro,2025-05-20,1900-01-01 20:08:00,Polônia,Ucrânia,1,0,1,2.9,2.45,2.9,2.45,2.45,3.3,2.9,1-0,8.5,2025-05-20 16:16:00,0,20,8,0.5299878836833603,2
1739228,Euro,2025-05-20,1900-01-01 20:11:00,Croácia,Geórgia,1,1,2,3.6,2.05,3.6,2.05,2.05,3.5,3.6,1-1,8.0,2025-05-20 16:16:00,1,20,11,0.5998895231080832,1
1739234,Euro,2025-05-20,1900-01-01 20:14:00,Portugal,Eslováquia,0,3,3,2.0,3.75,3.75,2.0,2.0,3.5,3.75,0-3,7.5,2025-05-20 16:16:00,0,20,14,0.6108597285067873,0
1739068,Euro,2025-05-20,1900-01-01 19:02:00,Bélgica,Inglaterra,0,1,1,2.55,2.7,2.55,2.7,2.7,3.6,2.55,0-1,6.5,2025-05-20 16:16:00,0,19,2,0.4895287958115183,0
1739074,Euro,2025-05-20,1900-01-01 19:05:00,Romênia,Albânia,0,1,1,2.9,2.5,2.9,2.5,2.5,3.3,2.9,0-1,9.0,2025-05-20 16:16:00,0,19,5,0.5263262863980853,0
1739080,Euro,2025-05-20,1900-01-01 19:08:00,Escócia,Inglaterra,0,0,0,2.3,3.0,2.3,3.0,3.0,3.6,2.3,0-0,6.5,2025-05-20 16:16:00,0,19,8,0.451501154734411,1
1739087,Euro,2025-05-20,1900-01-01 19:11:00,Albânia,Suíça,2,0,2,2.75,2.62,2.75,2.62,2.62,3.3,2.75,2-0,8.5,2025-05-20 16:16:00,0,19,11,0.5086054721977052,2
1739096,Euro,2025-05-20,1900-01-01 19:14:00,Países Baixos,Sérvia,2,1,3,2.4,3.0,3.0,2.4,2.4,3.4,3.0,2-1,7.5,2025-05-20 16:16:00,1,19,14,0.5399061032863849,2
1739102,Euro,2025-05-20,1900-01-01 19:17:00,Áustria,Eslováquia,4,1,5,2.2,3.4,2.2,3.4,2.2,3.4,3.4,4-1,8.0,2025-05-20 16:16:00,1,19,17,0.5769230769230769,2
1739107,Euro,2025-05-20,1900-01-01 19:20:00,Romênia,Geórgia,1,1,2,3.2,2.25,3.2,2.25,2.25,3.5,3.2,1-1,7.5,2025-05-20 16:16:00,1,19,20,0.5632730732635584,1
1739114,Euro,2025-05-20,1900-01-01 19:23:00,Portugal,França,0,3,3,2.6,2.62,2.62,2.6,2.6,3.5,2.62,0-3,6.5,2025-05-20 16:16:00,0,19,23,0.5013954230125189,0
1739124,Euro,2025-05-20,1900-01-01 19:26:00,Turquia,Alemanha,1,1,2,2.5,2.8,2.5,2.8,2.8,3.4,2.5,1-1,8.0,2025-05-20 16:16:00,1,19,26,0.4796163069544364,1
1739130,Euro,2025-05-20,1900-01-01 19:29:00,Hungria,Suíça,0,2,2,2.75,2.5,2.75,2.5,2.5,3.4,2.75,0-2,7.5,2025-05-20 16:16:00,0,19,29,0.5171890798786655,0
1739136,Euro,2025-05-20,1900-01-01 19:32:00,Croácia,Dinamarca,0,0,0,2.87,2.45,2.87,2.45,2.45,3.4,2.87,0-0,8.0,2025-05-20 16:16:00,0,19,32,0.5284241326459523,1
1739142,Euro,2025-05-20,1900-01-01 19:35:00,Bélgica,Escócia,0,1,1,3.1,2.25,3.1,2.25,2.25,3.5,3.1,0-1,7.0,2025-05-20 16:16:00,0,19,35,0.5578793774319065,0
1739148,Euro,2025-05-20,1900-01-01 19:38:00,Turquia,Países Baixos,1,0,1,2.75,2.5,2.75,2.5,2.5,3.4,2.75,1-0,7.5,2025-05-20 16:16:00,0,19,38,0.5171890798786655,2
1739159,Euro,2025-05-20,1900-01-01 19:41:00,Itália,Portugal,1,1,2,2.75,2.55,2.75,2.55,2.55,3.4,2.75,1-1,7.5,2025-05-20 16:16:00,1,19,41,0.5135823429541597,1
1739165,Euro,2025-05-20,1900-01-01 19:44:00,Eslovênia,Bélgica,0,0,0,2.55,2.8,2.55,2.8,2.8,3.3,2.55,0-0,8.5,2025-05-20 16:16:00,0,19,44,0.4833635813672111,1
1739172,Euro,2025-05-20,1900-01-01 19:47:00,Itália,Turquia,1,0,1,3.1,2.35,3.1,2.35,2.35,3.3,3.1,1-0,9.0,2025-05-20 16:16:00,0,19,47,0.5489711119905025,2
1739178,Euro,2025-05-20,1900-01-01 19:50:00,Eslováquia,Hungria,1,2,3,2.7,2.62,2.62,2.7,2.7,3.3,2.62,1-2,8.5,2025-05-20 16:16:00,1,19,50,0.49464068209500606,0
1739184,Euro,2025-05-20,1900-01-01 19:53:00,Ucrânia,Itália,0,0,0,2.5,2.8,2.5,2.8,2.8,3.4,2.5,0-0,8.0,2025-05-20 16:16:00,0,19,53,0.4796163069544364,1
1739195,Euro,2025-05-20,1900-01-01 19:56:00,Alemanha,Portugal,3,1,4,2.37,2.9,2.37,2.9,2.37,3.5,2.9,3-1,7.0,2025-05-20 16:16:00,1,19,56,0.5366340153250652,2
1739200,Euro,2025-05-20,1900-01-01 19:59:00,França,Áustria,2,0,2,3.4,2.15,3.4,2.15,2.15,3.5,3.4,2-0,7.0,2025-05-20 16:16:00,0,19,59,0.5818215821956236,2
1738923,Euro,2025-05-20,1900-01-01 18:02:00,Suíça,Albânia,1,1,2,3.1,2.35,3.1,2.35,2.35,3.3,3.1,1-1,9.0,2025-05-20 16:16:00,1,18,2,0.5489711119905025,1
1738934,Euro,2025-05-20,1900-01-01 18:05:00,Croácia,Países Baixos,1,2,3,2.45,2.8,2.8,2.45,2.45,3.5,2.8,1-2,6.5,2025-05-20 16:16:00,1,18,5,0.5242718446601942,0
1738940,Euro,2025-05-20,1900-01-01 18:08:00,Ucrânia,Espanha,0,0,0,2.4,2.87,2.4,2.87,2.87,3.5,2.4,0-0,7.0,2025-05-20 16:16:00,0,18,8,0.4675324675324675,1
1738946,Euro,2025-05-20,1900-01-01 18:11:00,Sérvia,República Tcheca,0,0,0,3.1,2.4,3.1,2.4,2.4,3.2,3.1,0-0,10.0,2025-05-20 16:16:00,0,18,11,0.5447284345047924,1
1738952,Euro,2025-05-20,1900-01-01 18:14:00,Alemanha,Polônia,3,0,3,2.07,3.6,3.6,2.07,2.07,3.4,3.6,3-0,8.0,2025-05-20 16:16:00,0,18,14,0.5973063973063973,2
1738958,Euro,2025-05-20,1900-01-01 18:17:00,República Tcheca,Países Baixos,2,1,3,2.6,2.7,2.7,2.6,2.6,3.4,2.7,2-1,8.0,2025-05-20 16:16:00,1,18,17,0.5067891373801916,2
1738969,Euro,2025-05-20,1900-01-01 18:20:00,Dinamarca,Escócia,0,0,0,3.1,2.3,3.1,2.3,2.3,3.4,3.1,0-0,8.0,2025-05-20 16:16:00,0,18,20,0.5533542565712045,1
1738975,Euro,2025-05-20,1900-01-01 18:23:00,Áustria,Itália,1,0,1,2.7,2.62,2.7,2.62,2.62,3.4,2.7,1-0,8.0,2025-05-20 16:16:00,0,18,23,0.505404975757094,2
1738981,Euro,2025-05-20,1900-01-01 18:26:00,Croácia,França,0,0,0,2.45,2.75,2.45,2.75,2.75,3.5,2.45,0-0,6.5,2025-05-20 16:16:00,0,18,26,0.4789473684210527,1
1738987,Euro,2025-05-20,1900-01-01 18:29:00,Hungria,Inglaterra,2,4,6,3.0,2.35,3.0,2.35,3.0,3.5,2.35,2-4,7.0,2025-05-20 16:16:00,1,18,29,0.4558680892337536,0
1738999,Euro,2025-05-20,1900-01-01 18:32:00,Ucrânia,Romênia,1,0,1,2.87,2.45,2.87,2.45,2.45,3.5,2.87,1-0,7.0,2025-05-20 16:16:00,0,18,32,0.5286532951289398,2
1739004,Euro,2025-05-20,1900-01-01 18:35:00,Polônia,Itália,2,1,3,2.8,2.55,2.55,2.8,2.8,3.3,2.55,2-1,8.5,2025-05-20 16:16:00,1,18,35,0.4833635813672111,2
1739010,Euro,2025-05-20,1900-01-01 18:38:00,Eslováquia,Bélgica,3,0,3,3.0,2.35,2.35,3.0,3.0,3.5,2.35,3-0,7.0,2025-05-20 16:16:00,0,18,38,0.4558680892337536,2
1739016,Euro,2025-05-20,1900-01-01 18:41:00,Polônia,Albânia,0,3,3,2.5,3.0,3.0,2.5,2.5,3.1,3.0,0-3,11.0,2025-05-20 16:16:00,0,18,41,0.5315682281059063,0
1739022,Euro,2025-05-20,1900-01-01 18:44:00,Croácia,Inglaterra,1,0,1,2.45,2.75,2.45,2.75,2.75,3.5,2.45,1-0,6.5,2025-05-20 16:16:00,0,18,44,0.4789473684210527,2
1739033,Euro,2025-05-20,1900-01-01 18:47:00,Portugal,Albânia,0,1,1,3.6,2.15,3.6,2.15,2.15,3.3,3.6,0-1,9.0,2025-05-20 16:16:00,0,18,47,0.5895564289724874,0
1739042,Euro,2025-05-20,1900-01-01 18:50:00,Escócia,Espanha,1,0,1,2.45,2.75,2.45,2.75,2.75,3.5,2.45,1-0,6.5,2025-05-20 16:16:00,0,18,50,0.4789473684210527,2
1739047,Euro,2025-05-20,1900-01-01 18:53:00,Áustria,Polônia,0,0,0,3.2,2.3,3.2,2.3,2.3,3.3,3.2,0-0,9.0,2025-05-20 16:16:00,0,18,53,0.5582124656997256,1
1739053,Euro,2025-05-20,1900-01-01 18:56:00,Sérvia,Croácia,0,2,2,2.8,2.55,2.8,2.55,2.55,3.3,2.8,0-2,8.5,2025-05-20 16:16:00,0,18,56,0.5166364186327888,0
1739060,Euro,2025-05-20,1900-01-01 18:59:00,França,Alemanha,1,0,1,2.87,2.37,2.87,2.37,2.37,3.6,2.87,1-0,6.5,2025-05-20 16:16:00,0,18,59,0.5350659824903861,2
1738785,Euro,2025-05-20,1900-01-01 17:02:00,Países Baixos,Suíça,3,3,6,2.35,2.87,2.35,2.87,2.35,3.6,2.87,3-3,6.5,2025-05-20 16:16:00,1,17,2,0.5366534176570791,1
1738791,Euro,2025-05-20,1900-01-01 17:05:00,Bélgica,Geórgia,2,0,2,3.75,2.0,3.75,2.0,2.0,3.5,3.75,2-0,7.5,2025-05-20 16:16:00,0,17,5,0.6108597285067873,2
1738803,Euro,2025-05-20,1900-01-01 17:08:00,Portugal,Ucrânia,1,0,1,3.4,2.1,3.4,2.1,2.1,3.5,3.4,1-0,7.5,2025-05-20 16:16:00,0,17,8,0.5862068965517242,2
1738808,Euro,2025-05-20,1900-01-01 17:11:00,Romênia,Escócia,0,2,2,2.75,2.5,2.75,2.5,2.5,3.5,2.75,0-2,7.0,2025-05-20 16:16:00,0,17,11,0.5173267326732675,0
1738814,Euro,2025-05-20,1900-01-01 17:14:00,Hungria,Sérvia,0,2,2,2.87,2.55,2.87,2.55,2.55,3.25,2.87,0-2,9.0,2025-05-20 16:16:00,0,17,14,0.520855475565003,0
1738820,Euro,2025-05-20,1900-01-01 17:17:00,Portugal,Turquia,1,3,4,2.25,3.25,2.25,3.25,2.25,3.4,3.25,1-3,8.5,2025-05-20 16:16:00,1,17,17,0.5653531955790485,0
1738826,Euro,2025-05-20,1900-01-01 17:20:00,Polônia,Sérvia,1,0,1,2.75,2.7,2.75,2.7,2.7,3.2,2.75,1-0,10.0,2025-05-20 16:16:00,0,17,20,0.5032173738186205,2
