HORA,COLUNA,Time_Contra,Time_Casa
13,2,Marrocos,Argentina
13,2,País de Gales,Argentina
13,2,Alemanha,Argentina
13,2,Portugal,Argentina
13,2,Suíça,Argentina
13,2,Uruguai,Argentina
13,2,Gana,Argentina
13,2,Irã,Argentina
13,2,Austrália,Argentina
13,2,Bélgica,Argentina
13,2,Equador,Argentina
13,2,Países Baixos,Argentina
13,2,Costa Rica,Argentina
13,2,Espanha,Argentina
13,2,Tunísia,Argentina
13,2,Polônia,Argentina
13,2,França,Argentina
13,2,Coreia do Sul,Argentina
13,2,Dinamarca,Argentina
13,2,Sérvia,Argentina
13,2,México,Argentina
13,2,Arábia Saudita,Argentina
13,2,Qatar,Argentina
13,2,Senegal,Argentina
13,2,Japão,Argentina
13,2,Camarões,Argentina
13,2,Canadá,Argentina
13,2,Inglaterra,Argentina
13,2,EUA,Argentina
13,2,Brasil,Argentina
13,2,Croácia,Argentina
13,2,País de Gales,Marrocos
13,2,Alemanha,Marrocos
13,2,Portugal,Marrocos
13,2,Suíça,Marrocos
13,2,Uruguai,Marrocos
13,2,Gana,Marrocos
13,2,Irã,Marrocos
13,2,Austrália,Marrocos
13,2,Bélgica,Marrocos
13,2,Equador,Marrocos
13,2,Países Baixos,Marrocos
13,2,Costa Rica,Marrocos
13,2,Espanha,Marrocos
13,2,Tunísia,Marrocos
13,2,Polônia,Marrocos
13,2,França,Marrocos
13,2,Coreia do Sul,Marrocos
13,2,Dinamarca,Marrocos
13,2,Sérvia,Marrocos
13,2,México,Marrocos
13,2,Arábia Saudita,Marrocos
13,2,Qatar,Marrocos
13,2,Senegal,Marrocos
13,2,Japão,Marrocos
13,2,Camarões,Marrocos
13,2,Canadá,Marrocos
13,2,Inglaterra,Marrocos
13,2,EUA,Marrocos
13,2,Brasil,Marrocos
13,2,Croácia,Marrocos
13,2,Alemanha,País de Gales
13,2,Portugal,País de Gales
13,2,Suíça,País de Gales
13,2,Uruguai,País de Gales
13,2,Gana,País de Gales
13,2,Irã,País de Gales
13,2,Austrália,País de Gales
13,2,Bélgica,País de Gales
13,2,Equador,País de Gales
13,2,Países Baixos,País de Gales
13,2,Costa Rica,País de Gales
13,2,Espanha,País de Gales
13,2,Tunísia,País de Gales
13,2,Polônia,País de Gales
13,2,França,País de Gales
13,2,Coreia do Sul,País de Gales
13,2,Dinamarca,País de Gales
13,2,Sérvia,País de Gales
13,2,México,País de Gales
13,2,Arábia Saudita,País de Gales
13,2,Qatar,País de Gales
13,2,Senegal,País de Gales
13,2,Japão,País de Gales
13,2,Camarões,País de Gales
13,2,Canadá,País de Gales
13,2,Inglaterra,País de Gales
13,2,EUA,País de Gales
13,2,Brasil,País de Gales
13,2,Croácia,País de Gales
13,2,Portugal,Alemanha
13,2,Suíça,Alemanha
13,2,Uruguai,Alemanha
13,2,Gana,Alemanha
13,2,Irã,Alemanha
13,2,Austrália,Alemanha
13,2,Bélgica,Alemanha
13,2,Equador,Alemanha
13,2,Países Baixos,Alemanha
13,2,Costa Rica,Alemanha
13,2,Espanha,Alemanha
13,2,Tunísia,Alemanha
13,2,Polônia,Alemanha
13,2,França,Alemanha
13,2,Coreia do Sul,Alemanha
13,2,Dinamarca,Alemanha
13,2,Sérvia,Alemanha
13,2,México,Alemanha
13,2,Arábia Saudita,Alemanha
13,2,Qatar,Alemanha
13,2,Senegal,Alemanha
13,2,Japão,Alemanha
13,2,Camarões,Alemanha
13,2,Canadá,Alemanha
13,2,Inglaterra,Alemanha
13,2,EUA,Alemanha
13,2,Brasil,Alemanha
13,2,Croácia,Alemanha
13,2,Suíça,Portugal
13,2,Uruguai,Portugal
13,2,Gana,Portugal
13,2,Irã,Portugal
13,2,Austrália,Portugal
13,2,Bélgica,Portugal
13,2,Equador,Portugal
13,2,Países Baixos,Portugal
13,2,Costa Rica,Portugal
13,2,Espanha,Portugal
13,2,Tunísia,Portugal
13,2,Polônia,Portugal
13,2,França,Portugal
13,2,Coreia do Sul,Portugal
13,2,Dinamarca,Portugal
13,2,Sérvia,Portugal
13,2,México,Portugal
13,2,Arábia Saudita,Portugal
13,2,Qatar,Portugal
13,2,Senegal,Portugal
13,2,Japão,Portugal
13,2,Camarões,Portugal
13,2,Canadá,Portugal
13,2,Inglaterra,Portugal
13,2,EUA,Portugal
13,2,Brasil,Portugal
13,2,Croácia,Portugal
13,2,Uruguai,Suíça
13,2,Gana,Suíça
13,2,Irã,Suíça
13,2,Austrália,Suíça
13,2,Bélgica,Suíça
13,2,Equador,Suíça
13,2,Países Baixos,Suíça
13,2,Costa Rica,Suíça
13,2,Espanha,Suíça
13,2,Tunísia,Suíça
13,2,Polônia,Suíça
13,2,França,Suíça
13,2,Coreia do Sul,Suíça
13,2,Dinamarca,Suíça
13,2,Sérvia,Suíça
13,2,México,Suíça
13,2,Arábia Saudita,Suíça
13,2,Qatar,Suíça
13,2,Senegal,Suíça
13,2,Japão,Suíça
13,2,Camarões,Suíça
13,2,Canadá,Suíça
13,2,Inglaterra,Suíça
13,2,EUA,Suíça
13,2,Brasil,Suíça
13,2,Croácia,Suíça
13,2,Gana,Uruguai
13,2,Irã,Uruguai
13,2,Austrália,Uruguai
13,2,Bélgica,Uruguai
13,2,Equador,Uruguai
13,2,Países Baixos,Uruguai
13,2,Costa Rica,Uruguai
13,2,Espanha,Uruguai
13,2,Tunísia,Uruguai
13,2,Polônia,Uruguai
13,2,França,Uruguai
13,2,Coreia do Sul,Uruguai
13,2,Dinamarca,Uruguai
13,2,Sérvia,Uruguai
13,2,México,Uruguai
13,2,Arábia Saudita,Uruguai
13,2,Qatar,Uruguai
13,2,Senegal,Uruguai
13,2,Japão,Uruguai
13,2,Camarões,Uruguai
13,2,Canadá,Uruguai
13,2,Inglaterra,Uruguai
13,2,EUA,Uruguai
13,2,Brasil,Uruguai
13,2,Croácia,Uruguai
13,2,Irã,Gana
13,2,Austrália,Gana
13,2,Bélgica,Gana
13,2,Equador,Gana
13,2,Países Baixos,Gana
13,2,Costa Rica,Gana
13,2,Espanha,Gana
13,2,Tunísia,Gana
13,2,Polônia,Gana
13,2,França,Gana
13,2,Coreia do Sul,Gana
13,2,Dinamarca,Gana
13,2,Sérvia,Gana
13,2,México,Gana
13,2,Arábia Saudita,Gana
13,2,Qatar,Gana
13,2,Senegal,Gana
13,2,Japão,Gana
13,2,Camarões,Gana
13,2,Canadá,Gana
13,2,Inglaterra,Gana
13,2,EUA,Gana
13,2,Brasil,Gana
13,2,Croácia,Gana
13,2,Austrália,Irã
13,2,Bélgica,Irã
13,2,Equador,Irã
13,2,Países Baixos,Irã
13,2,Costa Rica,Irã
13,2,Espanha,Irã
13,2,Tunísia,Irã
13,2,Polônia,Irã
13,2,França,Irã
13,2,Coreia do Sul,Irã
13,2,Dinamarca,Irã
13,2,Sérvia,Irã
13,2,México,Irã
13,2,Arábia Saudita,Irã
13,2,Qatar,Irã
13,2,Senegal,Irã
13,2,Japão,Irã
13,2,Camarões,Irã
13,2,Canadá,Irã
13,2,Inglaterra,Irã
13,2,EUA,Irã
13,2,Brasil,Irã
13,2,Croácia,Irã
13,2,Bélgica,Austrália
13,2,Equador,Austrália
13,2,Países Baixos,Austrália
13,2,Costa Rica,Austrália
13,2,Espanha,Austrália
13,2,Tunísia,Austrália
13,2,Polônia,Austrália
13,2,França,Austrália
13,2,Coreia do Sul,Austrália
13,2,Dinamarca,Austrália
13,2,Sérvia,Austrália
13,2,México,Austrália
13,2,Arábia Saudita,Austrália
13,2,Qatar,Austrália
13,2,Senegal,Austrália
13,2,Japão,Austrália
13,2,Camarões,Austrália
13,2,Canadá,Austrália
13,2,Inglaterra,Austrália
13,2,EUA,Austrália
13,2,Brasil,Austrália
13,2,Croácia,Austrália
13,2,Equador,Bélgica
13,2,Países Baixos,Bélgica
13,2,Costa Rica,Bélgica
13,2,Espanha,Bélgica
13,2,Tunísia,Bélgica
13,2,Polônia,Bélgica
13,2,França,Bélgica
13,2,Coreia do Sul,Bélgica
13,2,Dinamarca,Bélgica
13,2,Sérvia,Bélgica
13,2,México,Bélgica
13,2,Arábia Saudita,Bélgica
13,2,Qatar,Bélgica
13,2,Senegal,Bélgica
13,2,Japão,Bélgica
13,2,Camarões,Bélgica
13,2,Canadá,Bélgica
13,2,Inglaterra,Bélgica
13,2,EUA,Bélgica
13,2,Brasil,Bélgica
13,2,Croácia,Bélgica
13,2,Países Baixos,Equador
13,2,Costa Rica,Equador
13,2,Espanha,Equador
13,2,Tunísia,Equador
13,2,Polônia,Equador
13,2,França,Equador
13,2,Coreia do Sul,Equador
13,2,Dinamarca,Equador
13,2,Sérvia,Equador
13,2,México,Equador
13,2,Arábia Saudita,Equador
13,2,Qatar,Equador
13,2,Senegal,Equador
13,2,Japão,Equador
13,2,Camarões,Equador
13,2,Canadá,Equador
13,2,Inglaterra,Equador
13,2,EUA,Equador
13,2,Brasil,Equador
13,2,Croácia,Equador
13,2,Costa Rica,Países Baixos
13,2,Espanha,Países Baixos
13,2,Tunísia,Países Baixos
13,2,Polônia,Países Baixos
13,2,França,Países Baixos
13,2,Coreia do Sul,Países Baixos
13,2,Dinamarca,Países Baixos
13,2,Sérvia,Países Baixos
13,2,México,Países Baixos
13,2,Arábia Saudita,Países Baixos
13,2,Qatar,Países Baixos
13,2,Senegal,Países Baixos
13,2,Japão,Países Baixos
13,2,Camarões,Países Baixos
13,2,Canadá,Países Baixos
13,2,Inglaterra,Países Baixos
13,2,EUA,Países Baixos
13,2,Brasil,Países Baixos
13,2,Croácia,Países Baixos
13,2,Espanha,Costa Rica
13,2,Tunísia,Costa Rica
13,2,Polônia,Costa Rica
13,2,França,Costa Rica
13,2,Coreia do Sul,Costa Rica
13,2,Dinamarca,Costa Rica
13,2,Sérvia,Costa Rica
13,2,México,Costa Rica
13,2,Arábia Saudita,Costa Rica
13,2,Qatar,Costa Rica
13,2,Senegal,Costa Rica
13,2,Japão,Costa Rica
13,2,Camarões,Costa Rica
13,2,Canadá,Costa Rica
13,2,Inglaterra,Costa Rica
13,2,EUA,Costa Rica
13,2,Brasil,Costa Rica
13,2,Croácia,Costa Rica
13,2,Tunísia,Espanha
13,2,Polônia,Espanha
13,2,França,Espanha
13,2,Coreia do Sul,Espanha
13,2,Dinamarca,Espanha
13,2,Sérvia,Espanha
13,2,México,Espanha
13,2,Arábia Saudita,Espanha
13,2,Qatar,Espanha
13,2,Senegal,Espanha
13,2,Japão,Espanha
13,2,Camarões,Espanha
13,2,Canadá,Espanha
13,2,Inglaterra,Espanha
13,2,EUA,Espanha
13,2,Brasil,Espanha
13,2,Croácia,Espanha
13,2,Polônia,Tunísia
13,2,França,Tunísia
13,2,Coreia do Sul,Tunísia
13,2,Dinamarca,Tunísia
13,2,Sérvia,Tunísia
13,2,México,Tunísia
13,2,Arábia Saudita,Tunísia
13,2,Qatar,Tunísia
13,2,Senegal,Tunísia
13,2,Japão,Tunísia
13,2,Camarões,Tunísia
13,2,Canadá,Tunísia
13,2,Inglaterra,Tunísia
13,2,EUA,Tunísia
13,2,Brasil,Tunísia
13,2,Croácia,Tunísia
13,2,França,Polônia
13,2,Coreia do Sul,Polônia
13,2,Dinamarca,Polônia
13,2,Sérvia,Polônia
13,2,México,Polônia
13,2,Arábia Saudita,Polônia
13,2,Qatar,Polônia
13,2,Senegal,Polônia
13,2,Japão,Polônia
13,2,Camarões,Polônia
13,2,Canadá,Polônia
13,2,Inglaterra,Polônia
13,2,EUA,Polônia
13,2,Brasil,Polônia
13,2,Croácia,Polônia
13,2,Coreia do Sul,França
13,2,Dinamarca,França
13,2,Sérvia,França
13,2,México,França
13,2,Arábia Saudita,França
13,2,Qatar,França
13,2,Senegal,França
13,2,Japão,França
13,2,Camarões,França
13,2,Canadá,França
13,2,Inglaterra,França
13,2,EUA,França
13,2,Brasil,França
13,2,Croácia,França
13,2,Dinamarca,Coreia do Sul
13,2,Sérvia,Coreia do Sul
13,2,México,Coreia do Sul
13,2,Arábia Saudita,Coreia do Sul
13,2,Qatar,Coreia do Sul
13,2,Senegal,Coreia do Sul
13,2,Japão,Coreia do Sul
13,2,Camarões,Coreia do Sul
13,2,Canadá,Coreia do Sul
13,2,Inglaterra,Coreia do Sul
13,2,EUA,Coreia do Sul
13,2,Brasil,Coreia do Sul
13,2,Croácia,Coreia do Sul
13,2,Sérvia,Dinamarca
13,2,México,Dinamarca
13,2,Arábia Saudita,Dinamarca
13,2,Qatar,Dinamarca
13,2,Senegal,Dinamarca
13,2,Japão,Dinamarca
13,2,Camarões,Dinamarca
13,2,Canadá,Dinamarca
13,2,Inglaterra,Dinamarca
13,2,EUA,Dinamarca
13,2,Brasil,Dinamarca
13,2,Croácia,Dinamarca
13,2,México,Sérvia
13,2,Arábia Saudita,Sérvia
13,2,Qatar,Sérvia
13,2,Senegal,Sérvia
13,2,Japão,Sérvia
13,2,Camarões,Sérvia
13,2,Canadá,Sérvia
13,2,Inglaterra,Sérvia
13,2,EUA,Sérvia
13,2,Brasil,Sérvia
13,2,Croácia,Sérvia
13,2,Arábia Saudita,México
13,2,Qatar,México
13,2,Senegal,México
13,2,Japão,México
13,2,Camarões,México
13,2,Canadá,México
13,2,Inglaterra,México
13,2,EUA,México
13,2,Brasil,México
13,2,Croácia,México
13,2,Qatar,Arábia Saudita
13,2,Senegal,Arábia Saudita
13,2,Japão,Arábia Saudita
13,2,Camarões,Arábia Saudita
13,2,Canadá,Arábia Saudita
13,2,Inglaterra,Arábia Saudita
13,2,EUA,Arábia Saudita
13,2,Brasil,Arábia Saudita
13,2,Croácia,Arábia Saudita
13,2,Senegal,Qatar
13,2,Japão,Qatar
13,2,Camarões,Qatar
13,2,Canadá,Qatar
13,2,Inglaterra,Qatar
13,2,EUA,Qatar
13,2,Brasil,Qatar
13,2,Croácia,Qatar
13,2,Japão,Senegal
13,2,Camarões,Senegal
13,2,Canadá,Senegal
13,2,Inglaterra,Senegal
13,2,EUA,Senegal
13,2,Brasil,Senegal
13,2,Croácia,Senegal
13,2,Camarões,Japão
13,2,Canadá,Japão
13,2,Inglaterra,Japão
13,2,EUA,Japão
13,2,Brasil,Japão
13,2,Croácia,Japão
13,2,Canadá,Camarões
