HORA,COLUNA,Time_Contra,Time_Casa
13,2,Países Baixos,Itália
13,2,Ucrânia,Itália
13,2,Alemanha,Itália
13,2,República Tcheca,Itália
13,2,Inglaterra,Itália
13,2,Sérvia,Itália
13,2,Albânia,Itália
13,2,Bélgica,Itália
13,2,Croácia,Itália
13,2,Turquia,Itália
13,2,Eslováquia,Itália
13,2,Escócia,Itália
13,2,Geórgia,Itália
13,2,Romênia,Itália
13,2,Polônia,Itália
13,2,Hungria,Itália
13,2,Áustria,Itália
13,2,Eslovênia,Itália
13,2,Portugal,Itália
13,2,Suíça,Itália
13,2,França,Itália
13,2,Dinamarca,Itália
13,2,Espanha,Itália
13,2,Ucrânia,Países Baixos
13,2,Alemanha,Países Baixos
13,2,República Tcheca,Países Baixos
13,2,Inglaterra,Países Baixos
13,2,Sérvia,Países Baixos
13,2,Albânia,Países Baixos
13,2,Bélgica,Países Baixos
13,2,Croácia,Países Baixos
13,2,Turquia,Países Baixos
13,2,Eslováquia,Países Baixos
13,2,Escócia,Países Baixos
13,2,Geórgia,Países Baixos
13,2,Romênia,Países Baixos
13,2,Polônia,Países Baixos
13,2,Hungria,Países Baixos
13,2,Áustria,Países Baixos
13,2,Eslovênia,Países Baixos
13,2,Portugal,Países Baixos
13,2,Suíça,Países Baixos
13,2,França,Países Baixos
13,2,Dinamarca,Países Baixos
13,2,Espanha,Países Baixos
13,2,Alemanha,Ucrânia
13,2,República Tcheca,Ucrânia
13,2,Inglaterra,Ucrânia
13,2,Sérvia,Ucrânia
13,2,Albânia,Ucrânia
13,2,Bélgica,Ucrânia
13,2,Croácia,Ucrânia
13,2,Turquia,Ucrânia
13,2,Eslováquia,Ucrânia
13,2,Escócia,Ucrânia
13,2,Geórgia,Ucrânia
13,2,Romênia,Ucrânia
13,2,Polônia,Ucrânia
13,2,Hungria,Ucrânia
13,2,Áustria,Ucrânia
13,2,Eslovênia,Ucrânia
13,2,Portugal,Ucrânia
13,2,Suíça,Ucrânia
13,2,França,Ucrânia
13,2,Dinamarca,Ucrânia
13,2,Espanha,Ucrânia
13,2,República Tcheca,Alemanha
13,2,Inglaterra,Alemanha
13,2,Sérvia,Alemanha
13,2,Albânia,Alemanha
13,2,Bélgica,Alemanha
13,2,Croácia,Alemanha
13,2,Turquia,Alemanha
13,2,Eslováquia,Alemanha
13,2,Escócia,Alemanha
13,2,Geórgia,Alemanha
13,2,Romênia,Alemanha
13,2,Polônia,Alemanha
13,2,Hungria,Alemanha
13,2,Áustria,Alemanha
13,2,Eslovênia,Alemanha
13,2,Portugal,Alemanha
13,2,Suíça,Alemanha
13,2,França,Alemanha
13,2,Dinamarca,Alemanha
13,2,Espanha,Alemanha
13,2,Inglaterra,República Tcheca
13,2,Sérvia,República Tcheca
13,2,Albânia,República Tcheca
13,2,Bélgica,República Tcheca
13,2,Croácia,República Tcheca
13,2,Turquia,República Tcheca
13,2,Eslováquia,República Tcheca
13,2,Escócia,República Tcheca
13,2,Geórgia,República Tcheca
13,2,Romênia,República Tcheca
13,2,Polônia,República Tcheca
13,2,Hungria,República Tcheca
13,2,Áustria,República Tcheca
13,2,Eslovênia,República Tcheca
13,2,Portugal,República Tcheca
13,2,Suíça,República Tcheca
13,2,França,República Tcheca
13,2,Dinamarca,República Tcheca
13,2,Espanha,República Tcheca
13,2,Sérvia,Inglaterra
13,2,Albânia,Inglaterra
13,2,Bélgica,Inglaterra
13,2,Croácia,Inglaterra
13,2,Turquia,Inglaterra
13,2,Eslováquia,Inglaterra
13,2,Escócia,Inglaterra
13,2,Geórgia,Inglaterra
13,2,Romênia,Inglaterra
13,2,Polônia,Inglaterra
13,2,Hungria,Inglaterra
13,2,Áustria,Inglaterra
13,2,Eslovênia,Inglaterra
13,2,Portugal,Inglaterra
13,2,Suíça,Inglaterra
13,2,França,Inglaterra
13,2,Dinamarca,Inglaterra
13,2,Espanha,Inglaterra
13,2,Albânia,Sérvia
13,2,Bélgica,Sérvia
13,2,Croácia,Sérvia
13,2,Turquia,Sérvia
13,2,Eslováquia,Sérvia
13,2,Escócia,Sérvia
13,2,Geórgia,Sérvia
13,2,Romênia,Sérvia
13,2,Polônia,Sérvia
13,2,Hungria,Sérvia
13,2,Áustria,Sérvia
13,2,Eslovênia,Sérvia
13,2,Portugal,Sérvia
13,2,Suíça,Sérvia
13,2,França,Sérvia
13,2,Dinamarca,Sérvia
13,2,Espanha,Sérvia
13,2,Bélgica,Albânia
13,2,Croácia,Albânia
13,2,Turquia,Albânia
13,2,Eslováquia,Albânia
13,2,Escócia,Albânia
13,2,Geórgia,Albânia
13,2,Romênia,Albânia
13,2,Polônia,Albânia
13,2,Hungria,Albânia
13,2,Áustria,Albânia
13,2,Eslovênia,Albânia
13,2,Portugal,Albânia
13,2,Suíça,Albânia
13,2,França,Albânia
13,2,Dinamarca,Albânia
13,2,Espanha,Albânia
13,2,Croácia,Bélgica
13,2,Turquia,Bélgica
13,2,Eslováquia,Bélgica
13,2,Escócia,Bélgica
13,2,Geórgia,Bélgica
13,2,Romênia,Bélgica
13,2,Polônia,Bélgica
13,2,Hungria,Bélgica
13,2,Áustria,Bélgica
13,2,Eslovênia,Bélgica
13,2,Portugal,Bélgica
13,2,Suíça,Bélgica
13,2,França,Bélgica
13,2,Dinamarca,Bélgica
13,2,Espanha,Bélgica
13,2,Turquia,Croácia
13,2,Eslováquia,Croácia
13,2,Escócia,Croácia
13,2,Geórgia,Croácia
13,2,Romênia,Croácia
13,2,Polônia,Croácia
13,2,Hungria,Croácia
13,2,Áustria,Croácia
13,2,Eslovênia,Croácia
13,2,Portugal,Croácia
13,2,Suíça,Croácia
13,2,França,Croácia
13,2,Dinamarca,Croácia
13,2,Espanha,Croácia
13,2,Eslováquia,Turquia
13,2,Escócia,Turquia
13,2,Geórgia,Turquia
13,2,Romênia,Turquia
13,2,Polônia,Turquia
13,2,Hungria,Turquia
13,2,Áustria,Turquia
13,2,Eslovênia,Turquia
13,2,Portugal,Turquia
13,2,Suíça,Turquia
13,2,França,Turquia
13,2,Dinamarca,Turquia
13,2,Espanha,Turquia
13,2,Escócia,Eslováquia
13,2,Geórgia,Eslováquia
13,2,Romênia,Eslováquia
13,2,Polônia,Eslováquia
13,2,Hungria,Eslováquia
13,2,Áustria,Eslováquia
13,2,Eslovênia,Eslováquia
13,2,Portugal,Eslováquia
13,2,Suíça,Eslováquia
13,2,França,Eslováquia
13,2,Dinamarca,Eslováquia
13,2,Espanha,Eslováquia
13,2,Geórgia,Escócia
13,2,Romênia,Escócia
13,2,Polônia,Escócia
13,2,Hungria,Escócia
13,2,Áustria,Escócia
13,2,Eslovênia,Escócia
13,2,Portugal,Escócia
13,2,Suíça,Escócia
13,2,França,Escócia
13,2,Dinamarca,Escócia
13,2,Espanha,Escócia
13,2,Romênia,Geórgia
13,2,Polônia,Geórgia
13,2,Hungria,Geórgia
13,2,Áustria,Geórgia
13,2,Eslovênia,Geórgia
13,2,Portugal,Geórgia
13,2,Suíça,Geórgia
13,2,França,Geórgia
13,2,Dinamarca,Geórgia
13,2,Espanha,Geórgia
13,2,Polônia,Romênia
13,2,Hungria,Romênia
13,2,Áustria,Romênia
13,2,Eslovênia,Romênia
13,2,Portugal,Romênia
13,2,Suíça,Romênia
13,2,França,Romênia
13,2,Dinamarca,Romênia
13,2,Espanha,Romênia
13,2,Hungria,Polônia
13,2,Áustria,Polônia
13,2,Eslovênia,Polônia
13,2,Portugal,Polônia
13,2,Suíça,Polônia
13,2,França,Polônia
13,2,Dinamarca,Polônia
