HORA,COLUNA,Time_Contra,Time_Casa
6,2,Brighton,Leicester
6,2,Palace,Leicester
6,2,Everton,Leicester
6,2,Watford,Leicester
6,2,Burnley,Leicester
6,2,Brentford,Leicester
6,2,West Ham,Leicester
6,2,United,Leicester
6,2,Newcastle,Leicester
6,2,City,Leicester
6,2,Wolverhampton,Leicester
6,2,Norwich,Leicester
6,2,Leeds,Leicester
6,2,Liverpool,Leicester
6,2,Southampton,Leicester
6,2,Aston,Leicester
6,2,Islington,Leicester
6,2,Chelsea,Leicester
6,2,Tottenham,Leicester
6,2,Palace,Brighton
6,2,Everton,Brighton
6,2,Watford,Brighton
6,2,Burnley,Brighton
6,2,Brentford,Brighton
6,2,West Ham,Brighton
6,2,United,Brighton
6,2,Newcastle,Brighton
6,2,City,Brighton
6,2,Wolverhampton,Brighton
6,2,Norwich,Brighton
6,2,Leeds,Brighton
6,2,Liverpool,Brighton
6,2,Southampton,Brighton
6,2,Aston,Brighton
6,2,Islington,Brighton
6,2,Chelsea,Brighton
6,2,Tottenham,Brighton
6,2,Everton,Palace
6,2,Watford,Palace
6,2,Burnley,Palace
6,2,Brentford,Palace
6,2,West Ham,Palace
6,2,United,Palace
6,2,Newcastle,Palace
6,2,City,Palace
6,2,Wolverhampton,Palace
6,2,Norwich,Palace
6,2,Leeds,Palace
6,2,Liverpool,Palace
6,2,Southampton,Palace
6,2,Aston,Palace
6,2,Islington,Palace
6,2,Chelsea,Palace
6,2,Tottenham,Palace
6,2,Watford,Everton
6,2,Burnley,Everton
6,2,Brentford,Everton
6,2,West Ham,Everton
6,2,United,Everton
6,2,Newcastle,Everton
6,2,City,Everton
6,2,Wolverhampton,Everton
6,2,Norwich,Everton
6,2,Leeds,Everton
6,2,Liverpool,Everton
6,2,Southampton,Everton
6,2,Aston,Everton
6,2,Islington,Everton
6,2,Chelsea,Everton
6,2,Tottenham,Everton
6,2,Burnley,Watford
6,2,Brentford,Watford
6,2,West Ham,Watford
6,2,United,Watford
6,2,Newcastle,Watford
6,2,City,Watford
6,2,Wolverhampton,Watford
6,2,Norwich,Watford
6,2,Leeds,Watford
6,2,Liverpool,Watford
6,2,Southampton,Watford
6,2,Aston,Watford
6,2,Islington,Watford
6,2,Chelsea,Watford
6,2,Tottenham,Watford
6,2,Brentford,Burnley
6,2,West Ham,Burnley
6,2,United,Burnley
6,2,Newcastle,Burnley
6,2,City,Burnley
6,2,Wolverhampton,Burnley
6,2,Norwich,Burnley
6,2,Leeds,Burnley
6,2,Liverpool,Burnley
6,2,Southampton,Burnley
6,2,Aston,Burnley
6,2,Islington,Burnley
6,2,Chelsea,Burnley
6,2,Tottenham,Burnley
6,2,West Ham,Brentford
6,2,United,Brentford
6,2,Newcastle,Brentford
6,2,City,Brentford
6,2,Wolverhampton,Brentford
6,2,Norwich,Brentford
6,2,Leeds,Brentford
6,2,Liverpool,Brentford
6,2,Southampton,Brentford
6,2,Aston,Brentford
6,2,Islington,Brentford
6,2,Chelsea,Brentford
6,2,Tottenham,Brentford
6,2,United,West Ham
