HORA,COLUNA,Time_Contra,Time_Casa
13,2,Penarol,Itaquera
13,2,Lima,Itaquera
13,2,Belo Horizonte,Itaquera
13,2,Guayaquil,Itaquera
13,2,Agua Branca,Itaquera
13,2,Bogota,Itaquera
13,2,Rio de Janeiro,Itaquera
13,2,Asuncion,Itaquera
13,2,Medellin,Itaquera
13,2,Sao Paulo,Itaquera
13,2,La Plata,Itaquera
13,2,Santiago,Itaquera
13,2,Buenos Aires,Itaquera
13,2,Avellaneda,Itaquera
13,2,Quito,Itaquera
13,2,La Boca,Itaquera
13,2,Porto Alegre,Itaquera
13,2,Montevideo,Itaquera
13,2,Santos,Itaquera
13,2,Lima,Penarol
13,2,Belo Horizonte,Penarol
13,2,Guayaquil,Penarol
13,2,Agua Branca,Penarol
13,2,Bogota,Penarol
13,2,Rio de Janeiro,Penarol
13,2,Asuncion,Penarol
13,2,Medellin,Penarol
13,2,Sao Paulo,Penarol
13,2,La Plata,Penarol
13,2,Santiago,Penarol
13,2,Buenos Aires,Penarol
13,2,Avellaneda,Penarol
13,2,Quito,Penarol
13,2,La Boca,Penarol
13,2,Porto Alegre,Penarol
13,2,Montevideo,Penarol
13,2,Santos,Penarol
13,2,Belo Horizonte,Lima
13,2,Guayaquil,Lima
13,2,Agua Branca,Lima
13,2,Bogota,Lima
13,2,Rio de Janeiro,Lima
13,2,Asuncion,Lima
13,2,Medellin,Lima
13,2,Sao Paulo,Lima
13,2,La Plata,Lima
13,2,Santiago,Lima
13,2,Buenos Aires,Lima
13,2,Avellaneda,Lima
13,2,Quito,Lima
13,2,La Boca,Lima
13,2,Porto Alegre,Lima
13,2,Montevideo,Lima
13,2,Santos,Lima
13,2,Guayaquil,Belo Horizonte
13,2,Agua Branca,Belo Horizonte
13,2,Bogota,Belo Horizonte
13,2,Rio de Janeiro,Belo Horizonte
13,2,Asuncion,Belo Horizonte
13,2,Medellin,Belo Horizonte
13,2,Sao Paulo,Belo Horizonte
13,2,La Plata,Belo Horizonte
13,2,Santiago,Belo Horizonte
13,2,Buenos Aires,Belo Horizonte
13,2,Avellaneda,Belo Horizonte
13,2,Quito,Belo Horizonte
13,2,La Boca,Belo Horizonte
13,2,Porto Alegre,Belo Horizonte
13,2,Montevideo,Belo Horizonte
13,2,Santos,Belo Horizonte
13,2,Agua Branca,Guayaquil
13,2,Bogota,Guayaquil
13,2,Rio de Janeiro,Guayaquil
13,2,Asuncion,Guayaquil
13,2,Medellin,Guayaquil
13,2,Sao Paulo,Guayaquil
13,2,La Plata,Guayaquil
13,2,Santiago,Guayaquil
13,2,Buenos Aires,Guayaquil
13,2,Avellaneda,Guayaquil
13,2,Quito,Guayaquil
13,2,La Boca,Guayaquil
13,2,Porto Alegre,Guayaquil
13,2,Montevideo,Guayaquil
13,2,Santos,Guayaquil
13,2,Bogota,Agua Branca
13,2,Rio de Janeiro,Agua Branca
13,2,Asuncion,Agua Branca
13,2,Medellin,Agua Branca
13,2,Sao Paulo,Agua Branca
13,2,La Plata,Agua Branca
13,2,Santiago,Agua Branca
13,2,Buenos Aires,Agua Branca
