Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1770672,Euro,2025-05-30,5:02,Eslováquia,Romênia,0,0,0,2.70,2.60,2.70,2.60,2.60,3.50,2.70,0-0,7.00,30-05-2025 01:19
1770680,Euro,2025-05-30,5:05,Sérvia,Polônia,1,1,2,3.20,2.35,3.20,2.35,2.35,3.20,3.20,1-1,10.00,30-05-2025 01:19
1770686,Euro,2025-05-30,5:08,Portugal,Eslováquia,2,0,2,3.75,2.00,3.75,2.00,2.00,3.50,3.75,2-0,7.50,30-05-2025 01:19
1770694,Euro,2025-05-30,5:11,Espanha,Polônia,2,0,2,3.40,2.15,3.40,2.15,2.15,3.50,3.40,2-0,7.50,30-05-2025 01:19
1770701,Euro,2025-05-30,5:14,Escócia,Turquia,2,0,2,2.80,2.55,2.80,2.55,2.55,3.30,2.80,2-0,8.50,30-05-2025 01:19
1770708,Euro,2025-05-30,5:17,Inglaterra,Sérvia,2,1,3,2.15,3.40,3.40,2.15,2.15,3.50,3.40,2-1,8.00,30-05-2025 01:19
1770534,Euro,2025-05-30,4:02,Hungria,Romênia,1,0,1,3.00,2.37,3.00,2.37,2.37,3.40,3.00,1-0,7.50,30-05-2025 01:19
1770540,Euro,2025-05-30,4:05,Alemanha,Portugal,1,1,2,2.90,2.37,2.90,2.37,2.37,3.50,2.90,1-1,7.00,30-05-2025 01:19
1770547,Euro,2025-05-30,4:08,Inglaterra,Suíça,1,2,3,2.10,3.30,3.30,2.10,2.10,3.60,3.30,1-2,6.50,30-05-2025 01:19
1770554,Euro,2025-05-30,4:11,Países Baixos,Turquia,2,0,2,3.00,2.40,3.00,2.40,2.40,3.40,3.00,2-0,7.50,30-05-2025 01:19
1770561,Euro,2025-05-30,4:14,Croácia,Hungria,1,2,3,2.30,3.10,3.10,2.30,2.30,3.40,3.10,1-2,8.00,30-05-2025 01:19
1770568,Euro,2025-05-30,4:17,Espanha,Sérvia,3,1,4,2.25,3.20,2.25,3.20,2.25,3.40,3.20,3-1,7.50,30-05-2025 01:19
1770574,Euro,2025-05-30,4:20,Ucrânia,República Tcheca,0,0,0,2.87,2.55,2.87,2.55,2.55,3.25,2.87,0-0,9.00,30-05-2025 01:19
1770581,Euro,2025-05-30,4:23,Áustria,Dinamarca,2,2,4,2.55,2.80,2.55,2.80,2.55,3.30,2.80,2-2,8.50,30-05-2025 01:19
1770589,Euro,2025-05-30,4:26,Portugal,Hungria,1,0,1,3.30,2.20,3.30,2.20,2.20,3.40,3.30,1-0,8.00,30-05-2025 01:19
1770596,Euro,2025-05-30,4:29,Geórgia,Inglaterra,0,1,1,2.10,3.40,2.10,3.40,3.40,3.50,2.10,0-1,7.00,30-05-2025 01:19
1770603,Euro,2025-05-30,4:32,Sérvia,Romênia,0,0,0,3.10,2.30,3.10,2.30,2.30,3.40,3.10,0-0,8.00,30-05-2025 01:19
1770610,Euro,2025-05-30,4:35,Hungria,Itália,1,2,3,2.70,2.62,2.62,2.70,2.70,3.30,2.62,1-2,8.50,30-05-2025 01:19
