Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719617,0,2,2,2.3,3.1,2.3,3.1,3.1,3.4,2.3
1719603,1,2,3,2.3,3.0,3.0,2.3,2.3,3.6,3.0
1719555,2,1,3,3.2,2.2,2.2,3.2,3.2,3.6,2.2
1719556,2,0,2,3.3,2.15,3.3,2.15,2.15,3.5,3.3
1719540,2,1,3,2.5,2.8,2.8,2.5,2.5,3.4,2.8
1719653,2,4,6,2.62,2.75,2.62,2.75,2.62,3.3,2.75
1719627,0,1,1,3.3,2.1,3.3,2.1,2.1,3.6,3.3
1719667,1,2,3,2.35,3.3,3.3,2.35,2.35,3.1,3.3
1719664,0,1,1,3.8,1.95,3.8,1.95,1.95,3.75,3.8
1719554,3,2,5,2.55,2.87,2.55,2.87,2.55,3.25,2.87
1719630,3,1,4,1.85,4.2,1.85,4.2,1.85,3.6,4.2
1719587,0,0,0,3.8,1.95,3.8,1.95,1.95,3.6,3.8
1719652,1,1,2,2.7,2.75,2.7,2.75,2.75,3.2,2.7
1719565,1,3,4,2.3,3.0,2.3,3.0,2.3,3.5,3.0
1719646,2,2,4,2.37,3.0,2.37,3.0,2.37,3.4,3.0
1719592,0,3,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3
