HORA,COLUNA,Time_Contra,Time_Casa
3,2,EUA,Suíça
3,2,Alemanha,Suíça
3,2,Arábia Saudita,Suíça
3,2,Sérvia,Suíça
3,2,Gana,Suíça
3,2,Brasil,Suíça
3,2,Espanha,Suíça
3,2,Canadá,Suíça
3,2,Japão,Suíça
3,2,México,Suíça
3,2,França,Suíça
3,2,Senegal,Suíça
3,2,Tunísia,Suíça
3,2,Portugal,Suíça
3,2,Coreia do Sul,Suíça
3,2,País de Gales,Suíça
3,2,Uruguai,Suíça
3,2,Croácia,Suíça
3,2,Camarões,Suíça
3,2,Países Baixos,Suíça
3,2,Costa Rica,Suíça
3,2,Marrocos,Suíça
3,2,Austrália,Suíça
3,2,Polônia,Suíça
3,2,Inglaterra,Suíça
3,2,Bélgica,Suíça
3,2,Irã,Suíça
3,2,Qatar,Suíça
3,2,Equador,Suíça
3,2,Dinamarca,Suíça
3,2,Argentina,Suíça
3,2,Alemanha,EUA
3,2,Arábia Saudita,EUA
3,2,Sérvia,EUA
3,2,Gana,EUA
3,2,Brasil,EUA
3,2,Espanha,EUA
3,2,Canadá,EUA
3,2,Japão,EUA
3,2,México,EUA
3,2,França,EUA
3,2,Senegal,EUA
3,2,Tunísia,EUA
3,2,Portugal,EUA
3,2,Coreia do Sul,EUA
3,2,País de Gales,EUA
3,2,Uruguai,EUA
3,2,Croácia,EUA
3,2,Camarões,EUA
3,2,Países Baixos,EUA
3,2,Costa Rica,EUA
3,2,Marrocos,EUA
3,2,Austrália,EUA
3,2,Polônia,EUA
3,2,Inglaterra,EUA
3,2,Bélgica,EUA
3,2,Irã,EUA
3,2,Qatar,EUA
3,2,Equador,EUA
3,2,Dinamarca,EUA
3,2,Argentina,EUA
3,2,Arábia Saudita,Alemanha
3,2,Sérvia,Alemanha
3,2,Gana,Alemanha
3,2,Brasil,Alemanha
3,2,Espanha,Alemanha
3,2,Canadá,Alemanha
3,2,Japão,Alemanha
3,2,México,Alemanha
3,2,França,Alemanha
3,2,Senegal,Alemanha
3,2,Tunísia,Alemanha
3,2,Portugal,Alemanha
3,2,Coreia do Sul,Alemanha
3,2,País de Gales,Alemanha
3,2,Uruguai,Alemanha
3,2,Croácia,Alemanha
3,2,Camarões,Alemanha
3,2,Países Baixos,Alemanha
3,2,Costa Rica,Alemanha
3,2,Marrocos,Alemanha
