HORA,COLUNA,Time_Contra,Time_Casa
5,2,Eslovênia,Países Baixos
5,2,Bélgica,Países Baixos
5,2,Romênia,Países Baixos
5,2,Ucrânia,Países Baixos
5,2,Polônia,Países Baixos
5,2,Eslováquia,Países Baixos
5,2,Turquia,Países Baixos
5,2,Sérvia,Países Baixos
5,2,Espanha,Países Baixos
5,2,França,Países Baixos
5,2,Croácia,Países Baixos
5,2,Escócia,Países Baixos
5,2,Hungria,Países Baixos
5,2,Portugal,Países Baixos
5,2,Suíça,Países Baixos
5,2,República Tcheca,Países Baixos
5,2,Dinamarca,Países Baixos
5,2,Inglaterra,Países Baixos
5,2,Itália,Países Baixos
5,2,Geórgia,Países Baixos
5,2,Alemanha,Países Baixos
5,2,Albânia,Países Baixos
5,2,Áustria,Países Baixos
5,2,Bélgica,Eslovênia
5,2,Romênia,Eslovênia
5,2,Ucrânia,Eslovênia
5,2,Polônia,Eslovênia
5,2,Eslováquia,Eslovênia
5,2,Turquia,Eslovênia
5,2,Sérvia,Eslovênia
5,2,Espanha,Eslovênia
5,2,França,Eslovênia
5,2,Croácia,Eslovênia
5,2,Escócia,Eslovênia
5,2,Hungria,Eslovênia
5,2,Portugal,Eslovênia
5,2,Suíça,Eslovênia
5,2,República Tcheca,Eslovênia
5,2,Dinamarca,Eslovênia
5,2,Inglaterra,Eslovênia
5,2,Itália,Eslovênia
5,2,Geórgia,Eslovênia
5,2,Alemanha,Eslovênia
5,2,Albânia,Eslovênia
5,2,Áustria,Eslovênia
5,2,Romênia,Bélgica
5,2,Ucrânia,Bélgica
5,2,Polônia,Bélgica
5,2,Eslováquia,Bélgica
5,2,Turquia,Bélgica
5,2,Sérvia,Bélgica
5,2,Espanha,Bélgica
5,2,França,Bélgica
5,2,Croácia,Bélgica
5,2,Escócia,Bélgica
5,2,Hungria,Bélgica
5,2,Portugal,Bélgica
5,2,Suíça,Bélgica
5,2,República Tcheca,Bélgica
5,2,Dinamarca,Bélgica
5,2,Inglaterra,Bélgica
5,2,Itália,Bélgica
5,2,Geórgia,Bélgica
5,2,Alemanha,Bélgica
5,2,Albânia,Bélgica
5,2,Áustria,Bélgica
5,2,Ucrânia,Romênia
5,2,Polônia,Romênia
5,2,Eslováquia,Romênia
5,2,Turquia,Romênia
5,2,Sérvia,Romênia
5,2,Espanha,Romênia
5,2,França,Romênia
5,2,Croácia,Romênia
5,2,Escócia,Romênia
5,2,Hungria,Romênia
5,2,Portugal,Romênia
5,2,Suíça,Romênia
5,2,República Tcheca,Romênia
5,2,Dinamarca,Romênia
5,2,Inglaterra,Romênia
5,2,Itália,Romênia
5,2,Geórgia,Romênia
5,2,Alemanha,Romênia
5,2,Albânia,Romênia
5,2,Áustria,Romênia
5,2,Polônia,Ucrânia
5,2,Eslováquia,Ucrânia
5,2,Turquia,Ucrânia
5,2,Sérvia,Ucrânia
5,2,Espanha,Ucrânia
5,2,França,Ucrânia
5,2,Croácia,Ucrânia
5,2,Escócia,Ucrânia
5,2,Hungria,Ucrânia
5,2,Portugal,Ucrânia
5,2,Suíça,Ucrânia
5,2,República Tcheca,Ucrânia
5,2,Dinamarca,Ucrânia
5,2,Inglaterra,Ucrânia
5,2,Itália,Ucrânia
5,2,Geórgia,Ucrânia
5,2,Alemanha,Ucrânia
5,2,Albânia,Ucrânia
5,2,Áustria,Ucrânia
5,2,Eslováquia,Polônia
5,2,Turquia,Polônia
5,2,Sérvia,Polônia
5,2,Espanha,Polônia
5,2,França,Polônia
5,2,Croácia,Polônia
5,2,Escócia,Polônia
5,2,Hungria,Polônia
5,2,Portugal,Polônia
5,2,Suíça,Polônia
5,2,República Tcheca,Polônia
5,2,Dinamarca,Polônia
5,2,Inglaterra,Polônia
5,2,Itália,Polônia
5,2,Geórgia,Polônia
5,2,Alemanha,Polônia
5,2,Albânia,Polônia
5,2,Áustria,Polônia
5,2,Turquia,Eslováquia
5,2,Sérvia,Eslováquia
5,2,Espanha,Eslováquia
5,2,França,Eslováquia
5,2,Croácia,Eslováquia
5,2,Escócia,Eslováquia
5,2,Hungria,Eslováquia
5,2,Portugal,Eslováquia
5,2,Suíça,Eslováquia
5,2,República Tcheca,Eslováquia
5,2,Dinamarca,Eslováquia
5,2,Inglaterra,Eslováquia
5,2,Itália,Eslováquia
5,2,Geórgia,Eslováquia
5,2,Alemanha,Eslováquia
5,2,Albânia,Eslováquia
5,2,Áustria,Eslováquia
5,2,Sérvia,Turquia
5,2,Espanha,Turquia
5,2,França,Turquia
5,2,Croácia,Turquia
