HORA,COLUNA,Time_Contra,Time_Casa
6,2,Liverpool,Tottenham
6,2,Aston,Tottenham
6,2,Everton,Tottenham
6,2,Wolverhampton,Tottenham
6,2,Southampton,Tottenham
6,2,West Ham,Tottenham
6,2,Palace,Tottenham
6,2,Burnley,Tottenham
6,2,Brentford,Tottenham
6,2,Leeds,Tottenham
6,2,Norwich,Tottenham
6,2,Islington,Tottenham
6,2,Newcastle,Tottenham
6,2,United,Tottenham
6,2,Watford,Tottenham
6,2,City,Tottenham
6,2,Leicester,Tottenham
6,2,Chelsea,Tottenham
6,2,Brighton,Tottenham
6,2,Aston,Liverpool
6,2,Everton,Liverpool
6,2,Wolverhampton,Liverpool
6,2,Southampton,Liverpool
6,2,West Ham,Liverpool
6,2,Palace,Liverpool
6,2,Burnley,Liverpool
6,2,Brentford,Liverpool
6,2,Leeds,Liverpool
6,2,Norwich,Liverpool
6,2,Islington,Liverpool
6,2,Newcastle,Liverpool
6,2,United,Liverpool
6,2,Watford,Liverpool
6,2,City,Liverpool
6,2,Leicester,Liverpool
6,2,Chelsea,Liverpool
6,2,Brighton,Liverpool
6,2,Everton,Aston
6,2,Wolverhampton,Aston
6,2,Southampton,Aston
6,2,West Ham,Aston
6,2,Palace,Aston
6,2,Burnley,Aston
6,2,Brentford,Aston
6,2,Leeds,Aston
6,2,Norwich,Aston
6,2,Islington,Aston
6,2,Newcastle,Aston
6,2,United,Aston
6,2,Watford,Aston
6,2,City,Aston
6,2,Leicester,Aston
6,2,Chelsea,Aston
6,2,Brighton,Aston
6,2,Wolverhampton,Everton
6,2,Southampton,Everton
6,2,West Ham,Everton
6,2,Palace,Everton
6,2,Burnley,Everton
6,2,Brentford,Everton
6,2,Leeds,Everton
6,2,Norwich,Everton
6,2,Islington,Everton
6,2,Newcastle,Everton
6,2,United,Everton
6,2,Watford,Everton
6,2,City,Everton
6,2,Leicester,Everton
6,2,Chelsea,Everton
6,2,Brighton,Everton
6,2,Southampton,Wolverhampton
6,2,West Ham,Wolverhampton
6,2,Palace,Wolverhampton
6,2,Burnley,Wolverhampton
6,2,Brentford,Wolverhampton
6,2,Leeds,Wolverhampton
6,2,Norwich,Wolverhampton
6,2,Islington,Wolverhampton
6,2,Newcastle,Wolverhampton
6,2,United,Wolverhampton
6,2,Watford,Wolverhampton
6,2,City,Wolverhampton
6,2,Leicester,Wolverhampton
6,2,Chelsea,Wolverhampton
6,2,Brighton,Wolverhampton
6,2,West Ham,Southampton
6,2,Palace,Southampton
6,2,Burnley,Southampton
6,2,Brentford,Southampton
6,2,Leeds,Southampton
6,2,Norwich,Southampton
6,2,Islington,Southampton
6,2,Newcastle,Southampton
6,2,United,Southampton
6,2,Watford,Southampton
6,2,City,Southampton
6,2,Leicester,Southampton
6,2,Chelsea,Southampton
6,2,Brighton,Southampton
6,2,Palace,West Ham
6,2,Burnley,West Ham
6,2,Brentford,West Ham
6,2,Leeds,West Ham
6,2,Norwich,West Ham
6,2,Islington,West Ham
6,2,Newcastle,West Ham
6,2,United,West Ham
6,2,Watford,West Ham
6,2,City,West Ham
6,2,Leicester,West Ham
6,2,Chelsea,West Ham
6,2,Brighton,West Ham
6,2,Burnley,Palace
6,2,Brentford,Palace
6,2,Leeds,Palace
6,2,Norwich,Palace
6,2,Islington,Palace
6,2,Newcastle,Palace
6,2,United,Palace
6,2,Watford,Palace
6,2,City,Palace
6,2,Leicester,Palace
6,2,Chelsea,Palace
6,2,Brighton,Palace
6,2,Brentford,Burnley
6,2,Leeds,Burnley
6,2,Norwich,Burnley
6,2,Islington,Burnley
6,2,Newcastle,Burnley
6,2,United,Burnley
6,2,Watford,Burnley
6,2,City,Burnley
6,2,Leicester,Burnley
6,2,Chelsea,Burnley
6,2,Brighton,Burnley
6,2,Leeds,Brentford
6,2,Norwich,Brentford
6,2,Islington,Brentford
6,2,Newcastle,Brentford
6,2,United,Brentford
6,2,Watford,Brentford
6,2,City,Brentford
6,2,Leicester,Brentford
6,2,Chelsea,Brentford
6,2,Brighton,Brentford
6,2,Norwich,Leeds
6,2,Islington,Leeds
6,2,Newcastle,Leeds
6,2,United,Leeds
6,2,Watford,Leeds
6,2,City,Leeds
6,2,Leicester,Leeds
6,2,Chelsea,Leeds
6,2,Brighton,Leeds
6,2,Islington,Norwich
6,2,Newcastle,Norwich
6,2,United,Norwich
6,2,Watford,Norwich
6,2,City,Norwich
6,2,Leicester,Norwich
6,2,Chelsea,Norwich
6,2,Brighton,Norwich
6,2,Newcastle,Islington
6,2,United,Islington
6,2,Watford,Islington
6,2,City,Islington
6,2,Leicester,Islington
6,2,Chelsea,Islington
6,2,Brighton,Islington
6,2,United,Newcastle
6,2,Watford,Newcastle
6,2,City,Newcastle
6,2,Leicester,Newcastle
6,2,Chelsea,Newcastle
6,2,Brighton,Newcastle
6,2,Watford,United
6,2,City,United
6,2,Leicester,United
6,2,Chelsea,United
6,2,Brighton,United
6,2,City,Watford
6,2,Leicester,Watford
6,2,Chelsea,Watford
6,2,Brighton,Watford
6,2,Leicester,City
6,2,Chelsea,City
6,2,Brighton,City
6,2,Chelsea,Leicester
6,2,Brighton,Leicester
6,2,Brighton,Chelsea
6,5,Liverpool,Tottenham
6,5,Aston,Tottenham
6,5,Everton,Tottenham
6,5,Wolverhampton,Tottenham
6,5,Southampton,Tottenham
6,5,West Ham,Tottenham
6,5,Palace,Tottenham
6,5,Burnley,Tottenham
6,5,Brentford,Tottenham
6,5,Leeds,Tottenham
6,5,Norwich,Tottenham
6,5,Islington,Tottenham
6,5,Newcastle,Tottenham
6,5,United,Tottenham
6,5,Watford,Tottenham
6,5,City,Tottenham
6,5,Leicester,Tottenham
6,5,Chelsea,Tottenham
6,5,Brighton,Tottenham
6,5,Aston,Liverpool
6,5,Everton,Liverpool
6,5,Wolverhampton,Liverpool
6,5,Southampton,Liverpool
6,5,West Ham,Liverpool
6,5,Palace,Liverpool
6,5,Burnley,Liverpool
6,5,Brentford,Liverpool
6,5,Leeds,Liverpool
6,5,Norwich,Liverpool
6,5,Islington,Liverpool
6,5,Newcastle,Liverpool
6,5,United,Liverpool
6,5,Watford,Liverpool
6,5,City,Liverpool
6,5,Leicester,Liverpool
6,5,Chelsea,Liverpool
6,5,Brighton,Liverpool
6,5,Everton,Aston
6,5,Wolverhampton,Aston
6,5,Southampton,Aston
6,5,West Ham,Aston
6,5,Palace,Aston
6,5,Burnley,Aston
6,5,Brentford,Aston
6,5,Leeds,Aston
6,5,Norwich,Aston
6,5,Islington,Aston
6,5,Newcastle,Aston
6,5,United,Aston
6,5,Watford,Aston
6,5,City,Aston
