HORA,COLUNA,Time_Contra,Time_Casa
6,2,Porto Alegre,Itaquera
6,2,Montevideo,Itaquera
6,2,Belo Horizonte,Itaquera
6,2,Sao Paulo,Itaquera
6,2,Avellaneda,Itaquera
6,2,Asuncion,Itaquera
6,2,Bogota,Itaquera
6,2,La Boca,Itaquera
6,2,Santos,Itaquera
6,2,Santiago,Itaquera
6,2,Quito,Itaquera
6,2,La Plata,Itaquera
6,2,Lima,Itaquera
6,2,Medellin,Itaquera
6,2,Agua Branca,Itaquera
6,2,Buenos Aires,Itaquera
6,2,Rio de Janeiro,Itaquera
6,2,Guayaquil,Itaquera
6,2,Penarol,Itaquera
6,2,Montevideo,Porto Alegre
6,2,Belo Horizonte,Porto Alegre
6,2,Sao Paulo,Porto Alegre
6,2,Avellaneda,Porto Alegre
6,2,Asuncion,Porto Alegre
6,2,Bogota,Porto Alegre
6,2,La Boca,Porto Alegre
6,2,Santos,Porto Alegre
6,2,Santiago,Porto Alegre
6,2,Quito,Porto Alegre
6,2,La Plata,Porto Alegre
6,2,Lima,Porto Alegre
6,2,Medellin,Porto Alegre
6,2,Agua Branca,Porto Alegre
6,2,Buenos Aires,Porto Alegre
6,2,Rio de Janeiro,Porto Alegre
6,2,Guayaquil,Porto Alegre
6,2,Penarol,Porto Alegre
6,2,Belo Horizonte,Montevideo
6,2,Sao Paulo,Montevideo
6,2,Avellaneda,Montevideo
6,2,Asuncion,Montevideo
6,2,Bogota,Montevideo
6,2,La Boca,Montevideo
6,2,Santos,Montevideo
6,2,Santiago,Montevideo
6,2,Quito,Montevideo
6,2,La Plata,Montevideo
6,2,Lima,Montevideo
6,2,Medellin,Montevideo
6,2,Agua Branca,Montevideo
6,2,Buenos Aires,Montevideo
6,2,Rio de Janeiro,Montevideo
6,2,Guayaquil,Montevideo
6,2,Penarol,Montevideo
6,2,Sao Paulo,Belo Horizonte
6,2,Avellaneda,Belo Horizonte
6,2,Asuncion,Belo Horizonte
6,2,Bogota,Belo Horizonte
6,2,La Boca,Belo Horizonte
6,2,Santos,Belo Horizonte
6,2,Santiago,Belo Horizonte
6,2,Quito,Belo Horizonte
6,2,La Plata,Belo Horizonte
6,2,Lima,Belo Horizonte
6,2,Medellin,Belo Horizonte
6,2,Agua Branca,Belo Horizonte
6,2,Buenos Aires,Belo Horizonte
6,2,Rio de Janeiro,Belo Horizonte
6,2,Guayaquil,Belo Horizonte
6,2,Penarol,Belo Horizonte
6,2,Avellaneda,Sao Paulo
6,2,Asuncion,Sao Paulo
6,2,Bogota,Sao Paulo
6,2,La Boca,Sao Paulo
6,2,Santos,Sao Paulo
6,2,Santiago,Sao Paulo
6,2,Quito,Sao Paulo
6,2,La Plata,Sao Paulo
6,2,Lima,Sao Paulo
