HORA,COLUNA,Time_Contra,Time_Casa
6,2,Brentford,City
6,2,West Ham,City
6,2,Palace,City
6,2,Leeds,City
6,2,Aston,City
6,2,Southampton,City
6,2,Norwich,City
6,2,Brighton,City
6,2,United,City
6,2,Everton,City
6,2,Wolverhampton,City
6,2,Leicester,City
6,2,Chelsea,City
6,2,Burnley,City
6,2,Watford,City
6,2,Liverpool,City
6,2,Newcastle,City
6,2,Tottenham,City
6,2,Islington,City
6,2,West Ham,Brentford
6,2,Palace,Brentford
6,2,Leeds,Brentford
6,2,Aston,Brentford
6,2,Southampton,Brentford
6,2,Norwich,Brentford
6,2,Brighton,Brentford
6,2,United,Brentford
6,2,Everton,Brentford
6,2,Wolverhampton,Brentford
6,2,Leicester,Brentford
6,2,Chelsea,Brentford
6,2,Burnley,Brentford
6,2,Watford,Brentford
6,2,Liverpool,Brentford
6,2,Newcastle,Brentford
6,2,Tottenham,Brentford
6,2,Islington,Brentford
6,2,Palace,West Ham
6,2,Leeds,West Ham
6,2,Aston,West Ham
6,2,Southampton,West Ham
6,2,Norwich,West Ham
6,2,Brighton,West Ham
6,2,United,West Ham
6,2,Everton,West Ham
6,2,Wolverhampton,West Ham
6,2,Leicester,West Ham
6,2,Chelsea,West Ham
6,2,Burnley,West Ham
6,2,Watford,West Ham
6,2,Liverpool,West Ham
6,2,Newcastle,West Ham
6,2,Tottenham,West Ham
6,2,Islington,West Ham
6,2,Leeds,Palace
6,2,Aston,Palace
6,2,Southampton,Palace
6,2,Norwich,Palace
6,2,Brighton,Palace
6,2,United,Palace
6,2,Everton,Palace
6,2,Wolverhampton,Palace
6,2,Leicester,Palace
6,2,Chelsea,Palace
6,2,Burnley,Palace
6,2,Watford,Palace
6,2,Liverpool,Palace
6,2,Newcastle,Palace
6,2,Tottenham,Palace
6,2,Islington,Palace
6,2,Aston,Leeds
6,2,Southampton,Leeds
6,2,Norwich,Leeds
6,2,Brighton,Leeds
6,2,United,Leeds
6,2,Everton,Leeds
6,2,Wolverhampton,Leeds
