HORA,COLUNA,Time_Contra,Time_Casa
4,2,Santos,Quito
4,2,Rio de Janeiro,Quito
4,2,Avellaneda,Quito
4,2,Sao Paulo,Quito
4,2,Bogota,Quito
4,2,Porto Alegre,Quito
4,2,Santiago,Quito
4,2,La Plata,Quito
4,2,Penarol,Quito
4,2,Agua Branca,Quito
4,2,Asuncion,Quito
4,2,Montevideo,Quito
4,2,Lima,Quito
4,2,Belo Horizonte,Quito
4,2,Itaquera,Quito
4,2,Guayaquil,Quito
4,2,Medellin,Quito
4,2,Buenos Aires,Quito
4,2,La Boca,Quito
4,2,Rio de Janeiro,Santos
4,2,Avellaneda,Santos
4,2,Sao Paulo,Santos
4,2,Bogota,Santos
4,2,Porto Alegre,Santos
4,2,Santiago,Santos
4,2,La Plata,Santos
4,2,Penarol,Santos
4,2,Agua Branca,Santos
4,2,Asuncion,Santos
4,2,Montevideo,Santos
4,2,Lima,Santos
4,2,Belo Horizonte,Santos
4,2,Itaquera,Santos
4,2,Guayaquil,Santos
4,2,Medellin,Santos
4,2,Buenos Aires,Santos
4,2,La Boca,Santos
4,2,Avellaneda,Rio de Janeiro
4,2,Sao Paulo,Rio de Janeiro
4,2,Bogota,Rio de Janeiro
4,2,Porto Alegre,Rio de Janeiro
4,2,Santiago,Rio de Janeiro
4,2,La Plata,Rio de Janeiro
4,2,Penarol,Rio de Janeiro
4,2,Agua Branca,Rio de Janeiro
4,2,Asuncion,Rio de Janeiro
4,2,Montevideo,Rio de Janeiro
4,2,Lima,Rio de Janeiro
4,2,Belo Horizonte,Rio de Janeiro
4,2,Itaquera,Rio de Janeiro
4,2,Guayaquil,Rio de Janeiro
4,2,Medellin,Rio de Janeiro
4,2,Buenos Aires,Rio de Janeiro
4,2,La Boca,Rio de Janeiro
4,2,Sao Paulo,Avellaneda
4,2,Bogota,Avellaneda
4,2,Porto Alegre,Avellaneda
4,2,Santiago,Avellaneda
4,2,La Plata,Avellaneda
4,2,Penarol,Avellaneda
4,2,Agua Branca,Avellaneda
4,2,Asuncion,Avellaneda
4,2,Montevideo,Avellaneda
4,2,Lima,Avellaneda
4,2,Belo Horizonte,Avellaneda
4,2,Itaquera,Avellaneda
4,2,Guayaquil,Avellaneda
4,2,Medellin,Avellaneda
4,2,Buenos Aires,Avellaneda
4,2,La Boca,Avellaneda
4,2,Bogota,Sao Paulo
4,2,Porto Alegre,Sao Paulo
4,2,Santiago,Sao Paulo
4,2,La Plata,Sao Paulo
4,2,Penarol,Sao Paulo
4,2,Agua Branca,Sao Paulo
4,2,Asuncion,Sao Paulo
4,2,Montevideo,Sao Paulo
4,2,Lima,Sao Paulo
4,2,Belo Horizonte,Sao Paulo
4,2,Itaquera,Sao Paulo
4,2,Guayaquil,Sao Paulo
4,2,Medellin,Sao Paulo
4,2,Buenos Aires,Sao Paulo
4,2,La Boca,Sao Paulo
4,2,Porto Alegre,Bogota
4,2,Santiago,Bogota
4,2,La Plata,Bogota
4,2,Penarol,Bogota
4,2,Agua Branca,Bogota
4,2,Asuncion,Bogota
4,2,Montevideo,Bogota
4,2,Lima,Bogota
4,2,Belo Horizonte,Bogota
4,2,Itaquera,Bogota
4,2,Guayaquil,Bogota
4,2,Medellin,Bogota
4,2,Buenos Aires,Bogota
4,2,La Boca,Bogota
4,2,Santiago,Porto Alegre
4,2,La Plata,Porto Alegre
4,2,Penarol,Porto Alegre
4,2,Agua Branca,Porto Alegre
4,2,Asuncion,Porto Alegre
4,2,Montevideo,Porto Alegre
4,2,Lima,Porto Alegre
4,2,Belo Horizonte,Porto Alegre
4,2,Itaquera,Porto Alegre
4,2,Guayaquil,Porto Alegre
4,2,Medellin,Porto Alegre
4,2,Buenos Aires,Porto Alegre
4,2,La Boca,Porto Alegre
4,2,La Plata,Santiago
4,2,Penarol,Santiago
4,2,Agua Branca,Santiago
4,2,Asuncion,Santiago
4,2,Montevideo,Santiago
4,2,Lima,Santiago
4,2,Belo Horizonte,Santiago
4,2,Itaquera,Santiago
4,2,Guayaquil,Santiago
4,2,Medellin,Santiago
4,2,Buenos Aires,Santiago
4,2,La Boca,Santiago
4,2,Penarol,La Plata
4,2,Agua Branca,La Plata
4,2,Asuncion,La Plata
4,2,Montevideo,La Plata
4,2,Lima,La Plata
4,2,Belo Horizonte,La Plata
4,2,Itaquera,La Plata
4,2,Guayaquil,La Plata
4,2,Medellin,La Plata
4,2,Buenos Aires,La Plata
4,2,La Boca,La Plata
4,2,Agua Branca,Penarol
4,2,Asuncion,Penarol
4,2,Montevideo,Penarol
4,2,Lima,Penarol
4,2,Belo Horizonte,Penarol
4,2,Itaquera,Penarol
4,2,Guayaquil,Penarol
4,2,Medellin,Penarol
4,2,Buenos Aires,Penarol
4,2,La Boca,Penarol
4,2,Asuncion,Agua Branca
4,2,Montevideo,Agua Branca
4,2,Lima,Agua Branca
4,2,Belo Horizonte,Agua Branca
4,2,Itaquera,Agua Branca
4,2,Guayaquil,Agua Branca
4,2,Medellin,Agua Branca
4,2,Buenos Aires,Agua Branca
4,2,La Boca,Agua Branca
4,2,Montevideo,Asuncion
4,2,Lima,Asuncion
4,2,Belo Horizonte,Asuncion
4,2,Itaquera,Asuncion
4,2,Guayaquil,Asuncion
4,2,Medellin,Asuncion
4,2,Buenos Aires,Asuncion
4,2,La Boca,Asuncion
4,2,Lima,Montevideo
4,2,Belo Horizonte,Montevideo
4,2,Itaquera,Montevideo
4,2,Guayaquil,Montevideo
4,2,Medellin,Montevideo
4,2,Buenos Aires,Montevideo
4,2,La Boca,Montevideo
4,2,Belo Horizonte,Lima
4,2,Itaquera,Lima
4,2,Guayaquil,Lima
4,2,Medellin,Lima
4,2,Buenos Aires,Lima
4,2,La Boca,Lima
4,2,Itaquera,Belo Horizonte
4,2,Guayaquil,Belo Horizonte
4,2,Medellin,Belo Horizonte
4,2,Buenos Aires,Belo Horizonte
4,2,La Boca,Belo Horizonte
4,2,Guayaquil,Itaquera
4,2,Medellin,Itaquera
4,2,Buenos Aires,Itaquera
4,2,La Boca,Itaquera
4,2,Medellin,Guayaquil
4,2,Buenos Aires,Guayaquil
4,2,La Boca,Guayaquil
4,2,Buenos Aires,Medellin
4,2,La Boca,Medellin
4,2,La Boca,Buenos Aires
4,5,Santos,Quito
4,5,Rio de Janeiro,Quito
4,5,Avellaneda,Quito
4,5,Sao Paulo,Quito
4,5,Bogota,Quito
4,5,Porto Alegre,Quito
4,5,Santiago,Quito
4,5,La Plata,Quito
4,5,Penarol,Quito
4,5,Agua Branca,Quito
4,5,Asuncion,Quito
4,5,Montevideo,Quito
4,5,Lima,Quito
4,5,Belo Horizonte,Quito
4,5,Itaquera,Quito
4,5,Guayaquil,Quito
4,5,Medellin,Quito
4,5,Buenos Aires,Quito
4,5,La Boca,Quito
4,5,Rio de Janeiro,Santos
4,5,Avellaneda,Santos
4,5,Sao Paulo,Santos
4,5,Bogota,Santos
4,5,Porto Alegre,Santos
4,5,Santiago,Santos
4,5,La Plata,Santos
4,5,Penarol,Santos
4,5,Agua Branca,Santos
4,5,Asuncion,Santos
4,5,Montevideo,Santos
4,5,Lima,Santos
4,5,Belo Horizonte,Santos
4,5,Itaquera,Santos
4,5,Guayaquil,Santos
4,5,Medellin,Santos
4,5,Buenos Aires,Santos
4,5,La Boca,Santos
4,5,Avellaneda,Rio de Janeiro
4,5,Sao Paulo,Rio de Janeiro
4,5,Bogota,Rio de Janeiro
4,5,Porto Alegre,Rio de Janeiro
4,5,Santiago,Rio de Janeiro
4,5,La Plata,Rio de Janeiro
4,5,Penarol,Rio de Janeiro
4,5,Agua Branca,Rio de Janeiro
4,5,Asuncion,Rio de Janeiro
4,5,Montevideo,Rio de Janeiro
4,5,Lima,Rio de Janeiro
4,5,Belo Horizonte,Rio de Janeiro
4,5,Itaquera,Rio de Janeiro
4,5,Guayaquil,Rio de Janeiro
4,5,Medellin,Rio de Janeiro
4,5,Buenos Aires,Rio de Janeiro
4,5,La Boca,Rio de Janeiro
4,5,Sao Paulo,Avellaneda
4,5,Bogota,Avellaneda
4,5,Porto Alegre,Avellaneda
4,5,Santiago,Avellaneda
4,5,La Plata,Avellaneda
4,5,Penarol,Avellaneda
4,5,Agua Branca,Avellaneda
4,5,Asuncion,Avellaneda
4,5,Montevideo,Avellaneda
4,5,Lima,Avellaneda
4,5,Belo Horizonte,Avellaneda
4,5,Itaquera,Avellaneda
