Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE,OUTCOME
1712117,Euro,2025-05-12,1900-01-01 20:02:00,Espanha,Países Baixos,1,2,3,2.3,3.0,3.0,2.3,2.3,3.6,3.0,1-2,6.0,2025-05-12 16:10:00,20,2,0.548498845265589,0
1712125,Euro,2025-05-12,1900-01-01 20:05:00,Alemanha,Suíça,1,0,1,3.2,2.2,3.2,2.2,2.2,3.6,3.2,1-0,7.0,2025-05-12 16:10:00,20,5,0.56797583081571,2
1712132,Euro,2025-05-12,1900-01-01 20:08:00,Eslovênia,Dinamarca,0,2,2,2.7,2.75,2.7,2.75,2.75,3.2,2.7,0-2,10.0,2025-05-12 16:10:00,20,8,0.49678262618137947,0
1711977,Euro,2025-05-12,1900-01-01 19:02:00,França,Croácia,1,0,1,3.2,2.2,3.2,2.2,2.2,3.6,3.2,1-0,7.0,2025-05-12 16:10:00,19,2,0.56797583081571,2
1711985,Euro,2025-05-12,1900-01-01 19:05:00,Eslovênia,Inglaterra,0,2,2,2.3,3.1,2.3,3.1,3.1,3.4,2.3,0-2,8.5,2025-05-12 16:10:00,19,5,0.4466457434287955,0
1711992,Euro,2025-05-12,1900-01-01 19:08:00,Alemanha,Bélgica,2,1,3,2.3,3.0,3.0,2.3,2.3,3.5,3.0,2-1,7.0,2025-05-12 16:10:00,19,8,0.5481335952848724,2
1711999,Euro,2025-05-12,1900-01-01 19:11:00,França,Ucrânia,0,2,2,3.6,2.02,3.6,2.02,2.02,3.6,3.6,0-2,7.0,2025-05-12 16:10:00,19,11,0.6034031413612565,0
1712013,Euro,2025-05-12,1900-01-01 19:17:00,Ucrânia,Turquia,0,2,2,2.7,2.62,2.7,2.62,2.62,3.3,2.7,0-2,9.0,2025-05-12 16:10:00,19,17,0.5053593179049939,0
1712020,Euro,2025-05-12,1900-01-01 19:20:00,Itália,Eslovênia,0,2,2,3.5,2.2,3.5,2.2,2.2,3.25,3.5,0-2,10.0,2025-05-12 16:10:00,19,20,0.5805529075309818,0
1712026,Euro,2025-05-12,1900-01-01 19:23:00,Dinamarca,Geórgia,0,2,2,3.75,2.05,3.75,2.05,2.05,3.4,3.75,0-2,9.0,2025-05-12 16:10:00,19,23,0.6054455897108456,0
1712034,Euro,2025-05-12,1900-01-01 19:26:00,Alemanha,Albânia,2,0,2,3.75,2.07,3.75,2.07,2.07,3.4,3.75,2-0,9.0,2025-05-12 16:10:00,19,26,0.6036641803234062,2
1712041,Euro,2025-05-12,1900-01-01 19:29:00,Eslovênia,Polônia,0,2,2,3.0,2.5,3.0,2.5,2.5,3.1,3.0,0-2,11.0,2025-05-12 16:10:00,19,29,0.5315682281059063,0
1712047,Euro,2025-05-12,1900-01-01 19:32:00,Áustria,Croácia,1,1,2,2.75,2.55,2.75,2.55,2.55,3.4,2.75,1-1,7.5,2025-05-12 16:10:00,19,32,0.5135823429541597,1
1712055,Euro,2025-05-12,1900-01-01 19:35:00,Hungria,Itália,0,0,0,2.62,2.7,2.62,2.7,2.7,3.3,2.62,0-0,8.5,2025-05-12 16:10:00,19,35,0.49464068209500606,1
1712062,Euro,2025-05-12,1900-01-01 19:38:00,Dinamarca,Sérvia,1,0,1,3.1,2.4,3.1,2.4,2.4,3.25,3.1,1-0,9.0,2025-05-12 16:10:00,19,38,0.5449338336954375,2
1712069,Euro,2025-05-12,1900-01-01 19:41:00,Inglaterra,Albânia,1,3,4,2.02,3.8,2.02,3.8,2.02,3.4,3.8,1-3,8.5,2025-05-12 16:10:00,19,41,0.6101806000582581,0
1712076,Euro,2025-05-12,1900-01-01 19:44:00,Alemanha,Áustria,2,1,3,2.2,3.25,3.25,2.2,2.2,3.5,3.25,2-1,7.5,2025-05-12 16:10:00,19,44,0.5700667302192565,2
1712083,Euro,2025-05-12,1900-01-01 19:47:00,Escócia,Geórgia,0,0,0,3.4,2.2,3.4,2.2,2.2,3.4,3.4,0-0,8.0,2025-05-12 16:10:00,19,47,0.5769230769230769,1
1712090,Euro,2025-05-12,1900-01-01 19:50:00,Eslováquia,Turquia,1,2,3,2.8,2.55,2.55,2.8,2.8,3.3,2.55,1-2,8.5,2025-05-12 16:10:00,19,50,0.4833635813672111,0
1712097,Euro,2025-05-12,1900-01-01 19:53:00,Países Baixos,Dinamarca,2,1,3,2.45,2.8,2.8,2.45,2.45,3.5,2.8,2-1,7.5,2025-05-12 16:10:00,19,53,0.5242718446601942,2
1712104,Euro,2025-05-12,1900-01-01 19:56:00,Itália,Hungria,1,1,2,3.25,2.25,3.25,2.25,2.25,3.4,3.25,1-1,8.5,2025-05-12 16:10:00,19,56,0.5653531955790485,1
1712111,Euro,2025-05-12,1900-01-01 19:59:00,Romênia,Turquia,1,2,3,2.62,2.7,2.7,2.62,2.62,3.4,2.7,1-2,8.0,2025-05-12 16:10:00,19,59,0.505404975757094,0
1711838,Euro,2025-05-12,1900-01-01 18:02:00,Países Baixos,Inglaterra,2,0,2,2.45,2.75,2.45,2.75,2.75,3.6,2.45,2-0,6.0,2025-05-12 16:10:00,18,2,0.4787881763723854,2
1711845,Euro,2025-05-12,1900-01-01 18:05:00,Eslováquia,Hungria,0,1,1,2.62,2.7,2.62,2.7,2.7,3.3,2.62,0-1,8.5,2025-05-12 16:10:00,18,5,0.49464068209500606,0
1711852,Euro,2025-05-12,1900-01-01 18:08:00,Itália,República Tcheca,1,1,2,3.3,2.25,3.3,2.25,2.25,3.25,3.3,1-1,9.0,2025-05-12 16:10:00,18,8,0.5670103092783505,1
1711858,Euro,2025-05-12,1900-01-01 18:11:00,Croácia,Romênia,1,0,1,3.1,2.25,3.1,2.25,2.25,3.5,3.1,1-0,7.0,2025-05-12 16:10:00,18,11,0.5578793774319065,2
1711866,Euro,2025-05-12,1900-01-01 18:14:00,Inglaterra,Geórgia,2,1,3,1.86,4.2,4.2,1.86,1.86,3.6,4.2,2-1,7.5,2025-05-12 16:10:00,18,14,0.6421628189550425,2
1711872,Euro,2025-05-12,1900-01-01 18:17:00,Sérvia,Turquia,2,0,2,3.0,2.5,3.0,2.5,2.5,3.2,3.0,2-0,10.0,2025-05-12 16:10:00,18,17,0.5318725099601593,2
1711880,Euro,2025-05-12,1900-01-01 18:20:00,Países Baixos,França,1,3,4,2.75,2.45,2.75,2.45,2.75,3.6,2.45,1-3,6.0,2025-05-12 16:10:00,18,20,0.4787881763723854,0
1711886,Euro,2025-05-12,1900-01-01 18:23:00,Espanha,Croácia,0,0,0,3.0,2.3,3.0,2.3,2.3,3.5,3.0,0-0,7.0,2025-05-12 16:10:00,18,23,0.5481335952848724,1
1711894,Euro,2025-05-12,1900-01-01 18:26:00,Portugal,Geórgia,2,0,2,4.0,1.95,4.0,1.95,1.95,3.5,4.0,2-0,8.0,2025-05-12 16:10:00,18,26,0.6253275109170306,2
1711901,Euro,2025-05-12,1900-01-01 18:29:00,Suíça,Inglaterra,1,1,2,2.37,2.87,2.37,2.87,2.87,3.6,2.37,1-1,6.5,2025-05-12 16:10:00,18,29,0.46493401750961394,1
1711908,Euro,2025-05-12,1900-01-01 18:32:00,Sérvia,Dinamarca,0,1,1,2.87,2.55,2.87,2.55,2.55,3.25,2.87,0-1,9.0,2025-05-12 16:10:00,18,32,0.520855475565003,0
1711915,Euro,2025-05-12,1900-01-01 18:35:00,Espanha,Bélgica,2,2,4,2.37,2.87,2.37,2.87,2.37,3.6,2.87,2-2,6.5,2025-05-12 16:10:00,18,35,0.5350659824903861,1
1711922,Euro,2025-05-12,1900-01-01 18:38:00,Geórgia,Alemanha,1,0,1,2.15,3.3,2.15,3.3,3.3,3.5,2.15,1-0,7.5,2025-05-12 16:10:00,18,38,0.423098968284295,2
1711928,Euro,2025-05-12,1900-01-01 18:41:00,França,Áustria,2,0,2,3.4,2.15,3.4,2.15,2.15,3.5,3.4,2-0,7.0,2025-05-12 16:10:00,18,41,0.5818215821956236,2
1711936,Euro,2025-05-12,1900-01-01 18:44:00,Albânia,Turquia,1,0,1,2.8,2.7,2.8,2.7,2.7,3.1,2.8,1-0,11.0,2025-05-12 16:10:00,18,44,0.5062982527427874,2
1711943,Euro,2025-05-12,1900-01-01 18:47:00,Polônia,Romênia,1,1,2,2.9,2.45,2.9,2.45,2.45,3.4,2.9,1-1,8.0,2025-05-12 16:10:00,18,47,0.5302431310535678,1
1711949,Euro,2025-05-12,1900-01-01 18:50:00,Escócia,Turquia,1,0,1,2.8,2.55,2.8,2.55,2.55,3.3,2.8,1-0,8.5,2025-05-12 16:10:00,18,50,0.5166364186327888,2
1711957,Euro,2025-05-12,1900-01-01 18:53:00,Portugal,Sérvia,3,2,5,2.25,3.25,2.25,3.25,2.25,3.4,3.25,3-2,8.5,2025-05-12 16:10:00,18,53,0.5653531955790485,2
1711963,Euro,2025-05-12,1900-01-01 18:56:00,Inglaterra,Eslovênia,2,1,3,2.02,3.8,3.8,2.02,2.02,3.4,3.8,2-1,8.5,2025-05-12 16:10:00,18,56,0.6101806000582581,2
1711971,Euro,2025-05-12,1900-01-01 18:59:00,Geórgia,Escócia,0,3,3,2.8,2.55,2.55,2.8,2.8,3.4,2.55,0-3,8.0,2025-05-12 16:10:00,18,59,0.4832214765100671,0
1711698,Euro,2025-05-12,1900-01-01 17:02:00,Turquia,Eslovênia,1,2,3,2.35,3.25,3.25,2.35,2.35,3.1,3.25,1-2,11.0,2025-05-12 16:10:00,17,2,0.5558055805580557,0
1711705,Euro,2025-05-12,1900-01-01 17:05:00,Alemanha,Hungria,2,0,2,3.4,2.15,3.4,2.15,2.15,3.5,3.4,2-0,7.5,2025-05-12 16:10:00,17,5,0.5818215821956236,2
1711712,Euro,2025-05-12,1900-01-01 17:08:00,Áustria,Turquia,1,2,3,2.5,2.9,2.9,2.5,2.5,3.3,2.9,1-2,9.0,2025-05-12 16:10:00,17,8,0.5263262863980853,0
1711719,Euro,2025-05-12,1900-01-01 17:11:00,Dinamarca,Escócia,1,0,1,3.1,2.3,3.1,2.3,2.3,3.4,3.1,1-0,8.0,2025-05-12 16:10:00,17,11,0.5533542565712045,2
1711725,Euro,2025-05-12,1900-01-01 17:14:00,Eslováquia,Suíça,2,2,4,2.75,2.5,2.75,2.5,2.75,3.5,2.5,2-2,7.0,2025-05-12 16:10:00,17,14,0.48267326732673277,1
