Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence,PRED_0,PRED_1,PRED_2,PRED_3,PRED_4,PROBABILIDADE,CONFIDENCE_LEVEL,RECOMMENDED_STAKE,Id da partida.1,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa.1,Gols time contra.1,Gols totais.1,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence.1,Odd Empate.1,Odd Visitante Vence.1,Placar Exato,Odd Placar Exato,Data das odds,HORA,COLUNA,PROBABILIDADE.1,OUTCOME
1720218.0,1.0,2.0,3.0,2.1,3.4,3.5,0.0003662582172463,2.091541672633359,3.4981502552927077,3.493326226837864,2.104209315043774,0.590185676392573,baixa,5.0,1719544,Euro,2025-05-15,,Bélgica,Albânia,0,0,0,3.4,2.2,3.4,2.2,2.2,3.3,3.4,0-0,9.0,,,,0.576271186440678,0
1719339.0,0.0,1.0,1.0,2.7,3.4,2.6,0.001523798409879,2.586141831304052,2.699570836419342,2.610133531778726,2.7037243387237937,0.49321086261980834,baixa,5.0,1719551,Euro,2025-05-15,,Polônia,Portugal,0,2,2,2.45,2.9,2.45,2.9,2.9,3.3,2.45,0-2,8.5,,,,0.4700121163166397,0
1719914.0,0.0,4.0,4.0,2.3,3.6,2.9,-0.0008737086970686,2.300883872639094,2.899406138534629,2.4164711946086523,2.9673460600844828,0.5425364316660103,baixa,5.0,1719565,Euro,2025-05-15,,França,Portugal,1,3,4,2.3,3.0,2.3,3.0,2.3,3.5,3.0,1-3,7.0,,,,0.5481335952848724,0
1719842.0,0.0,1.0,1.0,2.0,3.5,3.75,0.0015456788025548,3.747351997572568,2.0012792815111045,3.748555326105508,2.004179320780445,0.6108597285067873,média,10.0,1719571,Euro,2025-05-15,,República Tcheca,Sérvia,1,0,1,2.87,2.6,2.87,2.6,2.6,3.2,2.87,1-0,10.0,,,,0.5173035328046143,0
1719636.0,3.0,0.0,3.0,1.95,3.6,3.8,2.0078203494963187,1.9534038903150903,3.7929058503852073,3.787820254482612,1.9357910101092828,0.6184631803628603,média,10.0,1719577,Euro,2025-05-15,,Hungria,Albânia,1,0,1,3.1,2.4,3.1,2.4,2.4,3.2,3.1,1-0,10.0,,,,0.5447284345047924,2
1719582.0,2.0,1.0,3.0,2.55,3.25,2.87,1.9961433674491973,2.5536930972499103,2.873373778637162,2.8800147387549084,2.5503056846493832,0.520855475565003,baixa,5.0,1719584,Euro,2025-05-15,,Suíça,República Tcheca,0,2,2,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-2,8.5,,,,0.5395683453237411,2
1720061.0,0.0,2.0,2.0,2.8,3.4,2.5,0.0010923765204266,2.501846181381724,2.793753035861691,2.5079615060189107,2.795153935641601,0.4796163069544364,baixa,5.0,1719592,Euro,2025-05-15,,Eslovênia,França,0,3,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3,0-3,8.5,,,,0.4466457434287955,0
1719708.0,3.0,0.0,3.0,2.9,3.3,2.45,2.007798469103643,2.898717440068688,2.4550719118351654,2.4408085413588134,2.908781171128851,0.47001211631663975,baixa,5.0,1719599,Euro,2025-05-15,,Suíça,Espanha,0,1,1,2.55,2.7,2.55,2.7,2.7,3.6,2.55,0-1,6.5,,,,0.4895287958115183,2
1719429.0,2.0,2.0,4.0,1.95,3.6,3.8,1.002791993453188,1.9534038903150903,3.7909817406492974,1.9551715607164908,3.7747817976200033,0.6184631803628603,média,10.0,1719605,Euro,2025-05-15,,Romênia,Albânia,1,1,2,2.9,2.5,2.9,2.5,2.5,3.3,2.9,1-1,9.0,,,,0.5263262863980853,1
1719701.0,1.0,1.0,2.0,3.3,3.5,2.15,1.0020276849630672,2.1538958205315555,3.2947506094440318,2.145554475338549,3.299131784726605,0.423098968284295,baixa,5.0,1719612,Euro,2025-05-15,,Croácia,Turquia,0,1,1,3.0,2.4,3.0,2.4,2.4,3.3,3.0,0-1,8.5,,,,0.5395683453237411,1
1720154.0,0.0,0.0,0.0,2.55,3.3,2.8,1.0011369822769094,2.800107437388597,2.549255282782706,2.8160726432544805,2.550950691205012,0.5166364186327888,baixa,5.0,1719620,Euro,2025-05-15,,Itália,Bélgica,1,1,2,2.8,2.45,2.8,2.45,2.45,3.5,2.8,1-1,7.5,,,,0.5242718446601942,1
1719879.0,1.0,1.0,2.0,2.15,3.5,3.4,1.00205784314571,3.3965622362665835,2.153414801051176,3.4043466428443017,2.148850036860234,0.5818215821956236,baixa,5.0,1719627,Euro,2025-05-15,,Inglaterra,Suíça,0,1,1,3.3,2.1,3.3,2.1,2.1,3.6,3.3,0-1,6.5,,,,0.5819112627986349,1
1719529.0,2.0,1.0,3.0,2.45,3.1,3.2,1.9961652478418728,2.449204929035751,3.197878441130929,3.165832275275317,2.491728261504544,0.545848944981266,baixa,5.0,1719634,Euro,2025-05-15,,Romênia,Países Baixos,2,2,4,2.62,2.55,2.62,2.55,2.62,3.6,2.55,2-2,6.5,,,,0.4950183845332699,2
