HORA,COLUNA,Time_Contra,Time_Casa
4,2,França,Países Baixos
4,2,EUA,Países Baixos
4,2,Portugal,Países Baixos
4,2,Polônia,Países Baixos
4,2,Equador,Países Baixos
4,2,Dinamarca,Países Baixos
4,2,Canadá,Países Baixos
4,2,Suíça,Países Baixos
4,2,Inglaterra,Países Baixos
4,2,Camarões,Países Baixos
4,2,Tunísia,Países Baixos
4,2,Qatar,Países Baixos
4,2,Croácia,Países Baixos
4,2,Austrália,Países Baixos
4,2,Brasil,Países Baixos
4,2,Arábia Saudita,Países Baixos
4,2,Costa Rica,Países Baixos
4,2,Irã,Países Baixos
4,2,Sérvia,Países Baixos
4,2,Senegal,Países Baixos
4,2,Alemanha,Países Baixos
4,2,Japão,Países Baixos
4,2,Gana,Países Baixos
4,2,Bélgica,Países Baixos
4,2,Uruguai,Países Baixos
4,2,Coreia do Sul,Países Baixos
4,2,Espanha,Países Baixos
4,2,Marrocos,Países Baixos
4,2,Argentina,Países Baixos
4,2,País de Gales,Países Baixos
4,2,México,Países Baixos
4,2,EUA,França
4,2,Portugal,França
4,2,Polônia,França
4,2,Equador,França
4,2,Dinamarca,França
4,2,Canadá,França
4,2,Suíça,França
4,2,Inglaterra,França
4,2,Camarões,França
4,2,Tunísia,França
4,2,Qatar,França
4,2,Croácia,França
4,2,Austrália,França
4,2,Brasil,França
4,2,Arábia Saudita,França
4,2,Costa Rica,França
4,2,Irã,França
4,2,Sérvia,França
4,2,Senegal,França
4,2,Alemanha,França
4,2,Japão,França
4,2,Gana,França
4,2,Bélgica,França
4,2,Uruguai,França
4,2,Coreia do Sul,França
4,2,Espanha,França
4,2,Marrocos,França
4,2,Argentina,França
4,2,País de Gales,França
4,2,México,França
4,2,Portugal,EUA
4,2,Polônia,EUA
4,2,Equador,EUA
4,2,Dinamarca,EUA
4,2,Canadá,EUA
4,2,Suíça,EUA
4,2,Inglaterra,EUA
4,2,Camarões,EUA
4,2,Tunísia,EUA
4,2,Qatar,EUA
4,2,Croácia,EUA
4,2,Austrália,EUA
4,2,Brasil,EUA
4,2,Arábia Saudita,EUA
4,2,Costa Rica,EUA
4,2,Irã,EUA
4,2,Sérvia,EUA
4,2,Senegal,EUA
4,2,Alemanha,EUA
4,2,Japão,EUA
4,2,Gana,EUA
4,2,Bélgica,EUA
4,2,Uruguai,EUA
4,2,Coreia do Sul,EUA
4,2,Espanha,EUA
4,2,Marrocos,EUA
4,2,Argentina,EUA
4,2,País de Gales,EUA
4,2,México,EUA
4,2,Polônia,Portugal
4,2,Equador,Portugal
4,2,Dinamarca,Portugal
4,2,Canadá,Portugal
4,2,Suíça,Portugal
4,2,Inglaterra,Portugal
4,2,Camarões,Portugal
4,2,Tunísia,Portugal
4,2,Qatar,Portugal
4,2,Croácia,Portugal
4,2,Austrália,Portugal
4,2,Brasil,Portugal
4,2,Arábia Saudita,Portugal
4,2,Costa Rica,Portugal
4,2,Irã,Portugal
4,2,Sérvia,Portugal
4,2,Senegal,Portugal
4,2,Alemanha,Portugal
4,2,Japão,Portugal
4,2,Gana,Portugal
4,2,Bélgica,Portugal
4,2,Uruguai,Portugal
4,2,Coreia do Sul,Portugal
4,2,Espanha,Portugal
4,2,Marrocos,Portugal
4,2,Argentina,Portugal
4,2,País de Gales,Portugal
4,2,México,Portugal
4,2,Equador,Polônia
4,2,Dinamarca,Polônia
4,2,Canadá,Polônia
4,2,Suíça,Polônia
4,2,Inglaterra,Polônia
4,2,Camarões,Polônia
4,2,Tunísia,Polônia
4,2,Qatar,Polônia
4,2,Croácia,Polônia
4,2,Austrália,Polônia
4,2,Brasil,Polônia
4,2,Arábia Saudita,Polônia
4,2,Costa Rica,Polônia
4,2,Irã,Polônia
4,2,Sérvia,Polônia
4,2,Senegal,Polônia
4,2,Alemanha,Polônia
4,2,Japão,Polônia
4,2,Gana,Polônia
4,2,Bélgica,Polônia
4,2,Uruguai,Polônia
4,2,Coreia do Sul,Polônia
4,2,Espanha,Polônia
4,2,Marrocos,Polônia
4,2,Argentina,Polônia
4,2,País de Gales,Polônia
4,2,México,Polônia
4,2,Dinamarca,Equador
4,2,Canadá,Equador
4,2,Suíça,Equador
4,2,Inglaterra,Equador
4,2,Camarões,Equador
4,2,Tunísia,Equador
4,2,Qatar,Equador
4,2,Croácia,Equador
4,2,Austrália,Equador
4,2,Brasil,Equador
4,2,Arábia Saudita,Equador
4,2,Costa Rica,Equador
4,2,Irã,Equador
4,2,Sérvia,Equador
4,2,Senegal,Equador
4,2,Alemanha,Equador
4,2,Japão,Equador
4,2,Gana,Equador
4,2,Bélgica,Equador
4,2,Uruguai,Equador
4,2,Coreia do Sul,Equador
4,2,Espanha,Equador
4,2,Marrocos,Equador
4,2,Argentina,Equador
4,2,País de Gales,Equador
4,2,México,Equador
4,2,Canadá,Dinamarca
4,2,Suíça,Dinamarca
4,2,Inglaterra,Dinamarca
4,2,Camarões,Dinamarca
4,2,Tunísia,Dinamarca
4,2,Qatar,Dinamarca
4,2,Croácia,Dinamarca
4,2,Austrália,Dinamarca
4,2,Brasil,Dinamarca
4,2,Arábia Saudita,Dinamarca
4,2,Costa Rica,Dinamarca
4,2,Irã,Dinamarca
4,2,Sérvia,Dinamarca
4,2,Senegal,Dinamarca
4,2,Alemanha,Dinamarca
4,2,Japão,Dinamarca
4,2,Gana,Dinamarca
4,2,Bélgica,Dinamarca
4,2,Uruguai,Dinamarca
4,2,Coreia do Sul,Dinamarca
4,2,Espanha,Dinamarca
4,2,Marrocos,Dinamarca
4,2,Argentina,Dinamarca
4,2,País de Gales,Dinamarca
4,2,México,Dinamarca
4,2,Suíça,Canadá
4,2,Inglaterra,Canadá
4,2,Camarões,Canadá
4,2,Tunísia,Canadá
4,2,Qatar,Canadá
4,2,Croácia,Canadá
4,2,Austrália,Canadá
4,2,Brasil,Canadá
4,2,Arábia Saudita,Canadá
4,2,Costa Rica,Canadá
4,2,Irã,Canadá
4,2,Sérvia,Canadá
4,2,Senegal,Canadá
4,2,Alemanha,Canadá
4,2,Japão,Canadá
4,2,Gana,Canadá
4,2,Bélgica,Canadá
4,2,Uruguai,Canadá
4,2,Coreia do Sul,Canadá
4,2,Espanha,Canadá
4,2,Marrocos,Canadá
4,2,Argentina,Canadá
4,2,País de Gales,Canadá
4,2,México,Canadá
4,2,Inglaterra,Suíça
4,2,Camarões,Suíça
4,2,Tunísia,Suíça
4,2,Qatar,Suíça
4,2,Croácia,Suíça
4,2,Austrália,Suíça
4,2,Brasil,Suíça
4,2,Arábia Saudita,Suíça
4,2,Costa Rica,Suíça
4,2,Irã,Suíça
4,2,Sérvia,Suíça
4,2,Senegal,Suíça
4,2,Alemanha,Suíça
4,2,Japão,Suíça
4,2,Gana,Suíça
4,2,Bélgica,Suíça
4,2,Uruguai,Suíça
4,2,Coreia do Sul,Suíça
4,2,Espanha,Suíça
4,2,Marrocos,Suíça
4,2,Argentina,Suíça
4,2,País de Gales,Suíça
4,2,México,Suíça
4,2,Camarões,Inglaterra
4,2,Tunísia,Inglaterra
4,2,Qatar,Inglaterra
4,2,Croácia,Inglaterra
4,2,Austrália,Inglaterra
4,2,Brasil,Inglaterra
4,2,Arábia Saudita,Inglaterra
4,2,Costa Rica,Inglaterra
4,2,Irã,Inglaterra
4,2,Sérvia,Inglaterra
4,2,Senegal,Inglaterra
4,2,Alemanha,Inglaterra
4,2,Japão,Inglaterra
4,2,Gana,Inglaterra
4,2,Bélgica,Inglaterra
4,2,Uruguai,Inglaterra
4,2,Coreia do Sul,Inglaterra
4,2,Espanha,Inglaterra
4,2,Marrocos,Inglaterra
4,2,Argentina,Inglaterra
4,2,País de Gales,Inglaterra
4,2,México,Inglaterra
4,2,Tunísia,Camarões
4,2,Qatar,Camarões
4,2,Croácia,Camarões
4,2,Austrália,Camarões
4,2,Brasil,Camarões
4,2,Arábia Saudita,Camarões
4,2,Costa Rica,Camarões
4,2,Irã,Camarões
4,2,Sérvia,Camarões
4,2,Senegal,Camarões
4,2,Alemanha,Camarões
4,2,Japão,Camarões
4,2,Gana,Camarões
4,2,Bélgica,Camarões
4,2,Uruguai,Camarões
4,2,Coreia do Sul,Camarões
4,2,Espanha,Camarões
4,2,Marrocos,Camarões
4,2,Argentina,Camarões
4,2,País de Gales,Camarões
4,2,México,Camarões
4,2,Qatar,Tunísia
4,2,Croácia,Tunísia
4,2,Austrália,Tunísia
4,2,Brasil,Tunísia
4,2,Arábia Saudita,Tunísia
4,2,Costa Rica,Tunísia
4,2,Irã,Tunísia
4,2,Sérvia,Tunísia
4,2,Senegal,Tunísia
