HORA,COLUNA,Time_Contra,Time_Casa
7,2,República Tcheca,Ucrânia
7,2,Alemanha,Ucrânia
7,2,Inglaterra,Ucrânia
7,2,Polônia,Ucrânia
7,2,Itália,Ucrânia
7,2,Eslovênia,Ucrânia
7,2,Turquia,Ucrânia
7,2,Romênia,Ucrânia
7,2,Suíça,Ucrânia
7,2,Escócia,Ucrânia
7,2,Albânia,Ucrânia
7,2,Croácia,Ucrânia
7,2,França,Ucrânia
7,2,Dinamarca,Ucrânia
7,2,Portugal,Ucrânia
7,2,Espanha,Ucrânia
7,2,Países Baixos,Ucrânia
7,2,Hungria,Ucrânia
7,2,Geórgia,Ucrânia
7,2,Eslováquia,Ucrânia
7,2,Bélgica,Ucrânia
7,2,Áustria,Ucrânia
7,2,Sérvia,Ucrânia
7,2,Alemanha,República Tcheca
7,2,Inglaterra,República Tcheca
7,2,Polônia,República Tcheca
7,2,Itália,República Tcheca
7,2,Eslovênia,República Tcheca
7,2,Turquia,República Tcheca
7,2,Romênia,República Tcheca
7,2,Suíça,República Tcheca
7,2,Escócia,República Tcheca
7,2,Albânia,República Tcheca
7,2,Croácia,República Tcheca
7,2,França,República Tcheca
7,2,Dinamarca,República Tcheca
7,2,Portugal,República Tcheca
7,2,Espanha,República Tcheca
7,2,Países Baixos,República Tcheca
7,2,Hungria,República Tcheca
7,2,Geórgia,República Tcheca
7,2,Eslováquia,República Tcheca
7,2,Bélgica,República Tcheca
7,2,Áustria,República Tcheca
7,2,Sérvia,República Tcheca
7,2,Inglaterra,Alemanha
7,2,Polônia,Alemanha
7,2,Itália,Alemanha
7,2,Eslovênia,Alemanha
7,2,Turquia,Alemanha
7,2,Romênia,Alemanha
7,2,Suíça,Alemanha
7,2,Escócia,Alemanha
7,2,Albânia,Alemanha
7,2,Croácia,Alemanha
7,2,França,Alemanha
7,2,Dinamarca,Alemanha
7,2,Portugal,Alemanha
7,2,Espanha,Alemanha
7,2,Países Baixos,Alemanha
7,2,Hungria,Alemanha
7,2,Geórgia,Alemanha
7,2,Eslováquia,Alemanha
7,2,Bélgica,Alemanha
7,2,Áustria,Alemanha
7,2,Sérvia,Alemanha
7,2,Polônia,Inglaterra
7,2,Itália,Inglaterra
7,2,Eslovênia,Inglaterra
7,2,Turquia,Inglaterra
7,2,Romênia,Inglaterra
7,2,Suíça,Inglaterra
7,2,Escócia,Inglaterra
7,2,Albânia,Inglaterra
7,2,Croácia,Inglaterra
7,2,França,Inglaterra
7,2,Dinamarca,Inglaterra
7,2,Portugal,Inglaterra
7,2,Espanha,Inglaterra
7,2,Países Baixos,Inglaterra
7,2,Hungria,Inglaterra
7,2,Geórgia,Inglaterra
7,2,Eslováquia,Inglaterra
7,2,Bélgica,Inglaterra
7,2,Áustria,Inglaterra
7,2,Sérvia,Inglaterra
7,2,Itália,Polônia
7,2,Eslovênia,Polônia
7,2,Turquia,Polônia
7,2,Romênia,Polônia
7,2,Suíça,Polônia
7,2,Escócia,Polônia
7,2,Albânia,Polônia
7,2,Croácia,Polônia
7,2,França,Polônia
7,2,Dinamarca,Polônia
7,2,Portugal,Polônia
7,2,Espanha,Polônia
7,2,Países Baixos,Polônia
7,2,Hungria,Polônia
7,2,Geórgia,Polônia
7,2,Eslováquia,Polônia
7,2,Bélgica,Polônia
7,2,Áustria,Polônia
7,2,Sérvia,Polônia
7,2,Eslovênia,Itália
7,2,Turquia,Itália
7,2,Romênia,Itália
7,2,Suíça,Itália
7,2,Escócia,Itália
7,2,Albânia,Itália
7,2,Croácia,Itália
7,2,França,Itália
7,2,Dinamarca,Itália
7,2,Portugal,Itália
7,2,Espanha,Itália
7,2,Países Baixos,Itália
7,2,Hungria,Itália
7,2,Geórgia,Itália
7,2,Eslováquia,Itália
7,2,Bélgica,Itália
7,2,Áustria,Itália
7,2,Sérvia,Itália
7,2,Turquia,Eslovênia
7,2,Romênia,Eslovênia
7,2,Suíça,Eslovênia
7,2,Escócia,Eslovênia
7,2,Albânia,Eslovênia
7,2,Croácia,Eslovênia
7,2,França,Eslovênia
7,2,Dinamarca,Eslovênia
7,2,Portugal,Eslovênia
7,2,Espanha,Eslovênia
7,2,Países Baixos,Eslovênia
7,2,Hungria,Eslovênia
7,2,Geórgia,Eslovênia
7,2,Eslováquia,Eslovênia
7,2,Bélgica,Eslovênia
7,2,Áustria,Eslovênia
7,2,Sérvia,Eslovênia
7,2,Romênia,Turquia
7,2,Suíça,Turquia
7,2,Escócia,Turquia
7,2,Albânia,Turquia
7,2,Croácia,Turquia
7,2,França,Turquia
7,2,Dinamarca,Turquia
7,2,Portugal,Turquia
7,2,Espanha,Turquia
7,2,Países Baixos,Turquia
7,2,Hungria,Turquia
7,2,Geórgia,Turquia
7,2,Eslováquia,Turquia
7,2,Bélgica,Turquia
7,2,Áustria,Turquia
7,2,Sérvia,Turquia
7,2,Suíça,Romênia
7,2,Escócia,Romênia
7,2,Albânia,Romênia
7,2,Croácia,Romênia
7,2,França,Romênia
7,2,Dinamarca,Romênia
7,2,Portugal,Romênia
7,2,Espanha,Romênia
7,2,Países Baixos,Romênia
7,2,Hungria,Romênia
7,2,Geórgia,Romênia
7,2,Eslováquia,Romênia
7,2,Bélgica,Romênia
7,2,Áustria,Romênia
7,2,Sérvia,Romênia
7,2,Escócia,Suíça
7,2,Albânia,Suíça
7,2,Croácia,Suíça
7,2,França,Suíça
7,2,Dinamarca,Suíça
7,2,Portugal,Suíça
7,2,Espanha,Suíça
7,2,Países Baixos,Suíça
7,2,Hungria,Suíça
7,2,Geórgia,Suíça
7,2,Eslováquia,Suíça
7,2,Bélgica,Suíça
7,2,Áustria,Suíça
7,2,Sérvia,Suíça
7,2,Albânia,Escócia
7,2,Croácia,Escócia
7,2,França,Escócia
7,2,Dinamarca,Escócia
7,2,Portugal,Escócia
7,2,Espanha,Escócia
7,2,Países Baixos,Escócia
7,2,Hungria,Escócia
7,2,Geórgia,Escócia
7,2,Eslováquia,Escócia
7,2,Bélgica,Escócia
7,2,Áustria,Escócia
7,2,Sérvia,Escócia
7,2,Croácia,Albânia
7,2,França,Albânia
7,2,Dinamarca,Albânia
7,2,Portugal,Albânia
7,2,Espanha,Albânia
7,2,Países Baixos,Albânia
7,2,Hungria,Albânia
7,2,Geórgia,Albânia
7,2,Eslováquia,Albânia
7,2,Bélgica,Albânia
7,2,Áustria,Albânia
7,2,Sérvia,Albânia
7,2,França,Croácia
7,2,Dinamarca,Croácia
7,2,Portugal,Croácia
7,2,Espanha,Croácia
7,2,Países Baixos,Croácia
7,2,Hungria,Croácia
7,2,Geórgia,Croácia
7,2,Eslováquia,Croácia
7,2,Bélgica,Croácia
7,2,Áustria,Croácia
7,2,Sérvia,Croácia
7,2,Dinamarca,França
7,2,Portugal,França
7,2,Espanha,França
7,2,Países Baixos,França
7,2,Hungria,França
7,2,Geórgia,França
7,2,Eslováquia,França
7,2,Bélgica,França
7,2,Áustria,França
7,2,Sérvia,França
7,2,Portugal,Dinamarca
7,2,Espanha,Dinamarca
7,2,Países Baixos,Dinamarca
7,2,Hungria,Dinamarca
7,2,Geórgia,Dinamarca
7,2,Eslováquia,Dinamarca
7,2,Bélgica,Dinamarca
7,2,Áustria,Dinamarca
7,2,Sérvia,Dinamarca
7,2,Espanha,Portugal
7,2,Países Baixos,Portugal
7,2,Hungria,Portugal
7,2,Geórgia,Portugal
7,2,Eslováquia,Portugal
7,2,Bélgica,Portugal
7,2,Áustria,Portugal
7,2,Sérvia,Portugal
7,2,Países Baixos,Espanha
7,2,Hungria,Espanha
7,2,Geórgia,Espanha
7,2,Eslováquia,Espanha
7,2,Bélgica,Espanha
7,2,Áustria,Espanha
7,2,Sérvia,Espanha
7,2,Hungria,Países Baixos
7,2,Geórgia,Países Baixos
7,2,Eslováquia,Países Baixos
7,2,Bélgica,Países Baixos
7,2,Áustria,Países Baixos
7,2,Sérvia,Países Baixos
7,2,Geórgia,Hungria
7,2,Eslováquia,Hungria
7,2,Bélgica,Hungria
7,2,Áustria,Hungria
7,2,Sérvia,Hungria
7,2,Eslováquia,Geórgia
7,2,Bélgica,Geórgia
7,2,Áustria,Geórgia
7,2,Sérvia,Geórgia
7,2,Bélgica,Eslováquia
7,2,Áustria,Eslováquia
7,2,Sérvia,Eslováquia
7,2,Áustria,Bélgica
7,2,Sérvia,Bélgica
7,2,Sérvia,Áustria
7,5,República Tcheca,Ucrânia
7,5,Alemanha,Ucrânia
7,5,Inglaterra,Ucrânia
7,5,Polônia,Ucrânia
7,5,Itália,Ucrânia
7,5,Eslovênia,Ucrânia
7,5,Turquia,Ucrânia
7,5,Romênia,Ucrânia
7,5,Suíça,Ucrânia
7,5,Escócia,Ucrânia
7,5,Albânia,Ucrânia
7,5,Croácia,Ucrânia
7,5,França,Ucrânia
7,5,Dinamarca,Ucrânia
7,5,Portugal,Ucrânia
7,5,Espanha,Ucrânia
7,5,Países Baixos,Ucrânia
7,5,Hungria,Ucrânia
7,5,Geórgia,Ucrânia
7,5,Eslováquia,Ucrânia
7,5,Bélgica,Ucrânia
7,5,Áustria,Ucrânia
7,5,Sérvia,Ucrânia
7,5,Alemanha,República Tcheca
7,5,Inglaterra,República Tcheca
7,5,Polônia,República Tcheca
7,5,Itália,República Tcheca
7,5,Eslovênia,República Tcheca
7,5,Turquia,República Tcheca
7,5,Romênia,República Tcheca
7,5,Suíça,República Tcheca
7,5,Escócia,República Tcheca
7,5,Albânia,República Tcheca
7,5,Croácia,República Tcheca
7,5,França,República Tcheca
7,5,Dinamarca,República Tcheca
7,5,Portugal,República Tcheca
7,5,Espanha,República Tcheca
7,5,Países Baixos,República Tcheca
7,5,Hungria,República Tcheca
7,5,Geórgia,República Tcheca
7,5,Eslováquia,República Tcheca
7,5,Bélgica,República Tcheca
7,5,Áustria,República Tcheca
7,5,Sérvia,República Tcheca
7,5,Inglaterra,Alemanha
7,5,Polônia,Alemanha
7,5,Itália,Alemanha
7,5,Eslovênia,Alemanha
7,5,Turquia,Alemanha
7,5,Romênia,Alemanha
7,5,Suíça,Alemanha
7,5,Escócia,Alemanha
7,5,Albânia,Alemanha
7,5,Croácia,Alemanha
7,5,França,Alemanha
7,5,Dinamarca,Alemanha
7,5,Portugal,Alemanha
7,5,Espanha,Alemanha
7,5,Países Baixos,Alemanha
7,5,Hungria,Alemanha
7,5,Geórgia,Alemanha
7,5,Eslováquia,Alemanha
7,5,Bélgica,Alemanha
7,5,Áustria,Alemanha
7,5,Sérvia,Alemanha
7,5,Polônia,Inglaterra
7,5,Itália,Inglaterra
7,5,Eslovênia,Inglaterra
7,5,Turquia,Inglaterra
7,5,Romênia,Inglaterra
7,5,Suíça,Inglaterra
7,5,Escócia,Inglaterra
7,5,Albânia,Inglaterra
7,5,Croácia,Inglaterra
7,5,França,Inglaterra
7,5,Dinamarca,Inglaterra
7,5,Portugal,Inglaterra
7,5,Espanha,Inglaterra
7,5,Países Baixos,Inglaterra
7,5,Hungria,Inglaterra
7,5,Geórgia,Inglaterra
7,5,Eslováquia,Inglaterra
7,5,Bélgica,Inglaterra
7,5,Áustria,Inglaterra
7,5,Sérvia,Inglaterra
7,5,Itália,Polônia
7,5,Eslovênia,Polônia
7,5,Turquia,Polônia
7,5,Romênia,Polônia
7,5,Suíça,Polônia
7,5,Escócia,Polônia
7,5,Albânia,Polônia
7,5,Croácia,Polônia
7,5,França,Polônia
7,5,Dinamarca,Polônia
7,5,Portugal,Polônia
7,5,Espanha,Polônia
7,5,Países Baixos,Polônia
7,5,Hungria,Polônia
7,5,Geórgia,Polônia
7,5,Eslováquia,Polônia
7,5,Bélgica,Polônia
7,5,Áustria,Polônia
7,5,Sérvia,Polônia
7,5,Eslovênia,Itália
7,5,Turquia,Itália
7,5,Romênia,Itália
7,5,Suíça,Itália
7,5,Escócia,Itália
7,5,Albânia,Itália
7,5,Croácia,Itália
7,5,França,Itália
7,5,Dinamarca,Itália
7,5,Portugal,Itália
7,5,Espanha,Itália
7,5,Países Baixos,Itália
7,5,Hungria,Itália
7,5,Geórgia,Itália
7,5,Eslováquia,Itália
7,5,Bélgica,Itália
7,5,Áustria,Itália
7,5,Sérvia,Itália
7,5,Turquia,Eslovênia
7,5,Romênia,Eslovênia
7,5,Suíça,Eslovênia
7,5,Escócia,Eslovênia
7,5,Albânia,Eslovênia
7,5,Croácia,Eslovênia
7,5,França,Eslovênia
7,5,Dinamarca,Eslovênia
7,5,Portugal,Eslovênia
7,5,Espanha,Eslovênia
7,5,Países Baixos,Eslovênia
7,5,Hungria,Eslovênia
7,5,Geórgia,Eslovênia
7,5,Eslováquia,Eslovênia
7,5,Bélgica,Eslovênia
7,5,Áustria,Eslovênia
7,5,Sérvia,Eslovênia
7,5,Romênia,Turquia
7,5,Suíça,Turquia
7,5,Escócia,Turquia
7,5,Albânia,Turquia
7,5,Croácia,Turquia
7,5,França,Turquia
7,5,Dinamarca,Turquia
7,5,Portugal,Turquia
7,5,Espanha,Turquia
7,5,Países Baixos,Turquia
7,5,Hungria,Turquia
7,5,Geórgia,Turquia
7,5,Eslováquia,Turquia
7,5,Bélgica,Turquia
7,5,Áustria,Turquia
7,5,Sérvia,Turquia
7,5,Suíça,Romênia
7,5,Escócia,Romênia
7,5,Albânia,Romênia
7,5,Croácia,Romênia
7,5,França,Romênia
7,5,Dinamarca,Romênia
7,5,Portugal,Romênia
7,5,Espanha,Romênia
7,5,Países Baixos,Romênia
7,5,Hungria,Romênia
7,5,Geórgia,Romênia
7,5,Eslováquia,Romênia
7,5,Bélgica,Romênia
7,5,Áustria,Romênia
7,5,Sérvia,Romênia
7,5,Escócia,Suíça
7,5,Albânia,Suíça
7,5,Croácia,Suíça
7,5,França,Suíça
7,5,Dinamarca,Suíça
7,5,Portugal,Suíça
7,5,Espanha,Suíça
7,5,Países Baixos,Suíça
7,5,Hungria,Suíça
7,5,Geórgia,Suíça
7,5,Eslováquia,Suíça
7,5,Bélgica,Suíça
7,5,Áustria,Suíça
7,5,Sérvia,Suíça
7,5,Albânia,Escócia
7,5,Croácia,Escócia
7,5,França,Escócia
7,5,Dinamarca,Escócia
7,5,Portugal,Escócia
7,5,Espanha,Escócia
7,5,Países Baixos,Escócia
7,5,Hungria,Escócia
7,5,Geórgia,Escócia
7,5,Eslováquia,Escócia
7,5,Bélgica,Escócia
7,5,Áustria,Escócia
7,5,Sérvia,Escócia
7,5,Croácia,Albânia
7,5,França,Albânia
7,5,Dinamarca,Albânia
7,5,Portugal,Albânia
7,5,Espanha,Albânia
7,5,Países Baixos,Albânia
7,5,Hungria,Albânia
7,5,Geórgia,Albânia
7,5,Eslováquia,Albânia
7,5,Bélgica,Albânia
7,5,Áustria,Albânia
7,5,Sérvia,Albânia
7,5,França,Croácia
7,5,Dinamarca,Croácia
7,5,Portugal,Croácia
7,5,Espanha,Croácia
