HORA,COLUNA,Time_Contra,Time_Casa
7,2,Santos,Quito
7,2,Rio de Janeiro,Quito
7,2,Avellaneda,Quito
7,2,Sao Paulo,Quito
7,2,Bogota,Quito
7,2,Porto Alegre,Quito
7,2,Santiago,Quito
7,2,La Plata,Quito
7,2,Penarol,Quito
7,2,Agua Branca,Quito
7,2,Asuncion,Quito
7,2,Montevideo,Quito
7,2,Lima,Quito
7,2,Belo Horizonte,Quito
7,2,Itaquera,Quito
7,2,Guayaquil,Quito
7,2,Medellin,Quito
7,2,Buenos Aires,Quito
7,2,La Boca,Quito
7,2,Rio de Janeiro,Santos
7,2,Avellaneda,Santos
7,2,Sao Paulo,Santos
7,2,Bogota,Santos
7,2,Porto Alegre,Santos
7,2,Santiago,Santos
7,2,La Plata,Santos
7,2,Penarol,Santos
7,2,Agua Branca,Santos
7,2,Asuncion,Santos
7,2,Montevideo,Santos
7,2,Lima,Santos
7,2,Belo Horizonte,Santos
7,2,Itaquera,Santos
7,2,Guayaquil,Santos
7,2,Medellin,Santos
7,2,Buenos Aires,Santos
7,2,La Boca,Santos
7,2,Avellaneda,Rio de Janeiro
7,2,Sao Paulo,Rio de Janeiro
7,2,Bogota,Rio de Janeiro
7,2,Porto Alegre,Rio de Janeiro
7,2,Santiago,Rio de Janeiro
7,2,La Plata,Rio de Janeiro
7,2,Penarol,Rio de Janeiro
7,2,Agua Branca,Rio de Janeiro
7,2,Asuncion,Rio de Janeiro
7,2,Montevideo,Rio de Janeiro
7,2,Lima,Rio de Janeiro
7,2,Belo Horizonte,Rio de Janeiro
7,2,Itaquera,Rio de Janeiro
7,2,Guayaquil,Rio de Janeiro
7,2,Medellin,Rio de Janeiro
7,2,Buenos Aires,Rio de Janeiro
7,2,La Boca,Rio de Janeiro
7,2,Sao Paulo,Avellaneda
7,2,Bogota,Avellaneda
7,2,Porto Alegre,Avellaneda
7,2,Santiago,Avellaneda
7,2,La Plata,Avellaneda
7,2,Penarol,Avellaneda
7,2,Agua Branca,Avellaneda
7,2,Asuncion,Avellaneda
7,2,Montevideo,Avellaneda
7,2,Lima,Avellaneda
7,2,Belo Horizonte,Avellaneda
7,2,Itaquera,Avellaneda
7,2,Guayaquil,Avellaneda
7,2,Medellin,Avellaneda
7,2,Buenos Aires,Avellaneda
7,2,La Boca,Avellaneda
7,2,Bogota,Sao Paulo
7,2,Porto Alegre,Sao Paulo
7,2,Santiago,Sao Paulo
7,2,La Plata,Sao Paulo
7,2,Penarol,Sao Paulo
7,2,Agua Branca,Sao Paulo
7,2,Asuncion,Sao Paulo
7,2,Montevideo,Sao Paulo
7,2,Lima,Sao Paulo
7,2,Belo Horizonte,Sao Paulo
7,2,Itaquera,Sao Paulo
7,2,Guayaquil,Sao Paulo
7,2,Medellin,Sao Paulo
7,2,Buenos Aires,Sao Paulo
7,2,La Boca,Sao Paulo
7,2,Porto Alegre,Bogota
7,2,Santiago,Bogota
7,2,La Plata,Bogota
7,2,Penarol,Bogota
7,2,Agua Branca,Bogota
7,2,Asuncion,Bogota
7,2,Montevideo,Bogota
7,2,Lima,Bogota
7,2,Belo Horizonte,Bogota
7,2,Itaquera,Bogota
7,2,Guayaquil,Bogota
7,2,Medellin,Bogota
7,2,Buenos Aires,Bogota
7,2,La Boca,Bogota
7,2,Santiago,Porto Alegre
7,2,La Plata,Porto Alegre
7,2,Penarol,Porto Alegre
7,2,Agua Branca,Porto Alegre
7,2,Asuncion,Porto Alegre
7,2,Montevideo,Porto Alegre
7,2,Lima,Porto Alegre
7,2,Belo Horizonte,Porto Alegre
7,2,Itaquera,Porto Alegre
7,2,Guayaquil,Porto Alegre
7,2,Medellin,Porto Alegre
7,2,Buenos Aires,Porto Alegre
7,2,La Boca,Porto Alegre
7,2,La Plata,Santiago
7,2,Penarol,Santiago
7,2,Agua Branca,Santiago
7,2,Asuncion,Santiago
7,2,Montevideo,Santiago
7,2,Lima,Santiago
7,2,Belo Horizonte,Santiago
7,2,Itaquera,Santiago
7,2,Guayaquil,Santiago
7,2,Medellin,Santiago
7,2,Buenos Aires,Santiago
7,2,La Boca,Santiago
7,2,Penarol,La Plata
7,2,Agua Branca,La Plata
7,2,Asuncion,La Plata
7,2,Montevideo,La Plata
7,2,Lima,La Plata
7,2,Belo Horizonte,La Plata
7,2,Itaquera,La Plata
7,2,Guayaquil,La Plata
7,2,Medellin,La Plata
7,2,Buenos Aires,La Plata
7,2,La Boca,La Plata
7,2,Agua Branca,Penarol
7,2,Asuncion,Penarol
7,2,Montevideo,Penarol
7,2,Lima,Penarol
7,2,Belo Horizonte,Penarol
7,2,Itaquera,Penarol
7,2,Guayaquil,Penarol
7,2,Medellin,Penarol
7,2,Buenos Aires,Penarol
7,2,La Boca,Penarol
7,2,Asuncion,Agua Branca
7,2,Montevideo,Agua Branca
7,2,Lima,Agua Branca
7,2,Belo Horizonte,Agua Branca
7,2,Itaquera,Agua Branca
7,2,Guayaquil,Agua Branca
7,2,Medellin,Agua Branca
7,2,Buenos Aires,Agua Branca
7,2,La Boca,Agua Branca
7,2,Montevideo,Asuncion
7,2,Lima,Asuncion
7,2,Belo Horizonte,Asuncion
7,2,Itaquera,Asuncion
7,2,Guayaquil,Asuncion
7,2,Medellin,Asuncion
7,2,Buenos Aires,Asuncion
7,2,La Boca,Asuncion
7,2,Lima,Montevideo
7,2,Belo Horizonte,Montevideo
7,2,Itaquera,Montevideo
7,2,Guayaquil,Montevideo
7,2,Medellin,Montevideo
7,2,Buenos Aires,Montevideo
7,2,La Boca,Montevideo
7,2,Belo Horizonte,Lima
7,2,Itaquera,Lima
7,2,Guayaquil,Lima
7,2,Medellin,Lima
7,2,Buenos Aires,Lima
7,2,La Boca,Lima
7,2,Itaquera,Belo Horizonte
7,2,Guayaquil,Belo Horizonte
7,2,Medellin,Belo Horizonte
7,2,Buenos Aires,Belo Horizonte
7,2,La Boca,Belo Horizonte
7,2,Guayaquil,Itaquera
7,2,Medellin,Itaquera
7,2,Buenos Aires,Itaquera
7,2,La Boca,Itaquera
7,2,Medellin,Guayaquil
7,2,Buenos Aires,Guayaquil
7,2,La Boca,Guayaquil
7,2,Buenos Aires,Medellin
7,2,La Boca,Medellin
7,2,La Boca,Buenos Aires
7,5,Santos,Quito
7,5,Rio de Janeiro,Quito
7,5,Avellaneda,Quito
7,5,Sao Paulo,Quito
7,5,Bogota,Quito
7,5,Porto Alegre,Quito
7,5,Santiago,Quito
7,5,La Plata,Quito
7,5,Penarol,Quito
7,5,Agua Branca,Quito
7,5,Asuncion,Quito
7,5,Montevideo,Quito
7,5,Lima,Quito
7,5,Belo Horizonte,Quito
7,5,Itaquera,Quito
7,5,Guayaquil,Quito
7,5,Medellin,Quito
7,5,Buenos Aires,Quito
7,5,La Boca,Quito
7,5,Rio de Janeiro,Santos
7,5,Avellaneda,Santos
7,5,Sao Paulo,Santos
7,5,Bogota,Santos
7,5,Porto Alegre,Santos
7,5,Santiago,Santos
7,5,La Plata,Santos
7,5,Penarol,Santos
7,5,Agua Branca,Santos
7,5,Asuncion,Santos
7,5,Montevideo,Santos
7,5,Lima,Santos
7,5,Belo Horizonte,Santos
7,5,Itaquera,Santos
7,5,Guayaquil,Santos
7,5,Medellin,Santos
7,5,Buenos Aires,Santos
7,5,La Boca,Santos
7,5,Avellaneda,Rio de Janeiro
7,5,Sao Paulo,Rio de Janeiro
7,5,Bogota,Rio de Janeiro
7,5,Porto Alegre,Rio de Janeiro
7,5,Santiago,Rio de Janeiro
7,5,La Plata,Rio de Janeiro
7,5,Penarol,Rio de Janeiro
7,5,Agua Branca,Rio de Janeiro
7,5,Asuncion,Rio de Janeiro
7,5,Montevideo,Rio de Janeiro
7,5,Lima,Rio de Janeiro
7,5,Belo Horizonte,Rio de Janeiro
7,5,Itaquera,Rio de Janeiro
7,5,Guayaquil,Rio de Janeiro
7,5,Medellin,Rio de Janeiro
7,5,Buenos Aires,Rio de Janeiro
7,5,La Boca,Rio de Janeiro
7,5,Sao Paulo,Avellaneda
7,5,Bogota,Avellaneda
7,5,Porto Alegre,Avellaneda
