Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1770813,Euro,2025-05-30,6:02,Turquia,Países Baixos,0,2,2,2.75,2.50,2.75,2.50,2.50,3.40,2.75,0-2,7.50,30-05-2025 02:16
1770820,Euro,2025-05-30,6:05,Escócia,Eslovênia,1,0,1,3.10,2.40,3.10,2.40,2.40,3.25,3.10,1-0,9.00,30-05-2025 02:16
1770827,Euro,2025-05-30,6:08,França,Bélgica,3,1,4,2.25,3.10,2.25,3.10,2.25,3.60,3.10,3-1,6.50,30-05-2025 02:16
1770834,Euro,2025-05-30,6:11,Eslovênia,Romênia,1,1,2,2.90,2.45,2.90,2.45,2.45,3.30,2.90,1-1,8.50,30-05-2025 02:16
1770841,Euro,2025-05-30,6:14,Dinamarca,Ucrânia,2,1,3,2.25,3.25,3.25,2.25,2.25,3.40,3.25,2-1,8.50,30-05-2025 02:16
1770672,Euro,2025-05-30,5:02,Eslováquia,Romênia,0,0,0,2.70,2.60,2.70,2.60,2.60,3.50,2.70,0-0,7.00,30-05-2025 02:16
1770680,Euro,2025-05-30,5:05,Sérvia,Polônia,1,1,2,3.20,2.35,3.20,2.35,2.35,3.20,3.20,1-1,10.00,30-05-2025 02:16
1770686,Euro,2025-05-30,5:08,Portugal,Eslováquia,2,0,2,3.75,2.00,3.75,2.00,2.00,3.50,3.75,2-0,7.50,30-05-2025 02:16
1770694,Euro,2025-05-30,5:11,Espanha,Polônia,2,0,2,3.40,2.15,3.40,2.15,2.15,3.50,3.40,2-0,7.50,30-05-2025 02:16
1770701,Euro,2025-05-30,5:14,Escócia,Turquia,2,0,2,2.80,2.55,2.80,2.55,2.55,3.30,2.80,2-0,8.50,30-05-2025 02:16
1770708,Euro,2025-05-30,5:17,Inglaterra,Sérvia,2,1,3,2.15,3.40,3.40,2.15,2.15,3.50,3.40,2-1,8.00,30-05-2025 02:16
1770716,Euro,2025-05-30,5:20,Alemanha,Espanha,0,0,0,2.87,2.37,2.87,2.37,2.37,3.60,2.87,0-0,6.50,30-05-2025 02:16
1770722,Euro,2025-05-30,5:23,Turquia,Eslovênia,2,1,3,2.35,3.25,3.25,2.35,2.35,3.10,3.25,2-1,11.00,30-05-2025 02:16
1770729,Euro,2025-05-30,5:26,Romênia,Ucrânia,2,1,3,2.45,2.87,2.87,2.45,2.45,3.50,2.87,2-1,7.50,30-05-2025 02:16
1770736,Euro,2025-05-30,5:29,Dinamarca,França,0,1,1,2.50,2.80,2.50,2.80,2.80,3.50,2.50,0-1,7.50,30-05-2025 02:16
