Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720042,1,0,1,3.4,2.2,3.4,2.2,2.2,3.3,3.4
1719291,0,1,1,3.5,2.1,3.5,2.1,2.1,3.5,3.5
1719306,0,1,1,3.3,2.25,3.3,2.25,2.25,3.3,3.3
1720135,1,1,2,2.3,3.0,2.3,3.0,3.0,3.5,2.3
1720144,1,0,1,2.75,2.5,2.75,2.5,2.5,3.4,2.75
1720117,1,1,2,3.1,2.5,3.1,2.5,2.5,3.0,3.1
1720000,0,0,0,3.1,2.3,3.1,2.3,2.3,3.5,3.1
1719487,2,1,3,2.5,2.8,2.8,2.5,2.5,3.3,2.8
1719376,2,2,4,2.3,3.0,2.3,3.0,2.3,3.6,3.0
1719329,1,2,3,2.7,2.75,2.75,2.7,2.7,3.2,2.75
1720093,1,1,2,3.25,2.25,3.25,2.25,2.25,3.4,3.25
1719548,1,2,3,2.07,3.5,3.5,2.07,2.07,3.5,3.5
1719508,1,0,1,3.0,2.3,3.0,2.3,2.3,3.6,3.0
1719289,0,3,3,2.1,3.4,3.4,2.1,2.1,3.6,3.4
1720016,2,1,3,2.62,2.7,2.7,2.62,2.62,3.3,2.7
1719815,0,2,2,2.8,2.5,2.8,2.5,2.5,3.3,2.8
1719893,2,1,3,2.25,3.1,3.1,2.25,2.25,3.5,3.1
1719825,0,0,0,2.4,3.0,2.4,3.0,3.0,3.3,2.4
1719914,0,4,4,2.3,2.9,2.3,2.9,2.3,3.6,2.9
1719708,3,0,3,2.9,2.45,2.45,2.9,2.9,3.3,2.45
1719802,4,0,4,2.62,2.7,2.62,2.7,2.62,3.4,2.7
1720082,1,1,2,3.25,2.25,3.25,2.25,2.25,3.4,3.25
1719555,2,1,3,3.2,2.2,2.2,3.2,3.2,3.6,2.2
1720222,2,1,3,2.7,2.62,2.62,2.7,2.7,3.3,2.62
1719960,4,0,4,2.15,3.25,2.15,3.25,2.15,3.6,3.25
1719581,0,0,0,2.62,2.7,2.62,2.7,2.7,3.3,2.62
1719417,1,2,3,2.6,2.62,2.62,2.6,2.6,3.5,2.62
1719739,0,1,1,2.5,2.75,2.5,2.75,2.75,3.5,2.5
1719922,1,1,2,2.5,2.75,2.5,2.75,2.75,3.5,2.5
1719598,0,0,0,3.1,2.4,3.1,2.4,2.4,3.25,3.1
1719541,1,2,3,2.2,3.5,3.5,2.2,2.2,3.25,3.5
1720219,1,1,2,2.05,3.5,2.05,3.5,3.5,3.6,2.05
1719921,1,1,2,2.3,3.1,2.3,3.1,3.1,3.4,2.3
1719473,0,2,2,3.75,2.0,3.75,2.0,2.0,3.5,3.75
1719634,2,2,4,2.62,2.55,2.62,2.55,2.62,3.6,2.55
1719890,1,0,1,2.35,3.0,2.35,3.0,3.0,3.5,2.35
1720159,1,2,3,2.35,3.25,3.25,2.35,2.35,3.1,3.25
1719885,2,1,3,2.2,3.2,3.2,2.2,2.2,3.6,3.2
1719868,0,1,1,3.0,2.45,3.0,2.45,2.45,3.2,3.0
1719764,2,2,4,2.25,3.1,2.25,3.1,2.25,3.5,3.1
1719341,3,0,3,2.3,3.0,3.0,2.3,2.3,3.5,3.0
1719312,0,1,1,3.1,2.35,3.1,2.35,2.35,3.3,3.1
1719627,0,1,1,3.3,2.1,3.3,2.1,2.1,3.6,3.3
1719594,1,2,3,1.86,4.2,4.2,1.86,1.86,3.6,4.2
