Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1720201,1,0,1,2.7,3.3,2.62
1720101,1,2,3,2.15,3.5,3.3
1720143,3,1,4,2.1,3.5,3.5
1719871,1,0,1,1.85,3.75,4.2
1720198,1,0,1,2.05,3.5,3.6
1719541,1,2,3,2.2,3.25,3.5
1719902,2,2,4,2.05,3.6,3.5
1719948,1,3,4,2.45,3.4,2.87
1719449,3,2,5,1.95,3.75,3.75
1720016,2,1,3,2.62,3.3,2.7
1719953,3,2,5,2.4,3.2,3.1
1719873,1,0,1,2.5,3.3,2.9
1719764,2,2,4,2.25,3.5,3.1
1719343,0,1,1,2.9,3.25,2.5
1719405,1,1,2,2.4,3.4,3.0
1719841,1,1,2,2.55,3.25,2.87
1719894,2,0,2,2.75,3.25,2.62
1720203,0,0,0,2.25,3.6,3.0
1719685,1,0,1,2.55,3.6,2.62
1719673,1,2,3,2.62,3.4,2.7
1719480,3,0,3,1.76,3.8,4.5
1719431,3,2,5,2.05,3.6,3.6
1719921,1,1,2,3.1,3.4,2.3
1719982,0,0,0,2.25,3.4,3.25
1719623,1,2,3,2.75,3.2,2.7
1719455,1,0,1,2.3,3.6,3.0
1719618,0,1,1,2.45,3.4,2.9
1720159,1,2,3,2.35,3.1,3.25
1719837,1,1,2,2.8,3.5,2.5
1719452,2,0,2,2.35,3.4,3.0
1719956,1,0,1,2.55,3.3,2.8
1719893,2,1,3,2.25,3.5,3.1
1719549,2,2,4,2.45,3.6,2.75
1719277,1,2,3,2.25,3.4,3.25
1720005,0,3,3,2.35,3.1,3.25
1719723,1,0,1,2.7,3.1,2.8
1719325,1,1,2,2.6,3.2,2.87
1719496,1,1,2,2.35,3.4,3.1
1719868,0,1,1,2.45,3.2,3.0
1720019,2,1,3,2.75,3.5,2.45
1719940,1,0,1,2.6,3.5,2.7
1719885,2,1,3,2.2,3.6,3.2
1719378,2,1,3,2.37,3.4,3.0
1720170,3,1,4,2.5,3.5,2.75
1720023,0,2,2,2.0,3.6,3.6
1719832,0,1,1,2.0,3.5,3.75
1719488,0,1,1,3.0,3.5,2.35
1720126,0,0,0,2.3,3.6,3.0
1719511,1,2,3,2.45,3.5,2.87
1719634,2,2,4,2.62,3.6,2.55
1720184,0,2,2,2.87,3.6,2.37
1719388,2,1,3,2.5,3.5,2.75
1719667,1,2,3,2.35,3.1,3.3
1720105,1,1,2,2.0,3.6,3.75
1719863,1,0,1,3.1,3.4,2.3
1719614,0,0,0,2.0,3.6,3.6
1720054,1,1,2,2.15,3.5,3.4
1719746,2,0,2,2.02,3.6,3.6
1719800,3,1,4,2.75,3.2,2.7
1719429,2,2,4,1.95,3.6,3.8
1719769,2,0,2,2.0,3.6,3.75
1719992,2,1,3,2.75,3.5,2.5
1720144,1,0,1,2.5,3.4,2.75
1719799,0,0,0,2.35,3.3,3.1
1719302,2,1,3,2.55,3.3,2.8
1719907,1,0,1,2.5,3.2,3.0
1719546,1,1,2,2.5,3.5,2.75
1719877,1,1,2,2.5,3.4,2.8
1719620,1,1,2,2.45,3.5,2.8
1719385,0,1,1,3.1,3.4,2.3
1719355,1,2,3,2.87,3.2,2.6
1720191,2,4,6,2.87,3.2,2.6
1719613,0,1,1,2.55,3.5,2.7
1720219,1,1,2,3.5,3.6,2.05
1719627,0,1,1,2.1,3.6,3.3
1719708,3,0,3,2.9,3.3,2.45
1720110,3,1,4,2.15,3.5,3.4
1719876,2,1,3,3.2,3.5,2.2
1719722,1,3,4,3.0,3.5,2.3
1719363,1,1,2,2.3,3.4,3.1
1719396,1,3,4,3.0,3.4,2.37
1719298,4,1,5,2.25,3.2,3.4
1719993,1,0,1,2.5,3.3,2.8
1719515,1,1,2,1.98,3.5,3.8
1719492,1,1,2,2.3,3.5,3.1
1720002,1,3,4,3.0,3.5,2.35
1719360,2,2,4,2.8,3.5,2.4
1719460,2,1,3,3.1,3.5,2.25
1720075,3,2,5,2.6,3.5,2.62
1719638,2,1,3,2.1,3.4,3.5
1719806,3,0,3,2.05,3.5,3.6
1719688,0,0,0,2.25,3.6,3.1
1719704,1,0,1,3.5,3.75,2.02
1719394,2,3,5,2.15,3.6,3.25
1719382,0,0,0,2.4,3.3,3.0
1719932,1,0,1,2.35,3.6,2.87
1719420,0,1,1,2.9,3.4,2.45
1719399,0,3,3,2.87,3.4,2.45
1719584,0,2,2,2.4,3.3,3.0
1719715,0,1,1,2.5,3.2,3.0
1719364,0,0,0,2.1,3.4,3.5
1719641,2,1,3,2.25,3.3,3.3
1720135,1,1,2,3.0,3.5,2.3
1720084,3,3,6,2.45,3.5,2.8
1719498,2,1,3,2.45,3.4,2.9
1719713,0,0,0,2.2,3.3,3.4
1719554,3,2,5,2.55,3.25,2.87
1720154,0,0,0,2.55,3.3,2.8
1719954,1,3,4,2.6,3.4,2.7
1719762,0,1,1,2.62,3.2,2.75
