OUTCOME,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5
2,2.15,3.25,2.15,3.25
2,3.8,1.95,3.8,1.95
0,3.1,2.35,3.1,2.35
2,2.25,3.3,3.3,2.25
2,2.7,2.75,2.7,2.75
0,3.3,2.1,3.3,2.1
2,2.62,2.75,2.62,2.75
2,3.1,2.35,3.1,2.35
1,2.7,2.75,2.7,2.75
0,2.7,2.75,2.75,2.7
0,3.6,2.0,3.6,2.0
1,3.1,2.4,3.1,2.4
0,3.25,2.25,2.25,3.25
1,3.1,2.25,3.1,2.25
2,2.25,3.3,3.3,2.25
2,2.9,2.35,2.9,2.35
0,2.5,2.8,2.8,2.5
2,3.6,2.05,3.6,2.05
1,2.0,3.75,2.0,3.75
1,2.9,2.55,2.9,2.55
1,2.62,2.55,2.62,2.55
1,2.62,2.7,2.62,2.7
2,3.1,2.4,3.1,2.4
1,2.5,2.8,2.5,2.8
1,2.2,3.5,2.2,3.5
2,3.1,2.2,3.1,2.2
2,1.72,4.75,1.72,4.75
2,2.15,3.4,2.15,3.4
2,3.0,2.3,2.3,3.0
1,2.2,3.2,2.2,3.2
0,2.8,2.5,2.5,2.8
0,3.8,1.93,1.93,3.8
2,3.4,2.1,3.4,2.1
2,2.5,2.9,2.5,2.9
2,2.87,2.4,2.4,2.87
2,2.87,2.6,2.87,2.6
0,2.87,2.6,2.87,2.6
1,2.8,2.45,2.8,2.45
2,2.6,2.62,2.62,2.6
0,3.0,2.4,3.0,2.4
1,3.75,2.07,3.75,2.07
1,2.2,3.2,2.2,3.2
1,3.1,2.4,3.1,2.4
2,2.55,2.8,2.55,2.8
2,2.6,2.7,2.7,2.6
2,2.7,2.55,2.55,2.7
1,3.0,2.25,3.0,2.25
1,2.62,2.7,2.62,2.7
2,2.5,2.7,2.7,2.5
0,3.2,2.3,3.2,2.3
2,2.87,2.45,2.45,2.87
0,2.7,2.8,2.7,2.8
0,2.1,3.4,3.4,2.1
1,2.75,2.62,2.75,2.62
1,3.4,2.15,3.4,2.15
2,3.0,2.3,3.0,2.3
0,4.0,1.9,4.0,1.9
0,2.3,3.1,2.3,3.1
0,3.3,2.2,3.3,2.2
2,2.3,3.1,2.3,3.1
0,2.25,3.25,3.25,2.25
0,2.3,3.1,2.3,3.1
0,2.15,3.3,2.15,3.3
2,2.62,2.75,2.62,2.75
1,2.6,2.87,2.6,2.87
2,3.4,2.15,3.4,2.15
0,3.6,2.0,3.6,2.0
1,3.6,1.98,3.6,1.98
2,2.1,3.5,2.1,3.5
1,1.95,3.8,1.95,3.8
0,2.7,2.6,2.6,2.7
2,2.3,3.0,3.0,2.3
0,2.75,2.62,2.75,2.62
0,2.2,3.4,3.4,2.2
2,2.6,2.62,2.6,2.62
0,2.45,2.9,2.45,2.9
1,3.0,2.3,3.0,2.3
2,1.83,4.33,4.33,1.83
2,3.5,2.05,3.5,2.05
0,2.75,2.7,2.7,2.75
0,3.5,2.1,3.5,2.1
2,4.0,1.98,4.0,1.98
2,2.37,3.1,3.1,2.37
1,2.3,3.0,2.3,3.0
2,4.0,1.95,4.0,1.95
2,2.25,3.2,3.2,2.25
2,1.95,3.8,3.8,1.95
2,3.4,2.15,3.4,2.15
2,2.87,2.6,2.6,2.87
0,2.45,2.87,2.87,2.45
2,2.6,2.7,2.7,2.6
2,2.1,3.5,2.1,3.5
1,2.9,2.37,2.9,2.37
1,2.3,3.1,2.3,3.1
2,4.2,1.85,4.2,1.85
2,2.75,2.45,2.75,2.45
2,2.55,2.87,2.55,2.87
0,2.7,2.55,2.55,2.7
2,2.8,2.55,2.55,2.8
0,2.7,2.6,2.6,2.7
2,2.6,2.7,2.6,2.7
0,2.5,2.8,2.5,2.8
0,2.07,3.75,3.75,2.07
1,2.9,2.45,2.9,2.45
0,3.0,2.4,3.0,2.4
0,2.5,2.75,2.75,2.5
1,2.3,3.1,2.3,3.1
2,2.3,3.1,2.3,3.1
1,2.8,2.5,2.8,2.5
1,3.0,2.3,3.0,2.3
