Id da partida,Campeonato,Data,Tempo,Time da casa,Time contra,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence,Placar Exato,Odd Placar Exato,Data das odds
1729138,Euro,2025-05-17,20:02,Romênia,Turquia,0,2,2,2.70,2.62,2.70,2.62,2.62,3.40,2.70,0-2,8.00,17-05-2025 16:37
1729143,Euro,2025-05-17,20:05,Países Baixos,República Tcheca,1,1,2,3.10,2.35,3.10,2.35,2.35,3.40,3.10,1-1,8.00,17-05-2025 16:37
1729151,Euro,2025-05-17,20:08,Bélgica,Albânia,2,0,2,3.40,2.20,3.40,2.20,2.20,3.30,3.40,2-0,9.00,17-05-2025 16:37
1729161,Euro,2025-05-17,20:11,Áustria,Geórgia,1,1,2,3.50,2.10,3.50,2.10,2.10,3.40,3.50,1-1,8.50,17-05-2025 16:37
1729165,Euro,2025-05-17,20:14,Turquia,Croácia,0,3,3,2.55,2.80,2.80,2.55,2.55,3.30,2.80,0-3,8.50,17-05-2025 16:37
1729173,Euro,2025-05-17,20:17,Romênia,Portugal,2,1,3,2.87,2.40,2.40,2.87,2.87,3.50,2.40,2-1,7.00,17-05-2025 16:37
1729180,Euro,2025-05-17,20:20,Áustria,Inglaterra,1,2,3,2.87,2.40,2.40,2.87,2.87,3.50,2.40,1-2,7.00,17-05-2025 16:37
1729187,Euro,2025-05-17,20:23,Alemanha,Turquia,1,1,2,3.30,2.20,3.30,2.20,2.20,3.40,3.30,1-1,8.00,17-05-2025 16:37
1729194,Euro,2025-05-17,20:26,Áustria,Países Baixos,2,2,4,2.50,2.75,2.50,2.75,2.50,3.50,2.75,2-2,7.00,17-05-2025 16:37
1729201,Euro,2025-05-17,20:29,Eslovênia,Hungria,0,1,1,2.90,2.55,2.90,2.55,2.55,3.20,2.90,0-1,10.00,17-05-2025 16:37
1729207,Euro,2025-05-17,20:32,Eslováquia,Países Baixos,1,1,2,2.40,2.87,2.40,2.87,2.87,3.50,2.40,1-1,7.00,17-05-2025 16:37
1729215,Euro,2025-05-17,20:35,Espanha,Bélgica,2,0,2,2.87,2.37,2.87,2.37,2.37,3.60,2.87,2-0,6.50,17-05-2025 16:37
1728998,Euro,2025-05-17,19:02,Albânia,Ucrânia,1,1,2,3.00,2.45,3.00,2.45,2.45,3.20,3.00,1-1,10.00,17-05-2025 16:37
1729005,Euro,2025-05-17,19:05,Polônia,Suíça,2,1,3,2.60,2.70,2.70,2.60,2.60,3.40,2.70,2-1,8.00,17-05-2025 16:37
1729012,Euro,2025-05-17,19:08,Espanha,Hungria,1,0,1,3.25,2.20,3.25,2.20,2.20,3.50,3.25,1-0,7.50,17-05-2025 16:37
1729019,Euro,2025-05-17,19:11,Romênia,Eslovênia,2,2,4,2.50,2.90,2.50,2.90,2.50,3.30,2.90,2-2,9.00,17-05-2025 16:37
1729026,Euro,2025-05-17,19:14,Portugal,Turquia,2,0,2,3.25,2.25,3.25,2.25,2.25,3.40,3.25,2-0,8.50,17-05-2025 16:37
1729032,Euro,2025-05-17,19:17,Ucrânia,Croácia,1,1,2,2.60,2.70,2.60,2.70,2.70,3.40,2.60,1-1,7.50,17-05-2025 16:37
1729039,Euro,2025-05-17,19:20,República Tcheca,Dinamarca,3,0,3,2.70,2.75,2.75,2.70,2.70,3.20,2.75,3-0,10.00,17-05-2025 16:37
1729046,Euro,2025-05-17,19:23,Espanha,Itália,2,1,3,2.37,2.90,2.90,2.37,2.37,3.50,2.90,2-1,7.00,17-05-2025 16:37
1729054,Euro,2025-05-17,19:26,Dinamarca,Croácia,0,0,0,2.87,2.45,2.87,2.45,2.45,3.40,2.87,0-0,8.00,17-05-2025 16:37
1729061,Euro,2025-05-17,19:29,França,Bélgica,0,3,3,2.25,3.10,3.10,2.25,2.25,3.60,3.10,0-3,6.50,17-05-2025 16:37
1729068,Euro,2025-05-17,19:32,Polônia,Romênia,1,1,2,2.90,2.45,2.90,2.45,2.45,3.40,2.90,1-1,8.00,17-05-2025 16:37
1729074,Euro,2025-05-17,19:35,Turquia,República Tcheca,0,1,1,3.10,2.40,3.10,2.40,2.40,3.20,3.10,0-1,10.00,17-05-2025 16:37
1729082,Euro,2025-05-17,19:38,Sérvia,Alemanha,0,3,3,2.80,2.50,2.50,2.80,2.80,3.40,2.50,0-3,8.00,17-05-2025 16:37
1729088,Euro,2025-05-17,19:41,Dinamarca,Polônia,3,1,4,2.25,3.30,2.25,3.30,2.25,3.30,3.30,3-1,9.00,17-05-2025 16:37
1729096,Euro,2025-05-17,19:44,Eslovênia,Portugal,0,1,1,2.50,2.90,2.50,2.90,2.90,3.25,2.50,0-1,9.00,17-05-2025 16:37
1729103,Euro,2025-05-17,19:47,Geórgia,Hungria,1,0,1,2.55,2.80,2.55,2.80,2.80,3.30,2.55,1-0,8.50,17-05-2025 16:37
1729110,Euro,2025-05-17,19:50,Áustria,Alemanha,1,3,4,2.80,2.50,2.80,2.50,2.80,3.50,2.50,1-3,7.50,17-05-2025 16:37
1729115,Euro,2025-05-17,19:53,Sérvia,Suíça,1,0,1,2.90,2.45,2.90,2.45,2.45,3.40,2.90,1-0,8.00,17-05-2025 16:37
1729124,Euro,2025-05-17,19:56,Espanha,França,0,0,0,2.60,2.60,2.60,2.60,2.60,3.60,2.60,0-0,6.00,17-05-2025 16:37
1729131,Euro,2025-05-17,19:59,Países Baixos,Suíça,0,0,0,2.87,2.35,2.87,2.35,2.35,3.60,2.87,0-0,6.50,17-05-2025 16:37
1728858,Euro,2025-05-17,18:02,Turquia,França,0,2,2,2.45,2.90,2.45,2.90,2.90,3.40,2.45,0-2,7.50,17-05-2025 16:37
1728865,Euro,2025-05-17,18:05,Croácia,Espanha,1,0,1,2.62,2.60,2.62,2.60,2.60,3.50,2.62,1-0,6.50,17-05-2025 16:37
1728872,Euro,2025-05-17,18:08,República Tcheca,Itália,2,2,4,2.75,2.62,2.75,2.62,2.75,3.25,2.62,2-2,9.00,17-05-2025 16:37
1728877,Euro,2025-05-17,18:11,Escócia,Romênia,1,0,1,2.90,2.35,2.90,2.35,2.35,3.50,2.90,1-0,7.00,17-05-2025 16:37
1728884,Euro,2025-05-17,18:14,Hungria,Suíça,1,0,1,2.75,2.50,2.75,2.50,2.50,3.40,2.75,1-0,7.50,17-05-2025 16:37
1728893,Euro,2025-05-17,18:17,Inglaterra,Polônia,3,2,5,2.02,3.75,2.02,3.75,2.02,3.50,3.75,3-2,8.00,17-05-2025 16:37
1728900,Euro,2025-05-17,18:20,Croácia,Eslováquia,1,0,1,3.50,2.10,3.50,2.10,2.10,3.50,3.50,1-0,7.50,17-05-2025 16:37
1728907,Euro,2025-05-17,18:23,Países Baixos,Romênia,1,1,2,3.10,2.25,3.10,2.25,2.25,3.60,3.10,1-1,6.50,17-05-2025 16:37
1728914,Euro,2025-05-17,18:26,Inglaterra,Itália,2,2,4,2.25,3.10,2.25,3.10,2.25,3.50,3.10,2-2,7.00,17-05-2025 16:37
1728921,Euro,2025-05-17,18:29,Alemanha,Romênia,0,0,0,3.50,2.05,3.50,2.05,2.05,3.60,3.50,0-0,6.50,17-05-2025 16:37
1728928,Euro,2025-05-17,18:32,Geórgia,Países Baixos,1,2,3,3.00,2.35,2.35,3.00,3.00,3.50,2.35,1-2,7.00,17-05-2025 16:37
1728934,Euro,2025-05-17,18:35,Croácia,Áustria,3,2,5,2.37,3.00,2.37,3.00,2.37,3.40,3.00,3-2,7.50,17-05-2025 16:37
1728942,Euro,2025-05-17,18:38,República Tcheca,Sérvia,1,2,3,2.60,2.87,2.87,2.60,2.60,3.20,2.87,1-2,10.00,17-05-2025 16:37
1728948,Euro,2025-05-17,18:41,Áustria,Turquia,0,0,0,2.90,2.50,2.90,2.50,2.50,3.30,2.90,0-0,9.00,17-05-2025 16:37
