Id da partida,Gols time casa,Gols time contra,Gols totais,Odd Over 2.5,Odd Under 2.5,Odd Over 3.5,Odd Under 3.5,Odd Casa Vence,Odd Empate,Odd Visitante Vence
1719662,1,1,2,3.1,2.4,3.1,2.4,2.4,3.2,3.1
1719584,0,2,2,3.0,2.4,3.0,2.4,2.4,3.3,3.0
1719594,1,2,3,1.86,4.2,4.2,1.86,1.86,3.6,4.2
1719549,2,2,4,2.45,2.75,2.45,2.75,2.45,3.6,2.75
1719577,1,0,1,3.1,2.4,3.1,2.4,2.4,3.2,3.1
1719571,1,0,1,2.87,2.6,2.87,2.6,2.6,3.2,2.87
1719669,1,1,2,2.45,2.9,2.45,2.9,2.9,3.3,2.45
1719614,0,0,0,3.6,2.0,3.6,2.0,2.0,3.6,3.6
1719638,2,1,3,2.1,3.5,3.5,2.1,2.1,3.4,3.5
1719542,1,1,2,3.75,2.0,3.75,2.0,2.0,3.6,3.75
1719677,1,2,3,2.15,3.5,3.5,2.15,2.15,3.4,3.5
1719592,0,3,3,3.1,2.3,2.3,3.1,3.1,3.4,2.3
1719623,1,2,3,2.75,2.7,2.7,2.75,2.75,3.2,2.7
1719541,1,2,3,2.2,3.5,3.5,2.2,2.2,3.25,3.5
1719560,3,0,3,2.5,2.7,2.7,2.5,2.5,3.6,2.7
1719605,1,1,2,2.9,2.5,2.9,2.5,2.5,3.3,2.9
