CAMPEONATO,HORA,COLUNA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,RESULTADO,GALE
COPA,9,19,BTTS,0.69,BAIXA,R$5.00,,
COPA,9,37,BTTS,0.61,BAIXA,R$5.00,,
COPA,9,43,BTTS,0.65,BAIXA,R$5.00,,
COPA,10,10,BTTS,0.68,BAIXA,R$5.00,,
COPA,10,43,BTTS,0.64,BAIXA,R$5.00,,
COPA,11,1,BTTS,0.66,BAIXA,R$5.00,,
COPA,11,10,BTTS,0.66,BAIXA,R$5.00,,
COPA,11,46,BTTS,0.59,BAIXA,R$5.00,,
EURO,9,23,BTTS,0.65,BAIXA,R$5.00,,
EURO,10,38,BTTS,0.6,BAIXA,R$5.00,,
EURO,11,23,BTTS,0.63,BAIXA,R$5.00,,
EURO,11,38,BTTS,0.61,BAIXA,R$5.00,,
EURO,11,47,BTTS,0.68,BAIXA,R$5.00,,
PREMIER,9,24,BTTS,0.63,BAIXA,R$5.00,,
PREMIER,9,45,BTTS,0.67,BAIXA,R$5.00,,
PREMIER,9,51,BTTS,0.65,BAIXA,R$5.00,,
PREMIER,10,39,BTTS,0.62,BAIXA,R$5.00,,
PREMIER,11,15,BTTS,0.63,BAIXA,R$5.00,,
PREMIER,11,21,BTTS,0.62,BAIXA,R$5.00,,
PREMIER,11,27,BTTS,0.64,BAIXA,R$5.00,,
SUPER,9,1,BTTS,0.65,BAIXA,R$5.00,,
SUPER,9,25,BTTS,0.62,BAIXA,R$5.00,,
SUPER,9,52,BTTS,0.63,BAIXA,R$5.00,,
SUPER,10,1,BTTS,0.62,BAIXA,R$5.00,,
SUPER,10,49,BTTS,0.65,BAIXA,R$5.00,,
SUPER,10,52,BTTS,0.61,BAIXA,R$5.00,,
SUPER,11,40,BTTS,0.59,BAIXA,R$5.00,,
SUPER,11,49,BTTS,0.6,BAIXA,R$5.00,,
