HORA,CAMPEONATO,COLUNA,MERCADO,PROBABILIDADE,CONFIANÇA,STAKE,RESULTADO,GALE
8,SUPER 52,52,BTTS,0.71,MÉDIA,R$10.00,,
8,EURO 5,5,BTTS,0.68,BAIXA,R$5.00,,
8,EURO 47,47,BTTS,0.68,BAIXA,R$5.00,,
8,PREMIER 9,9,BTTS,0.67,BAIXA,R$5.00,,
8,EURO 44,44,BTTS,0.66,BAIXA,R$5.00,,
8,COPA 43,43,BTTS,0.64,BAIXA,R$5.00,,
8,COPA 16,16,BTTS,0.64,BAIXA,R$5.00,,
8,SUPER 58,58,BTTS,0.64,BAIXA,R$5.00,,
8,COPA 7,7,BTTS,0.63,BAIXA,R$5.00,,
8,SUPER 10,10,BTTS,0.63,BAIXA,R$5.00,,
8,PREMIER 18,18,BTTS,0.62,BAIXA,R$5.00,,
9,EURO 17,17,BTTS,0.73,MÉDIA,R$10.00,,
9,COPA 16,16,BTTS,0.69,BAIXA,R$5.00,,
9,COPA 31,31,BTTS,0.69,BAIXA,R$5.00,,
9,SUPER 49,49,BTTS,0.68,BAIXA,R$5.00,,
9,COPA 55,55,BTTS,0.67,BAIXA,R$5.00,,
9,SUPER 55,55,BTTS,0.67,BAIXA,R$5.00,,
9,PREMIER 39,39,BTTS,0.67,BAIXA,R$5.00,,
9,SUPER 25,25,BTTS,0.65,BAIXA,R$5.00,,
9,PREMIER 48,48,BTTS,0.65,BAIXA,R$5.00,,
9,EURO 38,38,BTTS,0.64,BAIXA,R$5.00,,
9,PREMIER 30,30,BTTS,0.63,BAIXA,R$5.00,,
9,EURO 5,5,BTTS,0.62,BAIXA,R$5.00,,
10,SUPER 1,1,BTTS,0.68,BAIXA,R$5.00,,
10,COPA 40,40,BTTS,0.67,BAIXA,R$5.00,,
10,EURO 11,11,BTTS,0.66,BAIXA,R$5.00,,
10,PREMIER 0,0,BTTS,0.66,BAIXA,R$5.00,,
10,COPA 49,49,BTTS,0.65,BAIXA,R$5.00,,
10,PREMIER 33,33,BTTS,0.65,BAIXA,R$5.00,,
10,EURO 2,2,BTTS,0.64,BAIXA,R$5.00,,
10,SUPER 46,46,BTTS,0.64,BAIXA,R$5.00,,
10,PREMIER 3,3,BTTS,0.61,BAIXA,R$5.00,,
10,EURO 50,50,BTTS,0.58,BAIXA,R$5.00,,
10,SUPER 10,10,BTTS,0.58,BAIXA,R$5.00,,
10,COPA 1,1,BTTS,0.57,BAIXA,R$5.00,,
