CAMPEONATO,COLUNA,HORA_INICIO,TIPO,FORCA
PREMIER,0,7,triangular_descendente,0.8
PREMIER,3,7,triangular_descendente,0.8
PREMIER,6,7,triangular_descendente,0.8
PREMIER,9,7,triangular_descendente,0.8
PREMIER,12,7,triangular_descendente,0.8
PREMIER,15,7,triangular_ascendente,0.85
PREMIER,21,7,triangular_descendente,0.8
PREMIER,27,7,triangular_ascendente,0.85
PREMIER,39,7,triangular_descendente,0.8
PREMIER,51,7,triangular_ascendente,0.85
PREMIER,0,8,triangular_descendente,0.8
PREMIER,3,8,triangular_descendente,0.8
PREMIER,6,8,triangular_descendente,0.8
PREMIER,12,8,triangular_descendente,0.8
PREMIER,15,8,triangular_ascendente,0.85
PREMIER,24,8,triangular_ascendente,0.85
PREMIER,27,8,triangular_ascendente,0.85
PREMIER,33,8,triangular_ascendente,0.85
PREMIER,39,8,triangular_descendente,0.8
PREMIER,51,8,triangular_ascendente,0.85
PREMIER,0,9,triangular_descendente,0.8
PREMIER,3,9,triangular_descendente,0.8
PREMIER,6,9,triangular_descendente,0.8
PREMIER,12,9,triangular_descendente,0.8
PREMIER,15,9,triangular_ascendente,0.85
PREMIER,18,9,triangular_ascendente,0.85
PREMIER,24,9,triangular_ascendente,0.85
PREMIER,27,9,triangular_ascendente,0.85
PREMIER,33,9,triangular_ascendente,0.85
PREMIER,39,9,triangular_descendente,0.8
PREMIER,45,9,triangular_ascendente,0.85
PREMIER,48,9,triangular_ascendente,0.85
PREMIER,51,9,triangular_ascendente,0.85
PREMIER,0,10,triangular_descendente,0.8
PREMIER,6,10,triangular_descendente,0.8
PREMIER,12,10,triangular_descendente,0.8
PREMIER,15,10,triangular_ascendente,0.85
PREMIER,18,10,triangular_ascendente,0.85
PREMIER,39,10,triangular_descendente,0.8
PREMIER,54,10,triangular_descendente,0.8
PREMIER,57,10,triangular_descendente,0.8
PREMIER,0,7,retangular_consistente,0.9
PREMIER,3,7,retangular_consistente,0.9
PREMIER,6,7,retangular_consistente,0.9
PREMIER,12,7,retangular_consistente,0.9
PREMIER,15,7,retangular_consistente,0.9
PREMIER,27,7,retangular_consistente,0.9
PREMIER,30,7,retangular_alternado,0.75
PREMIER,39,7,retangular_consistente,0.9
PREMIER,42,7,retangular_alternado,0.75
PREMIER,51,7,retangular_consistente,0.9
PREMIER,0,8,retangular_consistente,0.9
PREMIER,3,8,retangular_consistente,0.9
PREMIER,6,8,retangular_consistente,0.9
PREMIER,12,8,retangular_consistente,0.9
PREMIER,15,8,retangular_consistente,0.9
PREMIER,24,8,retangular_consistente,0.9
PREMIER,27,8,retangular_consistente,0.9
PREMIER,33,8,retangular_consistente,0.9
PREMIER,39,8,retangular_consistente,0.9
PREMIER,42,8,retangular_alternado,0.75
PREMIER,51,8,retangular_consistente,0.9
PREMIER,0,9,retangular_consistente,0.9
PREMIER,6,9,retangular_consistente,0.9
PREMIER,9,9,retangular_alternado,0.75
PREMIER,12,9,retangular_consistente,0.9
PREMIER,15,9,retangular_consistente,0.9
PREMIER,18,9,retangular_consistente,0.9
PREMIER,39,9,retangular_consistente,0.9
PREMIER,42,9,retangular_alternado,0.75
PREMIER,0-6,7,diagonal_descendente,0.65
PREMIER,3-9,7,diagonal_descendente,0.65
PREMIER,6-12,7,diagonal_descendente,0.65
PREMIER,27-33,7,diagonal_ascendente,0.7
PREMIER,33-39,7,diagonal_descendente,0.65
PREMIER,48-54,7,diagonal_ascendente,0.7
PREMIER,51-57,7,diagonal_ascendente,0.7
PREMIER,0-6,8,diagonal_descendente,0.65
PREMIER,6-12,8,diagonal_descendente,0.65
PREMIER,15-21,8,diagonal_ascendente,0.7
PREMIER,24-30,8,diagonal_ascendente,0.7
PREMIER,30-36,8,diagonal_ascendente,0.7
PREMIER,36-42,8,diagonal_descendente,0.65
PREMIER,0-6,9,diagonal_descendente,0.65
PREMIER,3-9,9,diagonal_descendente,0.65
PREMIER,15-21,9,diagonal_ascendente,0.7
PREMIER,18-24,9,diagonal_ascendente,0.7
PREMIER,24-30,9,diagonal_ascendente,0.7
PREMIER,27-33,9,diagonal_ascendente,0.7
PREMIER,42-48,9,diagonal_ascendente,0.7
PREMIER,45-51,9,diagonal_ascendente,0.7
PREMIER,0-6,10,diagonal_descendente,0.65
PREMIER,6-12,10,diagonal_descendente,0.65
COPA,1,7,triangular_descendente,0.8
COPA,4,7,triangular_ascendente,0.85
COPA,19,7,triangular_ascendente,0.85
COPA,22,7,triangular_descendente,0.8
COPA,25,7,triangular_ascendente,0.85
COPA,28,7,triangular_ascendente,0.85
COPA,52,7,triangular_ascendente,0.85
COPA,55,7,triangular_descendente,0.8
COPA,1,8,triangular_descendente,0.8
COPA,4,8,triangular_ascendente,0.85
COPA,7,8,triangular_ascendente,0.85
COPA,13,8,triangular_ascendente,0.85
COPA,19,8,triangular_ascendente,0.85
COPA,25,8,triangular_ascendente,0.85
COPA,28,8,triangular_ascendente,0.85
COPA,34,8,triangular_ascendente,0.85
COPA,40,8,triangular_ascendente,0.85
COPA,52,8,triangular_ascendente,0.85
COPA,55,8,triangular_descendente,0.8
COPA,1,9,triangular_descendente,0.8
COPA,4,9,triangular_ascendente,0.85
COPA,7,9,triangular_ascendente,0.85
COPA,10,9,triangular_descendente,0.8
COPA,13,9,triangular_ascendente,0.85
COPA,16,9,triangular_ascendente,0.85
COPA,19,9,triangular_ascendente,0.85
COPA,25,9,triangular_ascendente,0.85
COPA,28,9,triangular_ascendente,0.85
COPA,31,9,triangular_ascendente,0.85
COPA,40,9,triangular_ascendente,0.85
COPA,43,9,triangular_ascendente,0.85
COPA,52,9,triangular_ascendente,0.85
COPA,4,10,triangular_ascendente,0.85
COPA,13,10,triangular_ascendente,0.85
COPA,16,10,triangular_ascendente,0.85
COPA,1,7,retangular_consistente,0.9
COPA,4,7,retangular_consistente,0.9
COPA,19,7,retangular_consistente,0.9
COPA,25,7,retangular_consistente,0.9
COPA,28,7,retangular_consistente,0.9
COPA,52,7,retangular_consistente,0.9
COPA,55,7,retangular_consistente,0.9
COPA,1,8,retangular_consistente,0.9
COPA,4,8,retangular_consistente,0.9
COPA,7,8,retangular_consistente,0.9
COPA,13,8,retangular_consistente,0.9
COPA,19,8,retangular_consistente,0.9
COPA,25,8,retangular_consistente,0.9
COPA,28,8,retangular_consistente,0.9
COPA,40,8,retangular_consistente,0.9
COPA,52,8,retangular_consistente,0.9
COPA,4,9,retangular_consistente,0.9
COPA,13,9,retangular_consistente,0.9
COPA,16,9,retangular_consistente,0.9
COPA,37,9,retangular_alternado,0.75
COPA,49,9,retangular_alternado,0.75
COPA,25-31,7,diagonal_ascendente,0.7
COPA,40-46,7,diagonal_descendente,0.65
COPA,46-52,7,diagonal_ascendente,0.7
COPA,10-16,8,diagonal_ascendente,0.7
COPA,13-19,8,diagonal_ascendente,0.7
COPA,25-31,8,diagonal_ascendente,0.7
COPA,28-34,8,diagonal_ascendente,0.7
COPA,34-40,8,diagonal_ascendente,0.7
COPA,37-43,8,diagonal_ascendente,0.7
COPA,40-46,8,diagonal_ascendente,0.7
COPA,43-49,8,diagonal_descendente,0.65
COPA,13-19,9,diagonal_ascendente,0.7
COPA,16-22,9,diagonal_ascendente,0.7
COPA,19-25,9,diagonal_ascendente,0.7
COPA,25-31,9,diagonal_ascendente,0.7
COPA,31-37,9,diagonal_ascendente,0.7
COPA,37-43,9,diagonal_ascendente,0.7
COPA,40-46,9,diagonal_ascendente,0.7
COPA,43-49,9,diagonal_ascendente,0.7
COPA,49-55,9,diagonal_ascendente,0.7
COPA,4-10,10,diagonal_ascendente,0.7
SUPER,4,7,triangular_ascendente,0.85
SUPER,10,7,triangular_ascendente,0.85
SUPER,19,7,triangular_ascendente,0.85
SUPER,22,7,triangular_ascendente,0.85
SUPER,25,7,triangular_ascendente,0.85
SUPER,28,7,triangular_ascendente,0.85
