PADRÕES GEOMÉTRICOS IDENTIFICADOS
================================

1. TRIÂNGULOS
--------------
Triângulo 1: Cor vermelho, Posição (115, 15), Tamanho (3, 2)
Triângulo 2: Cor verde, Posição (3, 14), Tamanho (2, 4)
Triângulo 3: Cor verde, Posição (11, 1), Tamanho (4, 3)
Triângulo 4: Cor verde, Posição (11, 15), Tamanho (4, 3)
Triângulo 5: Cor verde, Posição (12, 5), Tamanho (4, 3)
Triângulo 6: Cor verde, Posição (12, 11), Tamanho (4, 3)
Triângulo 7: Cor verde, Posição (13, 9), Tamanho (5, 2)
Triângulo 8: Cor verde, Posição (16, 3), Tamanho (4, 2)
Triângulo 9: Cor verde, Posição (17, 6), Tamanho (4, 3)
Triângulo 10: Cor verde, Posição (17, 12), Tamanho (4, 5)
Triângulo 11: Cor verde, Posição (20, 6), Tamanho (6, 8)
Triângulo 12: Cor verde, Posição (22, 1), Tamanho (5, 4)
Triângulo 13: Cor verde, Posição (22, 12), Tamanho (12, 7)
Triângulo 14: Cor verde, Posição (29, 8), Tamanho (2, 3)
Triângulo 15: Cor verde, Posição (34, 2), Tamanho (11, 9)
Triângulo 16: Cor verde, Posição (37, 11), Tamanho (5, 4)
Triângulo 17: Cor verde, Posição (39, 15), Tamanho (4, 3)
Triângulo 18: Cor verde, Posição (45, 13), Tamanho (4, 5)
Triângulo 19: Cor verde, Posição (49, 11), Tamanho (6, 7)
Triângulo 20: Cor verde, Posição (55, 7), Tamanho (3, 4)
Triângulo 21: Cor verde, Posição (56, 14), Tamanho (2, 3)
Triângulo 22: Cor verde, Posição (58, 1), Tamanho (7, 8)
Triângulo 23: Cor verde, Posição (59, 14), Tamanho (3, 4)
Triângulo 24: Cor verde, Posição (63, 10), Tamanho (3, 5)
Triângulo 25: Cor verde, Posição (67, 1), Tamanho (6, 5)
Triângulo 26: Cor verde, Posição (67, 15), Tamanho (5, 3)
Triângulo 27: Cor verde, Posição (70, 6), Tamanho (2, 4)
Triângulo 28: Cor verde, Posição (74, 15), Tamanho (6, 4)
Triângulo 29: Cor verde, Posição (75, 5), Tamanho (3, 2)
Triângulo 30: Cor verde, Posição (77, 7), Tamanho (2, 5)
Triângulo 31: Cor verde, Posição (81, 1), Tamanho (15, 7)
Triângulo 32: Cor verde, Posição (83, 7), Tamanho (7, 11)
Triângulo 33: Cor verde, Posição (90, 8), Tamanho (3, 4)
Triângulo 34: Cor verde, Posição (92, 4), Tamanho (7, 6)
Triângulo 35: Cor verde, Posição (94, 11), Tamanho (2, 3)
Triângulo 36: Cor verde, Posição (98, 1), Tamanho (5, 3)
