CAMPEONATO,HORA,MERCADO,PROBABILIDADE,CONFIANÇA,STAKE,RESULTADO,GALE,NOME_CAMPEONATO,FAIXA_PROB,LUCRO_PREJUIZO,SALDO_ACUMULADO
COPA 19,9,BTTS,0.69,BAIXA,5.0,ACERTO,1,COPA,0.65-0.70,5.0,1005.0
PREMIER 45,9,BTTS,0.67,BAIXA,5.0,ACERTO,0,PREMIER,0.65-0.70,5.0,1010.0
COPA 43,9,BTTS,0.65,BAIXA,5.0,ACERTO,1,COPA,0.60-0.65,5.0,1015.0
EURO 23,9,BTTS,0.65,BAIXA,5.0,ACERTO,0,EURO,0.60-0.65,5.0,1020.0
SUPER 1,9,BTTS,0.65,BAIXA,5.0,ACERTO,0,SUPER,0.60-0.65,5.0,1025.0
PREMIER 51,9,BTTS,0.65,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,1030.0
SUPER 52,9,BTTS,0.63,BAIXA,5.0,ACERTO,0,SUPER,0.60-0.65,5.0,1035.0
PREMIER 24,9,BTTS,0.63,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,1040.0
SUPER 25,9,BTTS,0.62,BAIXA,5.0,ACERTO,0,SUPER,0.60-0.65,5.0,1045.0
COPA 37,9,BTTS,0.61,BAIXA,5.0,ACERTO,0,COPA,0.60-0.65,5.0,1050.0
COPA 10,10,BTTS,0.68,BAIXA,5.0,ACERTO,0,COPA,0.65-0.70,5.0,1055.0
SUPER 49,10,BTTS,0.65,BAIXA,5.0,ACERTO,1,SUPER,0.60-0.65,5.0,1060.0
COPA 43,10,BTTS,0.64,BAIXA,5.0,ACERTO,0,COPA,0.60-0.65,5.0,1065.0
SUPER 1,10,BTTS,0.62,BAIXA,5.0,ACERTO,0,SUPER,0.60-0.65,5.0,1070.0
PREMIER 39,10,BTTS,0.62,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,1075.0
SUPER 52,10,BTTS,0.61,BAIXA,5.0,ACERTO,0,SUPER,0.60-0.65,5.0,1080.0
EURO 38,10,BTTS,0.6,BAIXA,5.0,ACERTO,1,EURO,0.55-0.60,5.0,1085.0
EURO 2,10,BTTS,0.6,BAIXA,5.0,ERRO,0,EURO,0.55-0.60,-35.0,1050.0
PREMIER 54,10,BTTS,0.6,BAIXA,5.0,ERRO,0,PREMIER,0.55-0.60,-35.0,1015.0
COPA 16,10,BTTS,0.59,BAIXA,5.0,ERRO,0,COPA,0.55-0.60,-35.0,980.0
PREMIER 45,10,BTTS,0.59,BAIXA,5.0,ACERTO,2,PREMIER,0.55-0.60,5.0,985.0
EURO 32,10,BTTS,0.56,BAIXA,5.0,ERRO,0,EURO,0.55-0.60,-35.0,950.0
EURO 47,11,BTTS,0.68,BAIXA,5.0,ACERTO,0,EURO,0.65-0.70,5.0,955.0
COPA 10,11,BTTS,0.66,BAIXA,5.0,ACERTO,0,COPA,0.65-0.70,5.0,960.0
COPA 1,11,BTTS,0.66,BAIXA,5.0,ACERTO,0,COPA,0.65-0.70,5.0,965.0
PREMIER 27,11,BTTS,0.64,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,970.0
EURO 23,11,BTTS,0.63,BAIXA,5.0,ERRO,0,EURO,0.60-0.65,-35.0,935.0
PREMIER 15,11,BTTS,0.63,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,940.0
PREMIER 21,11,BTTS,0.62,BAIXA,5.0,ACERTO,0,PREMIER,0.60-0.65,5.0,945.0
EURO 38,11,BTTS,0.61,BAIXA,5.0,ACERTO,0,EURO,0.60-0.65,5.0,950.0
SUPER 49,11,BTTS,0.6,BAIXA,5.0,ERRO,0,SUPER,0.55-0.60,-35.0,915.0
COPA 46,11,BTTS,0.59,BAIXA,5.0,ACERTO,0,COPA,0.55-0.60,5.0,920.0
SUPER 40,11,BTTS,0.59,BAIXA,5.0,ACERTO,0,SUPER,0.55-0.60,5.0,925.0
