HORA,DIA,CAMPEONATO,COLUNA,RESULTADO
0,0,PREMIER,0,0
0,0,PREMIER,3,0
0,0,PREMIER,6,1
0,0,PREMIER,9,1
0,0,PREMIER,12,1
0,0,PREMIER,15,0
0,0,PREMIER,18,0
0,0,PREMIER,21,1
0,0,PREMIER,24,0
0,0,PREMIER,27,0
0,0,PREMIER,30,0
0,0,PREMIER,33,1
0,0,PREMIER,36,0
0,0,PREMIER,39,0
0,0,PREMIER,42,0
0,0,PREMIER,45,0
0,0,PREMIER,48,1
0,0,PREMIER,51,0
0,0,PREMIER,54,1
0,0,PREMIER,57,1
1,0,PREMIER,0,1
1,0,PREMIER,3,1
1,0,PREMIER,6,0
1,0,PREMIER,9,1
1,0,PREMIER,12,1
1,0,PREMIER,15,0
1,0,PREMIER,18,1
1,0,PREMIER,21,1
1,0,PREMIER,24,0
1,0,PREMIER,27,1
1,0,PREMIER,30,0
1,0,PREMIER,33,1
1,0,PREMIER,36,0
1,0,PREMIER,39,0
1,0,PREMIER,42,1
1,0,PREMIER,45,0
1,0,PREMIER,48,0
1,0,PREMIER,51,1
1,0,PREMIER,54,1
1,0,PREMIER,57,0
2,0,PREMIER,0,0
2,0,PREMIER,3,0
2,0,PREMIER,6,0
2,0,PREMIER,9,0
2,0,PREMIER,12,0
2,0,PREMIER,15,0
2,0,PREMIER,18,1
2,0,PREMIER,21,1
2,0,PREMIER,24,0
2,0,PREMIER,27,0
2,0,PREMIER,30,0
2,0,PREMIER,33,0
2,0,PREMIER,36,0
2,0,PREMIER,39,0
2,0,PREMIER,42,0
2,0,PREMIER,45,0
2,0,PREMIER,48,0
2,0,PREMIER,51,0
2,0,PREMIER,54,1
2,0,PREMIER,57,0
3,0,PREMIER,0,0
3,0,PREMIER,3,0
3,0,PREMIER,6,0
3,0,PREMIER,9,0
3,0,PREMIER,12,1
3,0,PREMIER,15,1
3,0,PREMIER,18,0
3,0,PREMIER,21,1
3,0,PREMIER,24,0
3,0,PREMIER,27,1
3,0,PREMIER,30,1
3,0,PREMIER,33,0
3,0,PREMIER,36,0
3,0,PREMIER,39,0
3,0,PREMIER,42,0
3,0,PREMIER,45,1
3,0,PREMIER,48,0
3,0,PREMIER,51,1
3,0,PREMIER,54,0
3,0,PREMIER,57,0
4,0,PREMIER,0,1
4,0,PREMIER,3,1
4,0,PREMIER,6,1
4,0,PREMIER,9,1
4,0,PREMIER,12,1
4,0,PREMIER,15,0
4,0,PREMIER,18,0
4,0,PREMIER,21,1
4,0,PREMIER,24,1
4,0,PREMIER,27,1
4,0,PREMIER,30,0
4,0,PREMIER,33,1
4,0,PREMIER,36,0
4,0,PREMIER,39,0
4,0,PREMIER,42,0
4,0,PREMIER,45,1
4,0,PREMIER,48,0
4,0,PREMIER,51,1
4,0,PREMIER,54,0
4,0,PREMIER,57,0
5,0,PREMIER,0,0
5,0,PREMIER,3,0
5,0,PREMIER,6,0
5,0,PREMIER,9,0
5,0,PREMIER,12,1
5,0,PREMIER,15,1
5,0,PREMIER,18,0
5,0,PREMIER,21,0
5,0,PREMIER,24,0
5,0,PREMIER,27,1
5,0,PREMIER,30,1
5,0,PREMIER,33,1
5,0,PREMIER,36,1
5,0,PREMIER,39,0
5,0,PREMIER,42,1
5,0,PREMIER,45,0
5,0,PREMIER,48,0
5,0,PREMIER,51,0
5,0,PREMIER,54,0
5,0,PREMIER,57,0
6,0,PREMIER,0,0
6,0,PREMIER,3,1
6,0,PREMIER,6,1
6,0,PREMIER,9,1
6,0,PREMIER,12,1
6,0,PREMIER,15,1
6,0,PREMIER,18,0
6,0,PREMIER,21,1
6,0,PREMIER,24,0
6,0,PREMIER,27,0
6,0,PREMIER,30,1
6,0,PREMIER,33,1
6,0,PREMIER,36,1
6,0,PREMIER,39,0
6,0,PREMIER,42,0
6,0,PREMIER,45,1
6,0,PREMIER,48,0
6,0,PREMIER,51,0
6,0,PREMIER,54,1
6,0,PREMIER,57,1
7,0,PREMIER,0,1
7,0,PREMIER,3,1
7,0,PREMIER,6,0
7,0,PREMIER,9,0
7,0,PREMIER,12,1
7,0,PREMIER,15,1
7,0,PREMIER,18,0
7,0,PREMIER,21,1
7,0,PREMIER,24,1
7,0,PREMIER,27,0
7,0,PREMIER,30,1
7,0,PREMIER,33,0
7,0,PREMIER,36,0
7,0,PREMIER,39,0
7,0,PREMIER,42,0
7,0,PREMIER,45,0
7,0,PREMIER,48,0
7,0,PREMIER,51,1
7,0,PREMIER,54,1
7,0,PREMIER,57,1
8,0,PREMIER,0,0
8,0,PREMIER,3,1
8,0,PREMIER,6,0
8,0,PREMIER,9,1
8,0,PREMIER,12,0
8,0,PREMIER,15,1
8,0,PREMIER,18,1
8,0,PREMIER,21,0
8,0,PREMIER,24,0
8,0,PREMIER,27,0
8,0,PREMIER,30,1
8,0,PREMIER,33,0
8,0,PREMIER,36,1
8,0,PREMIER,39,0
8,0,PREMIER,42,1
8,0,PREMIER,45,0
8,0,PREMIER,48,1
8,0,PREMIER,51,0
8,0,PREMIER,54,1
8,0,PREMIER,57,0
9,0,PREMIER,0,0
9,0,PREMIER,3,0
9,0,PREMIER,6,1
9,0,PREMIER,9,1
9,0,PREMIER,12,0
9,0,PREMIER,15,0
9,0,PREMIER,18,1
9,0,PREMIER,21,0
9,0,PREMIER,24,1
9,0,PREMIER,27,1
