TIPO,HORA_INICIO,COLUNA,FORCA
triangular_descendente,1,1,0.8
triangular_descendente,2,1,0.8
triangular_descendente,6,1,0.8
triangular_descendente,7,1,0.8
triangular_descendente,8,1,0.8
triangular_descendente,9,1,0.8
triangular_descendente,10,1,0.8
triangular_descendente,11,1,0.8
triangular_descendente,12,1,0.8
triangular_descendente,13,1,0.8
triangular_descendente,14,1,0.8
triangular_descendente,13,4,0.8
triangular_descendente,14,4,0.8
triangular_descendente,21,4,0.8
triangular_descendente,4,7,0.8
triangular_descendente,19,7,0.8
triangular_descendente,20,7,0.8
triangular_descendente,0,10,0.8
triangular_descendente,1,10,0.8
triangular_descendente,2,10,0.8
triangular_descendente,14,10,0.8
triangular_descendente,15,10,0.8
triangular_descendente,16,10,0.8
triangular_descendente,0,13,0.8
triangular_descendente,9,13,0.8
triangular_descendente,10,13,0.8
triangular_descendente,11,13,0.8
triangular_descendente,12,13,0.8
triangular_descendente,13,13,0.8
triangular_descendente,1,16,0.8
triangular_descendente,2,16,0.8
triangular_descendente,3,16,0.8
triangular_descendente,4,16,0.8
triangular_descendente,5,16,0.8
triangular_descendente,6,16,0.8
triangular_descendente,7,16,0.8
triangular_descendente,8,16,0.8
triangular_descendente,14,16,0.8
triangular_descendente,15,16,0.8
triangular_descendente,16,16,0.8
triangular_descendente,20,16,0.8
triangular_descendente,0,22,0.8
triangular_descendente,1,22,0.8
triangular_descendente,15,22,0.8
triangular_descendente,16,22,0.8
triangular_descendente,17,22,0.8
triangular_descendente,18,22,0.8
triangular_ascendente,21,22,0.85
triangular_descendente,8,25,0.8
triangular_descendente,13,25,0.8
triangular_descendente,14,25,0.8
triangular_descendente,15,25,0.8
triangular_descendente,8,28,0.8
triangular_descendente,15,28,0.8
triangular_descendente,16,28,0.8
triangular_descendente,17,28,0.8
triangular_descendente,18,28,0.8
triangular_ascendente,21,28,0.85
triangular_descendente,3,31,0.8
triangular_descendente,7,31,0.8
triangular_descendente,13,31,0.8
triangular_descendente,14,31,0.8
triangular_descendente,15,31,0.8
triangular_descendente,16,31,0.8
triangular_descendente,20,31,0.8
triangular_descendente,21,31,0.8
triangular_descendente,0,34,0.8
triangular_descendente,6,34,0.8
triangular_descendente,7,34,0.8
triangular_descendente,8,34,0.8
triangular_descendente,9,34,0.8
triangular_descendente,10,34,0.8
triangular_descendente,11,34,0.8
triangular_descendente,12,34,0.8
triangular_descendente,21,34,0.8
triangular_ascendente,4,37,0.85
triangular_descendente,17,37,0.8
triangular_descendente,16,40,0.8
triangular_descendente,17,40,0.8
triangular_descendente,18,40,0.8
triangular_descendente,19,40,0.8
triangular_descendente,0,43,0.8
triangular_descendente,1,43,0.8
triangular_descendente,2,43,0.8
triangular_descendente,3,43,0.8
triangular_descendente,19,43,0.8
triangular_descendente,20,43,0.8
triangular_descendente,21,43,0.8
triangular_descendente,10,49,0.8
triangular_descendente,0,52,0.8
triangular_descendente,6,52,0.8
triangular_descendente,7,52,0.8
triangular_descendente,8,52,0.8
triangular_descendente,9,52,0.8
triangular_descendente,10,52,0.8
triangular_descendente,14,52,0.8
triangular_descendente,8,55,0.8
triangular_descendente,9,55,0.8
triangular_descendente,13,55,0.8
triangular_descendente,14,55,0.8
triangular_descendente,5,58,0.8
triangular_descendente,21,58,0.8
retangular_vermelho,0,10,0.85
retangular_vermelho,1,10,0.85
retangular_vermelho,1,13,0.85
retangular_vermelho,1,40,0.85
retangular_vermelho,1,43,0.85
retangular_vermelho,3,28,0.85
retangular_vermelho,4,13,0.85
retangular_vermelho,5,4,0.85
retangular_verde,5,37,0.9
retangular_vermelho,7,31,0.85
retangular_vermelho,7,49,0.85
retangular_vermelho,8,25,0.85
retangular_vermelho,8,28,0.85
retangular_vermelho,8,31,0.85
retangular_vermelho,8,52,0.85
retangular_vermelho,9,1,0.85
retangular_vermelho,9,13,0.85
retangular_vermelho,9,25,0.85
retangular_vermelho,9,52,0.85
retangular_vermelho,9,55,0.85
retangular_vermelho,10,49,0.85
retangular_vermelho,10,52,0.85
retangular_vermelho,11,49,0.85
retangular_vermelho,12,34,0.85
retangular_vermelho,13,1,0.85
retangular_vermelho,13,31,0.85
retangular_vermelho,14,1,0.85
retangular_vermelho,14,10,0.85
retangular_vermelho,14,13,0.85
retangular_vermelho,14,52,0.85
retangular_vermelho,15,1,0.85
retangular_vermelho,15,22,0.85
retangular_vermelho,15,25,0.85
retangular_vermelho,15,28,0.85
retangular_vermelho,15,52,0.85
retangular_vermelho,15,55,0.85
retangular_vermelho,16,7,0.85
retangular_vermelho,16,22,0.85
retangular_vermelho,16,25,0.85
retangular_vermelho,16,28,0.85
retangular_vermelho,17,28,0.85
retangular_vermelho,17,37,0.85
