TIPO,HORA_INICIO,COLUNA,FORCA
triangular_descendente,0,2,0.8
triangular_descendente,1,2,0.8
triangular_descendente,2,2,0.8
triangular_descendente,7,2,0.8
triangular_descendente,12,2,0.8
triangular_descendente,13,2,0.8
triangular_descendente,17,2,0.8
triangular_descendente,21,2,0.8
triangular_descendente,13,5,0.8
triangular_descendente,14,5,0.8
triangular_descendente,15,5,0.8
triangular_descendente,16,5,0.8
triangular_descendente,17,5,0.8
triangular_descendente,18,5,0.8
triangular_descendente,0,8,0.8
triangular_descendente,1,8,0.8
triangular_descendente,8,8,0.8
triangular_descendente,9,8,0.8
triangular_descendente,10,8,0.8
triangular_descendente,0,11,0.8
triangular_descendente,8,11,0.8
triangular_descendente,13,14,0.8
triangular_descendente,14,14,0.8
triangular_descendente,9,17,0.8
triangular_descendente,10,17,0.8
triangular_ascendente,17,17,0.85
triangular_ascendente,18,17,0.85
triangular_descendente,10,20,0.8
triangular_descendente,17,20,0.8
triangular_descendente,18,20,0.8
triangular_descendente,8,23,0.8
triangular_descendente,14,23,0.8
triangular_descendente,15,23,0.8
triangular_descendente,19,23,0.8
triangular_ascendente,3,26,0.85
triangular_ascendente,4,26,0.85
triangular_descendente,10,29,0.8
triangular_descendente,11,29,0.8
triangular_descendente,17,29,0.8
triangular_descendente,18,29,0.8
triangular_descendente,0,32,0.8
triangular_descendente,13,32,0.8
triangular_descendente,0,35,0.8
triangular_descendente,1,35,0.8
triangular_descendente,5,35,0.8
triangular_ascendente,9,35,0.85
triangular_ascendente,10,35,0.85
triangular_descendente,16,35,0.8
triangular_descendente,17,35,0.8
triangular_descendente,18,35,0.8
triangular_descendente,19,35,0.8
triangular_descendente,20,35,0.8
triangular_descendente,21,35,0.8
triangular_descendente,0,38,0.8
triangular_descendente,1,38,0.8
triangular_descendente,2,38,0.8
triangular_descendente,3,38,0.8
triangular_descendente,4,38,0.8
triangular_descendente,5,38,0.8
triangular_descendente,6,38,0.8
triangular_descendente,10,38,0.8
triangular_descendente,5,41,0.8
triangular_descendente,15,41,0.8
triangular_descendente,3,44,0.8
triangular_descendente,4,44,0.8
triangular_descendente,5,44,0.8
triangular_descendente,6,44,0.8
triangular_descendente,7,44,0.8
triangular_descendente,11,44,0.8
triangular_descendente,12,44,0.8
triangular_descendente,3,47,0.8
triangular_descendente,4,47,0.8
triangular_descendente,5,47,0.8
triangular_descendente,6,47,0.8
triangular_descendente,18,47,0.8
triangular_descendente,19,47,0.8
triangular_descendente,0,50,0.8
triangular_descendente,1,50,0.8
triangular_descendente,2,50,0.8
triangular_ascendente,8,50,0.85
triangular_descendente,15,53,0.8
triangular_descendente,16,53,0.8
triangular_descendente,21,53,0.8
triangular_descendente,12,56,0.8
triangular_descendente,6,59,0.8
triangular_descendente,7,59,0.8
triangular_descendente,12,59,0.8
triangular_descendente,16,59,0.8
triangular_descendente,17,59,0.8
triangular_descendente,18,59,0.8
triangular_descendente,19,59,0.8
retangular_vermelho,0,2,0.85
retangular_vermelho,0,5,0.85
retangular_vermelho,0,8,0.85
retangular_vermelho,0,32,0.85
retangular_vermelho,0,35,0.85
retangular_vermelho,0,38,0.85
retangular_vermelho,0,47,0.85
retangular_vermelho,1,8,0.85
retangular_vermelho,1,32,0.85
retangular_vermelho,1,35,0.85
retangular_vermelho,2,35,0.85
retangular_vermelho,3,44,0.85
retangular_vermelho,3,47,0.85
retangular_vermelho,4,44,0.85
retangular_vermelho,5,35,0.85
retangular_vermelho,5,38,0.85
retangular_vermelho,5,41,0.85
retangular_vermelho,5,44,0.85
retangular_vermelho,6,35,0.85
retangular_vermelho,6,38,0.85
retangular_vermelho,6,41,0.85
retangular_vermelho,6,44,0.85
retangular_vermelho,7,44,0.85
retangular_vermelho,8,8,0.85
retangular_vermelho,9,8,0.85
retangular_vermelho,9,11,0.85
retangular_vermelho,9,14,0.85
retangular_verde,9,47,0.9
retangular_vermelho,10,5,0.85
retangular_vermelho,10,17,0.85
retangular_vermelho,11,17,0.85
retangular_vermelho,12,56,0.85
retangular_vermelho,13,2,0.85
retangular_vermelho,13,56,0.85
retangular_vermelho,14,2,0.85
retangular_vermelho,14,5,0.85
retangular_vermelho,14,23,0.85
retangular_vermelho,15,14,0.85
retangular_vermelho,17,2,0.85
retangular_vermelho,17,50,0.85
retangular_vermelho,17,53,0.85
retangular_vermelho,17,56,0.85
retangular_vermelho,18,2,0.85
retangular_vermelho,19,20,0.85
retangular_vermelho,20,56,0.85
retangular_vermelho,22,2,0.85
retangular_vermelho,22,35,0.85
diagonal_principal_vermelho,0,2,0.7
diagonal_principal_vermelho,0,5,0.7
diagonal_secundaria_vermelho,0,8,0.7
diagonal_secundaria_vermelho,0,14,0.7
diagonal_secundaria_verde,0,20,0.75
diagonal_principal_vermelho,0,29,0.7
diagonal_principal_vermelho,0,32,0.7
diagonal_secundaria_vermelho,0,35,0.7
diagonal_secundaria_vermelho,0,38,0.7
diagonal_secundaria_vermelho,0,41,0.7
diagonal_principal_vermelho,1,8,0.7
diagonal_secundaria_vermelho,1,11,0.7
diagonal_secundaria_verde,1,17,0.75
diagonal_principal_vermelho,1,23,0.7
diagonal_principal_vermelho,1,32,0.7
diagonal_principal_vermelho,1,35,0.7
diagonal_secundaria_vermelho,1,35,0.7
diagonal_secundaria_vermelho,1,41,0.7
diagonal_principal_vermelho,1,47,0.7
diagonal_secundaria_vermelho,1,53,0.7
diagonal_secundaria_vermelho,2,8,0.7
diagonal_principal_vermelho,2,11,0.7
diagonal_secundaria_verde,2,14,0.75
diagonal_secundaria_vermelho,2,17,0.7
diagonal_principal_verde,2,23,0.75
diagonal_principal_vermelho,2,26,0.7
diagonal_principal_vermelho,2,32,0.7
diagonal_principal_vermelho,2,38,0.7
diagonal_secundaria_vermelho,2,38,0.7
diagonal_secundaria_vermelho,2,50,0.7
diagonal_secundaria_verde,3,11,0.75
diagonal_secundaria_vermelho,3,14,0.7
diagonal_principal_verde,3,26,0.75
diagonal_principal_vermelho,3,29,0.7
diagonal_principal_vermelho,3,35,0.7
diagonal_secundaria_vermelho,3,35,0.7
diagonal_principal_vermelho,3,41,0.7
diagonal_secundaria_vermelho,3,41,0.7
diagonal_secundaria_vermelho,3,47,0.7
diagonal_secundaria_vermelho,3,50,0.7
diagonal_secundaria_vermelho,3,53,0.7
diagonal_secundaria_vermelho,4,11,0.7
diagonal_principal_verde,4,23,0.75
diagonal_secundaria_verde,4,29,0.75
diagonal_principal_vermelho,4,32,0.7
diagonal_secundaria_verde,4,35,0.75
diagonal_principal_vermelho,4,38,0.7
diagonal_secundaria_vermelho,4,38,0.7
diagonal_secundaria_vermelho,4,44,0.7
diagonal_secundaria_vermelho,4,47,0.7
diagonal_secundaria_vermelho,4,50,0.7
diagonal_secundaria_vermelho,5,8,0.7
diagonal_principal_vermelho,5,29,0.7
diagonal_principal_vermelho,5,35,0.7
diagonal_secundaria_vermelho,5,35,0.7
diagonal_principal_vermelho,5,38,0.7
diagonal_principal_vermelho,5,41,0.7
diagonal_secundaria_vermelho,5,41,0.7
diagonal_principal_vermelho,5,44,0.7
diagonal_secundaria_vermelho,5,44,0.7
diagonal_secundaria_vermelho,5,47,0.7
diagonal_secundaria_vermelho,6,8,0.7
diagonal_principal_vermelho,6,32,0.7
diagonal_secundaria_vermelho,6,32,0.7
diagonal_principal_vermelho,6,38,0.7
diagonal_secundaria_vermelho,6,38,0.7
diagonal_principal_vermelho,6,41,0.7
diagonal_secundaria_vermelho,6,44,0.7
diagonal_secundaria_vermelho,6,53,0.7
diagonal_principal_vermelho,7,5,0.7
diagonal_secundaria_vermelho,7,14,0.7
diagonal_secundaria_vermelho,7,29,0.7
diagonal_secundaria_vermelho,7,50,0.7
diagonal_secundaria_verde,7,53,0.75
diagonal_principal_vermelho,8,8,0.7
diagonal_principal_vermelho,8,11,0.7
diagonal_secundaria_vermelho,8,11,0.7
diagonal_secundaria_vermelho,8,26,0.7
diagonal_secundaria_verde,8,50,0.75
diagonal_secundaria_verde,8,53,0.75
diagonal_principal_vermelho,9,2,0.7
diagonal_principal_vermelho,9,11,0.7
diagonal_secundaria_vermelho,9,11,0.7
diagonal_principal_vermelho,9,14,0.7
diagonal_secundaria_vermelho,9,14,0.7
diagonal_principal_vermelho,9,23,0.7
diagonal_secundaria_vermelho,9,23,0.7
diagonal_secundaria_vermelho,10,8,0.7
diagonal_principal_vermelho,10,14,0.7
diagonal_secundaria_vermelho,10,23,0.7
diagonal_principal_vermelho,10,38,0.7
diagonal_secundaria_vermelho,10,53,0.7
diagonal_secundaria_vermelho,11,20,0.7
diagonal_secundaria_vermelho,11,41,0.7
diagonal_principal_vermelho,11,44,0.7
diagonal_secundaria_vermelho,11,50,0.7
