TIPO,HORA_INICIO,COLUNA,FORCA
triangular_ascendente,0,0,0.85
triangular_descendente,7,0,0.8
triangular_descendente,8,0,0.8
triangular_descendente,0,3,0.8
triangular_descendente,1,3,0.8
triangular_descendente,2,3,0.8
triangular_descendente,3,3,0.8
triangular_descendente,1,6,0.8
triangular_descendente,10,6,0.8
triangular_descendente,11,6,0.8
triangular_ascendente,20,9,0.85
triangular_descendente,5,12,0.8
triangular_descendente,21,12,0.8
triangular_descendente,1,15,0.8
triangular_descendente,5,18,0.8
triangular_descendente,6,18,0.8
triangular_descendente,7,18,0.8
triangular_descendente,12,21,0.8
triangular_descendente,13,21,0.8
triangular_descendente,14,21,0.8
triangular_descendente,4,24,0.8
triangular_descendente,5,24,0.8
triangular_descendente,6,24,0.8
triangular_descendente,7,24,0.8
triangular_descendente,6,27,0.8
triangular_descendente,10,27,0.8
triangular_descendente,11,27,0.8
triangular_descendente,12,27,0.8
triangular_descendente,13,27,0.8
triangular_descendente,17,27,0.8
triangular_descendente,11,30,0.8
triangular_descendente,12,30,0.8
triangular_descendente,13,30,0.8
triangular_descendente,20,30,0.8
triangular_ascendente,0,33,0.85
triangular_descendente,4,33,0.8
triangular_descendente,5,33,0.8
triangular_descendente,0,36,0.8
triangular_descendente,9,36,0.8
triangular_ascendente,18,36,0.85
triangular_ascendente,19,36,0.85
triangular_descendente,8,39,0.8
triangular_descendente,14,39,0.8
triangular_descendente,6,42,0.8
triangular_descendente,7,42,0.8
triangular_ascendente,17,42,0.85
triangular_descendente,0,45,0.8
triangular_descendente,7,45,0.8
triangular_descendente,8,45,0.8
triangular_descendente,14,45,0.8
triangular_descendente,3,48,0.8
triangular_descendente,21,48,0.8
triangular_ascendente,1,51,0.85
triangular_ascendente,2,51,0.85
triangular_descendente,5,51,0.8
triangular_descendente,6,51,0.8
triangular_descendente,5,54,0.8
triangular_descendente,13,54,0.8
triangular_descendente,14,54,0.8
triangular_descendente,15,54,0.8
triangular_descendente,9,57,0.8
triangular_descendente,10,57,0.8
triangular_descendente,11,57,0.8
triangular_descendente,12,57,0.8
triangular_descendente,13,57,0.8
triangular_descendente,18,57,0.8
retangular_vermelho,1,3,0.85
retangular_vermelho,1,36,0.85
retangular_vermelho,2,3,0.85
retangular_vermelho,4,21,0.85
retangular_vermelho,5,30,0.85
retangular_vermelho,5,51,0.85
retangular_vermelho,6,24,0.85
retangular_vermelho,6,33,0.85
retangular_vermelho,6,51,0.85
retangular_vermelho,7,15,0.85
retangular_vermelho,7,24,0.85
retangular_vermelho,7,42,0.85
retangular_vermelho,8,39,0.85
retangular_vermelho,8,42,0.85
retangular_vermelho,9,36,0.85
retangular_vermelho,10,51,0.85
retangular_vermelho,10,54,0.85
retangular_vermelho,11,27,0.85
retangular_vermelho,12,3,0.85
retangular_vermelho,12,27,0.85
retangular_vermelho,12,30,0.85
retangular_vermelho,13,27,0.85
retangular_vermelho,13,54,0.85
retangular_vermelho,14,21,0.85
retangular_vermelho,14,24,0.85
retangular_vermelho,14,27,0.85
retangular_vermelho,14,54,0.85
retangular_vermelho,15,45,0.85
