TIPO,HORA_INICIO,COLUNA,FORCA
triangular_descendente,6,1,0.8
triangular_descendente,7,1,0.8
triangular_descendente,4,4,0.8
triangular_descendente,5,4,0.8
triangular_descendente,11,4,0.8
triangular_descendente,12,4,0.8
triangular_descendente,20,4,0.8
triangular_descendente,12,7,0.8
triangular_descendente,13,7,0.8
triangular_descendente,17,7,0.8
triangular_descendente,18,7,0.8
triangular_descendente,6,10,0.8
triangular_descendente,7,10,0.8
triangular_descendente,11,10,0.8
triangular_descendente,12,13,0.8
triangular_descendente,18,16,0.8
triangular_descendente,19,16,0.8
triangular_descendente,20,16,0.8
triangular_ascendente,2,19,0.85
triangular_ascendente,3,19,0.85
triangular_descendente,3,22,0.8
triangular_descendente,7,22,0.8
triangular_descendente,8,22,0.8
triangular_descendente,15,22,0.8
triangular_descendente,19,22,0.8
triangular_descendente,20,22,0.8
triangular_descendente,21,22,0.8
triangular_descendente,1,25,0.8
triangular_descendente,2,25,0.8
triangular_descendente,7,25,0.8
triangular_descendente,14,25,0.8
triangular_descendente,21,25,0.8
triangular_ascendente,17,31,0.85
triangular_descendente,4,34,0.8
triangular_descendente,5,34,0.8
triangular_descendente,6,34,0.8
triangular_descendente,7,34,0.8
triangular_descendente,8,34,0.8
triangular_ascendente,11,34,0.85
triangular_ascendente,12,34,0.85
triangular_ascendente,13,34,0.85
triangular_ascendente,14,34,0.85
triangular_descendente,19,34,0.8
triangular_descendente,11,37,0.8
triangular_descendente,12,37,0.8
triangular_descendente,13,37,0.8
triangular_descendente,14,37,0.8
triangular_descendente,15,37,0.8
triangular_descendente,16,37,0.8
triangular_descendente,17,37,0.8
triangular_descendente,18,37,0.8
triangular_descendente,19,37,0.8
triangular_ascendente,0,40,0.85
triangular_descendente,11,40,0.8
triangular_descendente,0,43,0.8
triangular_descendente,6,43,0.8
triangular_descendente,7,43,0.8
triangular_descendente,8,43,0.8
triangular_descendente,9,43,0.8
triangular_descendente,13,43,0.8
triangular_descendente,18,43,0.8
triangular_descendente,3,46,0.8
triangular_descendente,10,46,0.8
triangular_descendente,11,46,0.8
triangular_descendente,12,46,0.8
triangular_descendente,13,46,0.8
triangular_descendente,17,46,0.8
triangular_descendente,18,46,0.8
triangular_descendente,9,49,0.8
triangular_ascendente,3,52,0.85
triangular_ascendente,4,52,0.85
triangular_ascendente,5,52,0.85
triangular_descendente,10,52,0.8
triangular_descendente,15,52,0.8
triangular_descendente,19,52,0.8
triangular_descendente,20,52,0.8
triangular_descendente,21,52,0.8
triangular_descendente,14,55,0.8
triangular_descendente,19,55,0.8
triangular_descendente,2,58,0.8
triangular_descendente,13,58,0.8
triangular_descendente,14,58,0.8
triangular_descendente,15,58,0.8
triangular_descendente,19,58,0.8
triangular_descendente,20,58,0.8
retangular_vermelho,0,19,0.85
retangular_vermelho,0,43,0.85
retangular_vermelho,3,22,0.85
retangular_vermelho,3,25,0.85
retangular_vermelho,3,46,0.85
retangular_vermelho,6,1,0.85
retangular_vermelho,6,34,0.85
retangular_vermelho,6,37,0.85
retangular_vermelho,6,40,0.85
retangular_vermelho,7,22,0.85
retangular_vermelho,7,31,0.85
retangular_vermelho,8,22,0.85
retangular_vermelho,9,13,0.85
retangular_vermelho,10,43,0.85
retangular_vermelho,10,46,0.85
retangular_vermelho,10,49,0.85
retangular_vermelho,11,1,0.85
retangular_vermelho,11,37,0.85
retangular_vermelho,12,4,0.85
retangular_vermelho,12,7,0.85
retangular_vermelho,12,10,0.85
retangular_vermelho,12,37,0.85
retangular_vermelho,13,4,0.85
retangular_vermelho,13,43,0.85
retangular_vermelho,14,43,0.85
retangular_vermelho,14,55,0.85
retangular_vermelho,15,22,0.85
retangular_vermelho,15,25,0.85
retangular_vermelho,15,52,0.85
retangular_vermelho,15,55,0.85
retangular_vermelho,18,7,0.85
retangular_vermelho,18,16,0.85
retangular_vermelho,18,43,0.85
retangular_vermelho,19,34,0.85
retangular_vermelho,19,43,0.85
retangular_vermelho,19,52,0.85
retangular_vermelho,19,55,0.85
retangular_vermelho,20,34,0.85
retangular_vermelho,20,49,0.85
retangular_vermelho,20,52,0.85
retangular_vermelho,20,55,0.85
retangular_vermelho,21,22,0.85
retangular_vermelho,22,22,0.85
diagonal_secundaria_vermelho,0,13,0.7
diagonal_principal_vermelho,0,19,0.7
diagonal_secundaria_vermelho,0,31,0.7
diagonal_secundaria_vermelho,0,49,0.7
diagonal_principal_vermelho,1,22,0.7
diagonal_secundaria_vermelho,1,28,0.7
diagonal_secundaria_vermelho,1,46,0.7
diagonal_principal_vermelho,2,7,0.7
diagonal_secundaria_vermelho,2,13,0.7
diagonal_secundaria_vermelho,2,31,0.7
diagonal_principal_vermelho,2,43,0.7
diagonal_secundaria_vermelho,2,43,0.7
diagonal_secundaria_vermelho,2,52,0.7
diagonal_secundaria_vermelho,3,10,0.7
diagonal_principal_vermelho,3,25,0.7
diagonal_secundaria_vermelho,3,28,0.7
diagonal_secundaria_vermelho,3,37,0.7
diagonal_secundaria_vermelho,3,40,0.7
diagonal_secundaria_vermelho,4,7,0.7
diagonal_secundaria_vermelho,4,25,0.7
diagonal_principal_vermelho,4,28,0.7
diagonal_secundaria_vermelho,4,34,0.7
diagonal_principal_verde,4,40,0.75
diagonal_secundaria_vermelho,4,49,0.7
diagonal_secundaria_vermelho,5,22,0.7
diagonal_principal_vermelho,5,31,0.7
diagonal_secundaria_vermelho,5,31,0.7
diagonal_principal_vermelho,5,34,0.7
diagonal_secundaria_vermelho,5,46,0.7
diagonal_principal_vermelho,6,1,0.7
diagonal_secundaria_vermelho,6,13,0.7
diagonal_principal_vermelho,6,19,0.7
diagonal_principal_vermelho,6,28,0.7
diagonal_secundaria_vermelho,6,28,0.7
diagonal_principal_vermelho,6,37,0.7
diagonal_secundaria_vermelho,6,37,0.7
diagonal_secundaria_vermelho,6,40,0.7
diagonal_secundaria_vermelho,6,49,0.7
diagonal_principal_vermelho,7,4,0.7
diagonal_principal_vermelho,7,31,0.7
diagonal_secundaria_vermelho,7,46,0.7
diagonal_principal_vermelho,7,49,0.7
diagonal_secundaria_verde,7,52,0.75
diagonal_principal_verde,8,4,0.75
diagonal_principal_vermelho,8,7,0.7
diagonal_principal_vermelho,8,10,0.7
diagonal_principal_verde,8,49,0.75
diagonal_secundaria_vermelho,8,52,0.7
diagonal_secundaria_vermelho,9,10,0.7
diagonal_secundaria_vermelho,9,16,0.7
diagonal_secundaria_vermelho,9,34,0.7
diagonal_principal_vermelho,9,40,0.7
diagonal_principal_vermelho,9,43,0.7
diagonal_secundaria_vermelho,9,49,0.7
diagonal_principal_verde,9,52,0.75
diagonal_principal_vermelho,10,7,0.7
diagonal_secundaria_vermelho,10,7,0.7
diagonal_secundaria_vermelho,10,13,0.7
diagonal_secundaria_vermelho,10,31,0.7
diagonal_principal_vermelho,10,34,0.7
diagonal_secundaria_vermelho,10,43,0.7
