CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,RESULTADO,GALE
SUPER,4,12,OVER 2.5,0.779153322708981,ALTA,R$20.00,,
PREMIER,27,12,OVER 2.5,0.7592825151425324,ALTA,R$20.00,,
SUPER,31,12,OVER 2.5,0.7544706908964282,ALTA,R$20.00,,
SUPER,31,14,OVER 2.5,0.737741389492771,MEDIA,R$10.00,,
PREMIER,0,13,OVER 2.5,0.7364875446142436,MEDIA,R$10.00,,
PREMIER,45,14,OVER 2.5,0.7345915417985,MEDIA,R$10.00,,
PREMIER,12,14,OVER 2.5,0.7340287537563278,MEDIA,R$10.00,,
SUPER,49,13,OVER 2.5,0.7259721290724138,MEDIA,R$10.00,,
EURO,11,13,OVER 2.5,0.7235323022023389,MEDIA,R$10.00,,
PREMIER,51,13,OVER 2.5,0.7229054871713342,MEDIA,R$10.00,,
PREMIER,24,12,OVER 2.5,0.7220242706975248,MEDIA,R$10.00,,
COPA,49,13,OVER 2.5,0.7211136365519433,MEDIA,R$10.00,,
SUPER,55,14,OVER 2.5,0.7168768233388695,MEDIA,R$10.00,,
COPA,43,14,OVER 2.5,0.7120037275187694,MEDIA,R$10.00,,
PREMIER,39,13,OVER 2.5,0.7077000155052603,MEDIA,R$10.00,,
COPA,28,14,OVER 2.5,0.7037249762455555,MEDIA,R$10.00,,
PREMIER,24,13,OVER 2.5,0.6996952645513558,MEDIA,R$10.00,,
PREMIER,57,12,OVER 2.5,0.6982303994501929,MEDIA,R$10.00,,
SUPER,37,12,OVER 2.5,0.6960570631227362,MEDIA,R$10.00,,
PREMIER,45,12,OVER 2.5,0.6942784955491916,MEDIA,R$10.00,,
PREMIER,0,12,OVER 2.5,0.6934324426525735,MEDIA,R$10.00,,
SUPER,43,14,OVER 2.5,0.6890499196720091,MEDIA,R$10.00,,
SUPER,25,14,OVER 2.5,0.6863920477121072,MEDIA,R$10.00,,
PREMIER,6,12,OVER 2.5,0.6826912343491139,MEDIA,R$10.00,,
COPA,43,13,OVER 2.5,0.6806325181961508,MEDIA,R$10.00,,
SUPER,52,12,OVER 2.5,0.6776115469883219,MEDIA,R$10.00,,
SUPER,34,12,OVER 2.5,0.6749045426861521,MEDIA,R$10.00,,
EURO,41,14,OVER 2.5,0.6728506310611183,MEDIA,R$10.00,,
EURO,32,13,OVER 2.5,0.6714042472254906,MEDIA,R$10.00,,
COPA,46,12,OVER 2.5,0.6700369740904933,MEDIA,R$10.00,,
PREMIER,48,12,OVER 2.5,0.6687498029625084,MEDIA,R$10.00,,
COPA,40,12,OVER 2.5,0.6683793517140642,MEDIA,R$10.00,,
PREMIER,54,13,OVER 2.5,0.6654376770305567,MEDIA,R$10.00,,
PREMIER,0,14,OVER 2.5,0.6650145328271297,MEDIA,R$10.00,,
SUPER,40,14,OVER 2.5,0.6643963695364709,MEDIA,R$10.00,,
PREMIER,33,14,OVER 2.5,0.6637636491974078,MEDIA,R$10.00,,
PREMIER,30,14,OVER 2.5,0.6636464746287942,MEDIA,R$10.00,,
SUPER,22,12,OVER 2.5,0.6630558988523184,MEDIA,R$10.00,,
PREMIER,21,14,OVER 2.5,0.6628851808818488,MEDIA,R$10.00,,
PREMIER,33,12,OVER 2.5,0.6625662970868831,MEDIA,R$10.00,,
PREMIER,15,13,OVER 2.5,0.6606402097861691,MEDIA,R$10.00,,
SUPER,46,14,OVER 2.5,0.6581174534168027,MEDIA,R$10.00,,
SUPER,4,14,OVER 2.5,0.6572776483157248,MEDIA,R$10.00,,
EURO,50,13,OVER 2.5,0.6553470727632995,MEDIA,R$10.00,,
PREMIER,18,14,OVER 2.5,0.6548507150699824,MEDIA,R$10.00,,
PREMIER,48,14,OVER 2.5,0.6540196094339008,MEDIA,R$10.00,,
PREMIER,3,13,OVER 2.5,0.6528211366828991,MEDIA,R$10.00,,
PREMIER,54,12,OVER 2.5,0.6525819675357956,MEDIA,R$10.00,,
COPA,55,12,OVER 2.5,0.6522536252815103,MEDIA,R$10.00,,
EURO,11,14,OVER 2.5,0.6496156954481628,BAIXA,R$5.00,,
COPA,31,13,OVER 2.5,0.6466561714483874,BAIXA,R$5.00,,
SUPER,34,13,OVER 2.5,0.6463894744553595,BAIXA,R$5.00,,
COPA,40,13,OVER 2.5,0.6463043822321094,BAIXA,R$5.00,,
PREMIER,9,14,OVER 2.5,0.6462528824333503,BAIXA,R$5.00,,
PREMIER,9,13,OVER 2.5,0.6455756815811605,BAIXA,R$5.00,,
SUPER,37,14,OVER 2.5,0.644844934858262,BAIXA,R$5.00,,
SUPER,1,14,OVER 2.5,0.644382207024124,BAIXA,R$5.00,,
PREMIER,33,13,OVER 2.5,0.6439609192782602,BAIXA,R$5.00,,
EURO,44,12,OVER 2.5,0.6425412186049738,BAIXA,R$5.00,,
SUPER,16,12,OVER 2.5,0.6420899073303146,BAIXA,R$5.00,,
EURO,20,14,OVER 2.5,0.6414739812520149,BAIXA,R$5.00,,
EURO,8,14,OVER 2.5,0.6393461552810149,BAIXA,R$5.00,,
SUPER,13,14,OVER 2.5,0.6372800002142736,BAIXA,R$5.00,,
PREMIER,21,12,OVER 2.5,0.6372021893312235,BAIXA,R$5.00,,
SUPER,7,14,OVER 2.5,0.6353989340874956,BAIXA,R$5.00,,
EURO,50,12,OVER 2.5,0.6352955797789593,BAIXA,R$5.00,,
PREMIER,45,13,OVER 2.5,0.6346145925472834,BAIXA,R$5.00,,
COPA,46,14,OVER 2.5,0.6344567087434956,BAIXA,R$5.00,,
COPA,13,14,OVER 2.5,0.6341283327422137,BAIXA,R$5.00,,
PREMIER,42,12,OVER 2.5,0.6315762021362261,BAIXA,R$5.00,,
EURO,2,14,OVER 2.5,0.6304559217729647,BAIXA,R$5.00,,
COPA,25,14,OVER 2.5,0.6295309440063463,BAIXA,R$5.00,,
COPA,7,13,OVER 2.5,0.6248421906447525,BAIXA,R$5.00,,
PREMIER,36,13,OVER 2.5,0.6238423044579596,BAIXA,R$5.00,,
EURO,26,14,OVER 2.5,0.6219003286554529,BAIXA,R$5.00,,
SUPER,40,12,OVER 2.5,0.6217099920770429,BAIXA,R$5.00,,
COPA,10,12,OVER 2.5,0.6198783790141846,BAIXA,R$5.00,,
EURO,26,13,OVER 2.5,0.6197397178450885,BAIXA,R$5.00,,
SUPER,55,13,OVER 2.5,0.6193804327710297,BAIXA,R$5.00,,
EURO,29,13,OVER 2.5,0.6189571545506101,BAIXA,R$5.00,,
SUPER,31,13,OVER 2.5,0.6169506013850358,BAIXA,R$5.00,,
SUPER,13,12,OVER 2.5,0.616034502043257,BAIXA,R$5.00,,
PREMIER,39,12,OVER 2.5,0.6158503980088282,BAIXA,R$5.00,,
SUPER,34,14,OVER 2.5,0.6115208762532602,BAIXA,R$5.00,,
COPA,52,12,OVER 2.5,0.6111429599327552,BAIXA,R$5.00,,
PREMIER,57,13,OVER 2.5,0.6090299144332246,BAIXA,R$5.00,,
PREMIER,21,13,OVER 2.5,0.6077592508401694,BAIXA,R$5.00,,
SUPER,1,12,OVER 2.5,0.6072677383824747,BAIXA,R$5.00,,
SUPER,16,13,OVER 2.5,0.6064349709262808,BAIXA,R$5.00,,
EURO,38,14,OVER 2.5,0.6063872508913891,BAIXA,R$5.00,,
COPA,28,12,OVER 2.5,0.6047086699098432,BAIXA,R$5.00,,
PREMIER,48,13,OVER 2.5,0.6020921200441116,BAIXA,R$5.00,,
SUPER,10,13,OVER 2.5,0.5997398281517354,BAIXA,R$5.00,,
SUPER,46,13,OVER 2.5,0.5986864620961796,BAIXA,R$5.00,,
PREMIER,3,12,OVER 2.5,0.5986487090260895,BAIXA,R$5.00,,
PREMIER,36,12,OVER 2.5,0.5983424099044206,BAIXA,R$5.00,,
EURO,20,12,OVER 2.5,0.5981305702674128,BAIXA,R$5.00,,
EURO,17,14,OVER 2.5,0.5915662101131071,BAIXA,R$5.00,,
COPA,52,13,OVER 2.5,0.591260521079472,BAIXA,R$5.00,,
COPA,4,13,OVER 2.5,0.5906560584660339,BAIXA,R$5.00,,
SUPER,37,13,OVER 2.5,0.588955487314973,BAIXA,R$5.00,,
COPA,37,12,OVER 2.5,0.588005483157313,BAIXA,R$5.00,,
PREMIER,6,13,OVER 2.5,0.5877714902710199,BAIXA,R$5.00,,
PREMIER,51,12,OVER 2.5,0.5866312611916923,BAIXA,R$5.00,,
COPA,19,13,OVER 2.5,0.5859843151814228,BAIXA,R$5.00,,
SUPER,13,13,OVER 2.5,0.5859738557806689,BAIXA,R$5.00,,
SUPER,7,13,OVER 2.5,0.5838376785675744,BAIXA,R$5.00,,
SUPER,28,14,OVER 2.5,0.581950382125201,BAIXA,R$5.00,,
SUPER,49,12,OVER 2.5,0.581692953558598,BAIXA,R$5.00,,
EURO,41,13,OVER 2.5,0.5815587764305722,BAIXA,R$5.00,,
COPA,22,12,OVER 2.5,0.58054931781982,BAIXA,R$5.00,,
SUPER,28,13,OVER 2.5,0.5791295874250382,BAIXA,R$5.00,,
SUPER,16,14,OVER 2.5,0.5788487444384741,BAIXA,R$5.00,,
EURO,23,13,OVER 2.5,0.5783181841885672,BAIXA,R$5.00,,
PREMIER,42,14,OVER 2.5,0.5779242965184231,BAIXA,R$5.00,,
SUPER,1,13,OVER 2.5,0.576990863152941,BAIXA,R$5.00,,
SUPER,43,13,OVER 2.5,0.5757062249889037,BAIXA,R$5.00,,
COPA,55,13,OVER 2.5,0.5749993398128651,BAIXA,R$5.00,,
SUPER,52,13,OVER 2.5,0.5746597626929609,BAIXA,R$5.00,,
SUPER,10,14,OVER 2.5,0.5718870385733396,BAIXA,R$5.00,,
SUPER,52,14,OVER 2.5,0.5718484632559622,BAIXA,R$5.00,,
SUPER,25,13,OVER 2.5,0.5687378598151207,BAIXA,R$5.00,,
EURO,23,12,OVER 2.5,0.5659095430985933,BAIXA,R$5.00,,
EURO,59,12,OVER 2.5,0.5609185707617232,BAIXA,R$5.00,,
COPA,16,12,OVER 2.5,0.5584133884143421,BAIXA,R$5.00,,
EURO,29,12,OVER 2.5,0.557786264087657,BAIXA,R$5.00,,
