CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,RESULTADO,GALE
PREMIER,0,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,3,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,6,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,9,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,12,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,15,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,18,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,21,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,24,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,27,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,30,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,33,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,36,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,39,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,42,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,45,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,48,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,51,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,54,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,57,17,OVER 2.5,0.786,ALTA,R$25.00,,
PREMIER,0,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,3,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,6,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,9,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,12,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,15,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,18,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,21,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,24,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,27,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,30,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,33,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,36,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,39,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,42,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,45,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,48,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,51,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,54,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,57,18,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,0,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,3,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,6,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,9,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,12,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,15,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,18,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,21,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,24,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,27,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,30,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,33,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,36,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,39,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,42,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,45,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,48,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,51,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,54,19,OVER 2.5,0.776,ALTA,R$25.00,,
PREMIER,57,19,OVER 2.5,0.776,ALTA,R$25.00,,
