CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,RESULTADO,GALE
SUPER,28,13,OVER 2.5,0.58,BAIXA,R$5.00,1,0
SUPER,16,14,OVER 2.5,0.58,BAIXA,R$5.00,1,0
EURO,23,13,OVER 2.5,0.58,BAIXA,R$5.00,1,0
PREMIER,42,14,OVER 2.5,0.58,BAIXA,R$5.00,0,0
SUPER,1,13,OVER 2.5,0.58,BAIXA,R$5.00,0,0
SUPER,43,13,OVER 2.5,0.58,BAIXA,R$5.00,1,1
COPA,55,13,OVER 2.5,0.57,BAIXA,R$5.00,1,0
SUPER,52,13,OVER 2.5,0.57,BAIXA,R$5.00,1,1
SUPER,10,14,OVER 2.5,0.57,BAIXA,R$5.00,1,1
SUPER,52,14,OVER 2.5,0.57,BAIXA,R$5.00,1,0
SUPER,25,13,OVER 2.5,0.57,BAIXA,R$5.00,1,1
EURO,23,12,OVER 2.5,0.57,BAIXA,R$5.00,1,0
EURO,59,12,OVER 2.5,0.56,BAIXA,R$5.00,0,0
COPA,16,12,OVER 2.5,0.56,BAIXA,R$5.00,0,0
EURO,29,12,OVER 2.5,0.56,BAIXA,R$5.00,1,2
COPA,19,14,OVER 2.5,0.56,BAIXA,R$5.00,1,2
EURO,17,12,OVER 2.5,0.56,BAIXA,R$5.00,1,0
COPA,25,13,OVER 2.5,0.55,BAIXA,R$5.00,1,1
COPA,43,12,OVER 2.5,0.55,BAIXA,R$5.00,1,0
COPA,49,12,OVER 2.5,0.55,BAIXA,R$5.00,0,0
SUPER,16,13,OVER 2.5,0.61,BAIXA,R$5.00,0,0
EURO,38,14,OVER 2.5,0.61,BAIXA,R$5.00,1,0
COPA,28,12,OVER 2.5,0.6,BAIXA,R$5.00,0,0
PREMIER,48,13,OVER 2.5,0.6,BAIXA,R$5.00,1,1
SUPER,10,13,OVER 2.5,0.6,BAIXA,R$5.00,1,0
SUPER,46,13,OVER 2.5,0.6,BAIXA,R$5.00,1,0
PREMIER,3,12,OVER 2.5,0.6,BAIXA,R$5.00,1,0
PREMIER,36,12,OVER 2.5,0.6,BAIXA,R$5.00,1,1
EURO,20,12,OVER 2.5,0.6,BAIXA,R$5.00,1,0
EURO,17,14,OVER 2.5,0.59,BAIXA,R$5.00,1,0
COPA,52,13,OVER 2.5,0.59,BAIXA,R$5.00,1,2
COPA,4,13,OVER 2.5,0.59,BAIXA,R$5.00,0,0
SUPER,37,13,OVER 2.5,0.59,BAIXA,R$5.00,0,0
COPA,37,12,OVER 2.5,0.59,BAIXA,R$5.00,1,2
PREMIER,6,13,OVER 2.5,0.59,BAIXA,R$5.00,1,0
PREMIER,51,12,OVER 2.5,0.59,BAIXA,R$5.00,1,0
COPA,19,13,OVER 2.5,0.59,BAIXA,R$5.00,1,0
SUPER,13,13,OVER 2.5,0.59,BAIXA,R$5.00,0,0
SUPER,7,13,OVER 2.5,0.58,BAIXA,R$5.00,1,1
SUPER,28,14,OVER 2.5,0.58,BAIXA,R$5.00,1,0
SUPER,49,12,OVER 2.5,0.58,BAIXA,R$5.00,1,0
EURO,41,13,OVER 2.5,0.58,BAIXA,R$5.00,0,0
COPA,22,12,OVER 2.5,0.58,BAIXA,R$5.00,0,0
EURO,50,12,OVER 2.5,0.64,BAIXA,R$5.00,1,1
PREMIER,45,13,OVER 2.5,0.63,BAIXA,R$5.00,1,0
COPA,46,14,OVER 2.5,0.63,BAIXA,R$5.00,1,0
COPA,13,14,OVER 2.5,0.63,BAIXA,R$5.00,1,1
PREMIER,42,12,OVER 2.5,0.63,BAIXA,R$5.00,1,0
EURO,2,14,OVER 2.5,0.63,BAIXA,R$5.00,0,0
COPA,25,14,OVER 2.5,0.63,BAIXA,R$5.00,1,1
COPA,7,13,OVER 2.5,0.62,BAIXA,R$5.00,1,2
PREMIER,36,13,OVER 2.5,0.62,BAIXA,R$5.00,1,1
EURO,26,14,OVER 2.5,0.62,BAIXA,R$5.00,1,1
SUPER,40,12,OVER 2.5,0.62,BAIXA,R$5.00,1,1
COPA,10,12,OVER 2.5,0.62,BAIXA,R$5.00,1,0
EURO,26,13,OVER 2.5,0.62,BAIXA,R$5.00,1,0
SUPER,55,13,OVER 2.5,0.62,BAIXA,R$5.00,1,0
EURO,29,13,OVER 2.5,0.62,BAIXA,R$5.00,1,0
SUPER,31,13,OVER 2.5,0.62,BAIXA,R$5.00,0,0
SUPER,13,12,OVER 2.5,0.62,BAIXA,R$5.00,1,0
PREMIER,39,12,OVER 2.5,0.62,BAIXA,R$5.00,1,0
SUPER,34,14,OVER 2.5,0.61,BAIXA,R$5.00,0,0
COPA,52,12,OVER 2.5,0.61,BAIXA,R$5.00,1,2
PREMIER,57,13,OVER 2.5,0.61,BAIXA,R$5.00,1,0
PREMIER,21,13,OVER 2.5,0.61,BAIXA,R$5.00,1,2
SUPER,1,12,OVER 2.5,0.61,BAIXA,R$5.00,0,0
SUPER,4,14,OVER 2.5,0.66,MEDIA,R$10.00,1,0
EURO,50,13,OVER 2.5,0.66,MEDIA,R$10.00,1,0
PREMIER,18,14,OVER 2.5,0.65,MEDIA,R$10.00,1,0
PREMIER,48,14,OVER 2.5,0.65,MEDIA,R$10.00,1,1
PREMIER,3,13,OVER 2.5,0.65,MEDIA,R$10.00,1,0
PREMIER,54,12,OVER 2.5,0.65,MEDIA,R$10.00,1,0
COPA,55,12,OVER 2.5,0.65,MEDIA,R$10.00,1,1
EURO,11,14,OVER 2.5,0.65,BAIXA,R$5.00,1,1
COPA,31,13,OVER 2.5,0.65,BAIXA,R$5.00,1,0
SUPER,34,13,OVER 2.5,0.65,BAIXA,R$5.00,0,0
COPA,40,13,OVER 2.5,0.65,BAIXA,R$5.00,1,1
PREMIER,9,14,OVER 2.5,0.65,BAIXA,R$5.00,1,2
PREMIER,9,13,OVER 2.5,0.65,BAIXA,R$5.00,1,1
SUPER,37,14,OVER 2.5,0.64,BAIXA,R$5.00,1,1
SUPER,1,14,OVER 2.5,0.64,BAIXA,R$5.00,0,0
PREMIER,33,13,OVER 2.5,0.64,BAIXA,R$5.00,1,1
EURO,44,12,OVER 2.5,0.64,BAIXA,R$5.00,1,0
SUPER,16,12,OVER 2.5,0.64,BAIXA,R$5.00,1,1
EURO,20,14,OVER 2.5,0.64,BAIXA,R$5.00,1,0
EURO,8,14,OVER 2.5,0.64,BAIXA,R$5.00,1,2
SUPER,13,14,OVER 2.5,0.64,BAIXA,R$5.00,1,0
PREMIER,21,12,OVER 2.5,0.64,BAIXA,R$5.00,1,2
SUPER,7,14,OVER 2.5,0.64,BAIXA,R$5.00,1,0
PREMIER,45,12,OVER 2.5,0.69,MEDIA,R$10.00,1,0
PREMIER,0,12,OVER 2.5,0.69,MEDIA,R$10.00,1,1
SUPER,43,14,OVER 2.5,0.69,MEDIA,R$10.00,1,1
SUPER,25,14,OVER 2.5,0.69,MEDIA,R$10.00,1,2
PREMIER,6,12,OVER 2.5,0.68,MEDIA,R$10.00,1,0
COPA,43,13,OVER 2.5,0.68,MEDIA,R$10.00,1,0
SUPER,52,12,OVER 2.5,0.68,MEDIA,R$10.00,0,0
SUPER,34,12,OVER 2.5,0.67,MEDIA,R$10.00,1,0
EURO,41,14,OVER 2.5,0.67,MEDIA,R$10.00,1,1
EURO,32,13,OVER 2.5,0.67,MEDIA,R$10.00,1,0
COPA,46,12,OVER 2.5,0.67,MEDIA,R$10.00,0,0
PREMIER,48,12,OVER 2.5,0.67,MEDIA,R$10.00,1,0
COPA,40,12,OVER 2.5,0.67,MEDIA,R$10.00,1,1
PREMIER,54,13,OVER 2.5,0.67,MEDIA,R$10.00,1,1
PREMIER,0,14,OVER 2.5,0.67,MEDIA,R$10.00,1,0
SUPER,40,14,OVER 2.5,0.66,MEDIA,R$10.00,1,2
PREMIER,33,14,OVER 2.5,0.66,MEDIA,R$10.00,1,0
PREMIER,30,14,OVER 2.5,0.66,MEDIA,R$10.00,1,0
SUPER,22,12,OVER 2.5,0.66,MEDIA,R$10.00,1,1
PREMIER,21,14,OVER 2.5,0.66,MEDIA,R$10.00,1,0
PREMIER,33,12,OVER 2.5,0.66,MEDIA,R$10.00,1,2
PREMIER,15,13,OVER 2.5,0.66,MEDIA,R$10.00,0,0
SUPER,46,14,OVER 2.5,0.66,MEDIA,R$10.00,1,0
SUPER,4,12,OVER 2.5,0.78,ALTA,R$20.00,0,0
PREMIER,27,12,OVER 2.5,0.76,ALTA,R$20.00,1,0
SUPER,31,12,OVER 2.5,0.75,ALTA,R$20.00,1,0
SUPER,31,14,OVER 2.5,0.74,MEDIA,R$10.00,1,0
PREMIER,0,13,OVER 2.5,0.74,MEDIA,R$10.00,1,1
PREMIER,45,14,OVER 2.5,0.73,MEDIA,R$10.00,1,3
PREMIER,12,14,OVER 2.5,0.73,MEDIA,R$10.00,1,1
SUPER,49,13,OVER 2.5,0.73,MEDIA,R$10.00,1,1
EURO,11,13,OVER 2.5,0.72,MEDIA,R$10.00,0,0
PREMIER,51,13,OVER 2.5,0.72,MEDIA,R$10.00,1,0
PREMIER,24,12,OVER 2.5,0.72,MEDIA,R$10.00,1,1
COPA,49,13,OVER 2.5,0.72,MEDIA,R$10.00,0,0
SUPER,55,14,OVER 2.5,0.72,MEDIA,R$10.00,0,0
COPA,43,14,OVER 2.5,0.71,MEDIA,R$10.00,1,1
PREMIER,39,13,OVER 2.5,0.71,MEDIA,R$10.00,1,1
COPA,28,14,OVER 2.5,0.7,MEDIA,R$10.00,0,0
PREMIER,24,13,OVER 2.5,0.7,MEDIA,R$10.00,1,1
PREMIER,57,12,OVER 2.5,0.7,MEDIA,R$10.00,1,2
SUPER,37,12,OVER 2.5,0.7,MEDIA,R$10.00,1,2
