CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,RESULTADO,GALE
PREMIER,9,0,OVER 3.5,0.579,BAIXA,R$5.00,,
PREMIER,39,0,OVER 3.5,0.579,BAIXA,R$5.00,,
PREMIER,18,0,OVER 3.5,0.578,BAIXA,R$5.00,,
PREMIER,9,20,OVER 3.5,0.779,ALTA,R$25.00,,
PREMIER,39,20,OVER 3.5,0.779,ALTA,R$25.00,,
PREMIER,18,20,OVER 3.5,0.778,ALTA,R$25.00,,
PREMIER,9,21,OVER 3.5,0.929,ALTA,R$25.00,,
PREMIER,39,21,OVER 3.5,0.929,ALTA,R$25.00,,
PREMIER,18,21,OVER 3.5,0.928,ALTA,R$25.00,,
PREMIER,9,22,OVER 3.5,0.879,ALTA,R$25.00,,
PREMIER,39,22,OVER 3.5,0.879,ALTA,R$25.00,,
PREMIER,18,22,OVER 3.5,0.878,ALTA,R$25.00,,
PREMIER,9,23,OVER 3.5,0.779,ALTA,R$25.00,,
PREMIER,39,23,OVER 3.5,0.779,ALTA,R$25.00,,
PREMIER,18,23,OVER 3.5,0.778,ALTA,R$25.00,,
