CAMPEONATO,COLUNA,HORA,MERCADO,PROBABILIDADE,CONFIANCA,STAKE,PADRAO,RESULTADO,GALE
COPA,7,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,13,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,22,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,34,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,37,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,40,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,46,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,55,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,5,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,11,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,38,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,50,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,53,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,56,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,0,0,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
PREMIER,9,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,12,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,27,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,36,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,57,0,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,0,PLACAR 0X0,0.215,MÉDIA,R$3.00,MÉDIA,,
SUPER,3,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,6,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,12,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,21,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,24,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,27,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,33,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,39,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,42,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,45,0,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,48,0,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
COPA,7,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,13,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,22,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,34,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,37,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,40,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
COPA,46,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
COPA,55,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,5,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,11,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,38,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
EURO,50,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,53,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
EURO,56,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,0,1,UNDER 1.5,0.715,ALTA,R$15.00,ALTA,,
PREMIER,9,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,12,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,27,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,36,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
PREMIER,57,1,UNDER 1.5,0.605,MÉDIA,R$10.00,MÉDIA,,
SUPER,39,1,PLACAR 0X0,0.215,MÉDIA,R$3.00,MÉDIA,,
SUPER,3,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,6,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,12,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,21,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,24,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,27,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,33,1,UNDER 1.5,0.726,ALTA,R$15.00,MÉDIA,,
SUPER,39,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,42,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
SUPER,45,1,UNDER 1.5,0.858,ALTA,R$15.00,ALTA,,
