HORA,BTTS_RECOMENDACAO,BTTS_CAMPEONATO,BTTS_STAKE,BTTS_CONFIANCA,OVER 2.5_RECOMENDACAO,OVER 2.5_CAMPEONATO,OVER 2.5_STAKE,OVER 2.5_CONFIANCA,OVER 3.5_RECOMENDACAO,OVER 3.5_CAMPEONATO,OVER 3.5_STAKE,OVER 3.5_CONFIANCA
0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NÃO OPERAR,PREMIER,-,❌
6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BAIXA,PREMIER,R$5.00,⭐
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BAIXA,PREMIER,R$5.00,⭐
8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALTA,EURO,R$25.00,⭐⭐⭐
9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BAIXA,PREMIER,R$5.00,⭐
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BAIXA,PREMIER,R$5.00,⭐
11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BAIXA,PREMIER,R$5.00,⭐
12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALTA,PREMIER,R$25.00,⭐⭐⭐
13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MUITO ALTA,PREMIER,R$25.00,⭐⭐⭐⭐
14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MUITO ALTA,PREMIER,R$25.00,⭐⭐⭐⭐
15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALTA,PREMIER,R$25.00,⭐⭐⭐
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MUITO ALTA,PREMIER,R$25.00,⭐⭐⭐⭐
17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MUITO ALTA,PREMIER,R$25.00,⭐⭐⭐⭐
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MÉDIA,PREMIER,R$15.00,⭐⭐
19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MÉDIA,PREMIER,R$15.00,⭐⭐
20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MÉDIA,PREMIER,R$15.00,⭐⭐
21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MUITO ALTA,PREMIER,R$25.00,⭐⭐⭐⭐
22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ALTA,EURO,R$25.00,⭐⭐⭐
23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MÉDIA,PREMIER,R$15.00,⭐⭐
